landmark_exposure,group,time_days,at_risk_before,events_at_time,censored_at_time,conditional_event_free_factor,km_event_free_probability,greenwood_cumulative,standard_error,lower95,upper95
0,no_recorded_followup,1.00000000,347,1,0,0.99711816,0.99711816,0.00000833,0.00287769,0.97972048,0.99959355
0,no_recorded_followup,2.91666667,346,1,0,0.99710983,0.99423631,0.00001671,0.00406378,0.97715258,0.99855539
0,no_recorded_followup,4.95833333,345,1,0,0.99710145,0.99135447,0.00002513,0.00496988,0.97343647,0.99720343
0,no_recorded_followup,7.89583333,344,1,0,0.99709302,0.98847262,0.00003361,0.00573037,0.96958008,0.99565792
0,no_recorded_followup,13.00000000,343,1,0,0.99708455,0.98559078,0.00004213,0.00639740,0.96573028,0.99397711
0,no_recorded_followup,15.95833333,342,1,0,0.99707602,0.98270893,0.00005071,0.00699775,0.96191917,0.99219456
0,no_recorded_followup,21.98541667,341,1,0,0.99706745,0.97982709,0.00005933,0.00754735,0.95815281,0.99033173
0,no_recorded_followup,40.93819444,340,1,0,0.99705882,0.97694524,0.00006801,0.00805658,0.95443001,0.98840334
0,no_recorded_followup,41.93750000,339,1,0,0.99705015,0.97406340,0.00007674,0.00853268,0.95074756,0.98642002
0,no_recorded_followup,57.00000000,338,1,0,0.99704142,0.97118156,0.00008551,0.00898092,0.94710193,0.98438976
0,no_recorded_followup,62.00000000,337,1,0,0.99703264,0.96829971,0.00009435,0.00940528,0.94348973,0.98231873
0,no_recorded_followup,64.93750000,336,1,0,0.99702381,0.96541787,0.00010323,0.00980887,0.93990792,0.98021184
0,no_recorded_followup,68.94791667,335,1,0,0.99701493,0.96253602,0.00011217,0.01019414,0.93635381,0.97807304
0,no_recorded_followup,69.98958333,334,1,0,0.99700599,0.95965418,0.00012116,0.01056311,0.93282505,0.97590561
0,no_recorded_followup,73.00000000,333,1,0,0.99699700,0.95677233,0.00013020,0.01091743,0.92931958,0.97371227
0,no_recorded_followup,74.93750000,332,1,0,0.99698795,0.95389049,0.00013930,0.01125848,0.92583561,0.97149531
0,no_recorded_followup,81.91666667,331,1,0,0.99697885,0.95100865,0.00014846,0.01158743,0.92237152,0.96925672
0,no_recorded_followup,113.94236111,330,1,0,0.99696970,0.94812680,0.00015767,0.01190529,0.91892594,0.96699818
0,no_recorded_followup,124.00000000,329,1,0,0.99696049,0.94524496,0.00016694,0.01221292,0.91549760,0.96472119
0,no_recorded_followup,131.00000000,328,1,0,0.99695122,0.94236311,0.00017626,0.01251108,0.91208540,0.96242702
0,no_recorded_followup,134.91666667,327,1,0,0.99694190,0.93948127,0.00018564,0.01280042,0.90868835,0.96011683
0,no_recorded_followup,141.93750000,326,1,0,0.99693252,0.93659942,0.00019508,0.01308154,0.90530555,0.95779163
0,no_recorded_followup,144.93750000,325,1,0,0.99692308,0.93371758,0.00020458,0.01335495,0.90193620,0.95545233
0,no_recorded_followup,149.93750000,324,2,0,0.99382716,0.92795389,0.00022375,0.01388046,0.89523499,0.95073460
0,no_recorded_followup,151.92361111,322,1,0,0.99689441,0.92507205,0.00023342,0.01413335,0.89190186,0.94835756
0,no_recorded_followup,151.95833333,321,1,0,0.99688474,0.92219020,0.00024316,0.01438012,0.88857963,0.94596924
0,no_recorded_followup,163.95833333,320,1,0,0.99687500,0.91930836,0.00025295,0.01462110,0.88526780,0.94357019
0,no_recorded_followup,166.88541667,319,1,0,0.99686520,0.91642651,0.00026281,0.01485656,0.88196589,0.94116090
0,no_recorded_followup,173.92708333,318,1,0,0.99685535,0.91354467,0.00027273,0.01508676,0.87867347,0.93874184
0,no_recorded_followup,176.94791667,317,1,0,0.99684543,0.91066282,0.00028271,0.01531194,0.87539016,0.93631343
0,no_recorded_followup,183.92708333,316,1,0,0.99683544,0.90778098,0.00029276,0.01553231,0.87211557,0.93387608
0,no_recorded_followup,188.95833333,315,1,0,0.99682540,0.90489914,0.00030287,0.01574808,0.86884938,0.93143013
0,no_recorded_followup,190.93750000,314,1,0,0.99681529,0.90201729,0.00031304,0.01595943,0.86559125,0.92897594
0,no_recorded_followup,201.95138889,313,1,0,0.99680511,0.89913545,0.00032328,0.01616654,0.86234090,0.92651381
0,no_recorded_followup,210.94791667,312,1,0,0.99679487,0.89625360,0.00033359,0.01636957,0.85909805,0.92404403
0,no_recorded_followup,221.95833333,311,1,0,0.99678457,0.89337176,0.00034396,0.01656866,0.85586243,0.92156689
0,no_recorded_followup,225.00000000,310,1,0,0.99677419,0.89048991,0.00035440,0.01676397,0.85263381,0.91908262
0,no_recorded_followup,226.95833333,309,1,0,0.99676375,0.88760807,0.00036491,0.01695561,0.84941195,0.91659148
0,no_recorded_followup,228.93750000,308,1,0,0.99675325,0.88472622,0.00037548,0.01714372,0.84619665,0.91409369
0,no_recorded_followup,229.95833333,307,1,0,0.99674267,0.88184438,0.00038613,0.01732840,0.84298770,0.91158945
0,no_recorded_followup,236.93819444,306,1,0,0.99673203,0.87896254,0.00039684,0.01750977,0.83978490,0.90907897
0,no_recorded_followup,243.92708333,305,1,0,0.99672131,0.87608069,0.00040763,0.01768792,0.83658809,0.90656243
0,no_recorded_followup,253.95833333,304,1,0,0.99671053,0.87319885,0.00041849,0.01786296,0.83339708,0.90404001
0,no_recorded_followup,276.98402778,303,1,0,0.99669967,0.87031700,0.00042941,0.01803497,0.83021172,0.90151188
0,no_recorded_followup,283.95833333,302,1,0,0.99668874,0.86743516,0.00044041,0.01820405,0.82703186,0.89897820
0,no_recorded_followup,298.00000000,301,1,0,0.99667774,0.86455331,0.00045149,0.01837026,0.82385735,0.89643911
0,no_recorded_followup,298.98541667,300,1,0,0.99666667,0.86167147,0.00046264,0.01853369,0.82068806,0.89389475
0,no_recorded_followup,298.98680556,299,1,0,0.99665552,0.85878963,0.00047386,0.01869442,0.81752385,0.89134527
0,no_recorded_followup,298.98819444,298,1,0,0.99664430,0.85590778,0.00048516,0.01885250,0.81436459,0.88879079
0,no_recorded_followup,298.98958333,297,1,0,0.99663300,0.85302594,0.00049653,0.01900801,0.81121018,0.88623143
0,no_recorded_followup,304.98819444,296,1,0,0.99662162,0.85014409,0.00050799,0.01916101,0.80806050,0.88366730
0,no_recorded_followup,319.00000000,295,1,0,0.99661017,0.84726225,0.00051952,0.01931156,0.80491543,0.88109853
0,no_recorded_followup,319.93750000,294,2,0,0.99319728,0.84149856,0.00054281,0.01960553,0.79863876,0.87594744
0,no_recorded_followup,326.93750000,292,1,0,0.99657534,0.83861671,0.00055458,0.01974905,0.79550696,0.87336533
0,no_recorded_followup,326.94791667,291,1,0,0.99656357,0.83573487,0.00056643,0.01989034,0.79237939,0.87077896
0,no_recorded_followup,327.00000000,290,1,0,0.99655172,0.83285303,0.00057836,0.02002944,0.78925598,0.86818842
0,no_recorded_followup,328.98055556,289,1,0,0.99653979,0.82997118,0.00059038,0.02016638,0.78613663,0.86559380
0,no_recorded_followup,333.93750000,288,2,0,0.99305556,0.82420749,0.00061466,0.02043402,0.77990981,0.86039264
0,no_recorded_followup,334.95833333,286,1,0,0.99650350,0.82132565,0.00062693,0.02056478,0.77680220,0.85778624
0,no_recorded_followup,335.00000000,285,0,285,1.00000000,0.82132565,0.00062693,0.02056478,0.77680220,0.85778624
1,scheduled_followup,9.92222222,129,1,0,0.99224806,0.99224806,0.00006056,0.00772183,0.94625211,0.99890439
1,scheduled_followup,32.86666667,128,1,0,0.99218750,0.98449612,0.00012208,0.01087758,0.93943397,0.99609983
1,scheduled_followup,46.92708333,127,1,0,0.99212598,0.97674419,0.00018457,0.01326971,0.92963816,0.99243983
