landmark_exposure,group,time_days,group_people,at_risk_before,cumulative_events,cumulative_censors,km_event_free_probability,cumulative_event_risk,standard_error,lower95,upper95
0,no_recorded_followup,0,347,347,0,0,1.00000000,0.00000000,0.00000000,1.00000000,1.00000000
0,no_recorded_followup,30,347,340,7,0,0.97982709,0.02017291,0.00754735,0.95815281,0.99033173
0,no_recorded_followup,90,347,330,17,0,0.95100865,0.04899135,0.01158743,0.92237152,0.96925672
0,no_recorded_followup,180,347,316,31,0,0.91066282,0.08933718,0.01531194,0.87539016,0.93631343
0,no_recorded_followup,270,347,303,44,0,0.87319885,0.12680115,0.01786296,0.83339708,0.90404001
0,no_recorded_followup,335,347,285,62,285,0.82132565,0.17867435,0.02056478,0.77680220,0.85778624
1,scheduled_followup,0,129,129,0,0,1.00000000,0.00000000,0.00000000,1.00000000,1.00000000
1,scheduled_followup,30,129,128,1,0,0.99224806,0.00775194,0.00772183,0.94625211,0.99890439
1,scheduled_followup,90,129,122,7,0,0.94573643,0.05426357,0.01994547,0.88955002,0.97375546
1,scheduled_followup,180,129,113,16,0,0.87596899,0.12403101,0.02902115,0.80554656,0.92210288
1,scheduled_followup,270,129,109,20,0,0.84496124,0.15503876,0.03186718,0.77008293,0.89706248
1,scheduled_followup,335,129,104,25,104,0.80620155,0.19379845,0.03480183,0.72683922,0.86463148
