measure_id,measure,teaching_site_id,people,numerator,proportion,lower95,upper95,support_status,known_direct_site_effect,site_field_class,claim_limit
M01,Recorded scheduled follow-up by day 30,SITE-A,76,19,0.25000000,0.16628799,0.35776964,report with caution,0,synthetic_extension,fixed-order synthetic description; not facility rank quality cause or real performance
M01,Recorded scheduled follow-up by day 30,SITE-B,75,19,0.25333333,0.16859920,0.36210541,report with caution,0,synthetic_extension,fixed-order synthetic description; not facility rank quality cause or real performance
M01,Recorded scheduled follow-up by day 30,SITE-C,68,19,0.27941176,0.18677805,0.39563660,report with caution,0,synthetic_extension,fixed-order synthetic description; not facility rank quality cause or real performance
M01,Recorded scheduled follow-up by day 30,SITE-D,88,21,0.23863636,0.16170924,0.33742841,report with caution,0,synthetic_extension,fixed-order synthetic description; not facility rank quality cause or real performance
M01,Recorded scheduled follow-up by day 30,SITE-E,87,20,0.22988506,0.15403116,0.32858474,report with caution,0,synthetic_extension,fixed-order synthetic description; not facility rank quality cause or real performance
M01,Recorded scheduled follow-up by day 30,SITE-F,82,31,0.37804878,0.28078210,0.48623063,report with caution,0,synthetic_extension,fixed-order synthetic description; not facility rank quality cause or real performance
M02,Continued scheduled-care record by day 90,SITE-A,76,48,0.63157895,0.51924857,0.73124741,report with caution,0,synthetic_extension,fixed-order synthetic description; not facility rank quality cause or real performance
M02,Continued scheduled-care record by day 90,SITE-B,75,46,0.61333333,0.50017269,0.71544952,report with caution,0,synthetic_extension,fixed-order synthetic description; not facility rank quality cause or real performance
M02,Continued scheduled-care record by day 90,SITE-C,68,33,0.48529412,0.37050647,0.60165450,report with caution,0,synthetic_extension,fixed-order synthetic description; not facility rank quality cause or real performance
M02,Continued scheduled-care record by day 90,SITE-D,88,45,0.51136364,0.40865349,0.61312314,report with caution,0,synthetic_extension,fixed-order synthetic description; not facility rank quality cause or real performance
M02,Continued scheduled-care record by day 90,SITE-E,87,51,0.58620690,0.48121405,0.68390853,report with caution,0,synthetic_extension,fixed-order synthetic description; not facility rank quality cause or real performance
M02,Continued scheduled-care record by day 90,SITE-F,82,37,0.45121951,0.34811093,0.55869416,report with caution,0,synthetic_extension,fixed-order synthetic description; not facility rank quality cause or real performance
M04,Any medication-order record after landmark,SITE-A,76,46,0.60526316,0.49286091,0.70753588,report with caution,0,synthetic_extension,fixed-order synthetic description; not facility rank quality cause or real performance
M04,Any medication-order record after landmark,SITE-B,75,39,0.52000000,0.40874020,0.62931078,report with caution,0,synthetic_extension,fixed-order synthetic description; not facility rank quality cause or real performance
M04,Any medication-order record after landmark,SITE-C,68,36,0.52941176,0.41240716,0.64327089,report with caution,0,synthetic_extension,fixed-order synthetic description; not facility rank quality cause or real performance
M04,Any medication-order record after landmark,SITE-D,88,54,0.61363636,0.50918564,0.70858060,report with caution,0,synthetic_extension,fixed-order synthetic description; not facility rank quality cause or real performance
M04,Any medication-order record after landmark,SITE-E,87,49,0.56321839,0.45851365,0.66257624,report with caution,0,synthetic_extension,fixed-order synthetic description; not facility rank quality cause or real performance
M04,Any medication-order record after landmark,SITE-F,82,55,0.67073171,0.56338185,0.76280033,report with caution,0,synthetic_extension,fixed-order synthetic description; not facility rank quality cause or real performance
M05,Medication-reconciliation procedure record after landmark,SITE-A,76,23,0.30263158,0.21091189,0.41334413,report with caution,0,synthetic_extension,fixed-order synthetic description; not facility rank quality cause or real performance
M05,Medication-reconciliation procedure record after landmark,SITE-B,75,28,0.37333333,0.27255803,0.48645244,report with caution,0,synthetic_extension,fixed-order synthetic description; not facility rank quality cause or real performance
M05,Medication-reconciliation procedure record after landmark,SITE-C,68,16,0.23529412,0.15034364,0.34855393,report with caution,0,synthetic_extension,fixed-order synthetic description; not facility rank quality cause or real performance
M05,Medication-reconciliation procedure record after landmark,SITE-D,88,27,0.30681818,0.22023391,0.40956348,report with caution,0,synthetic_extension,fixed-order synthetic description; not facility rank quality cause or real performance
M05,Medication-reconciliation procedure record after landmark,SITE-E,87,23,0.26436782,0.18309897,0.36556596,report with caution,0,synthetic_extension,fixed-order synthetic description; not facility rank quality cause or real performance
M05,Medication-reconciliation procedure record after landmark,SITE-F,82,26,0.31707317,0.22647920,0.42403990,report with caution,0,synthetic_extension,fixed-order synthetic description; not facility rank quality cause or real performance
M06,Any procedure record after landmark,SITE-A,76,49,0.64473684,0.53256176,0.74298382,report with caution,0,synthetic_extension,fixed-order synthetic description; not facility rank quality cause or real performance
M06,Any procedure record after landmark,SITE-B,75,48,0.64000000,0.52700451,0.73935234,report with caution,0,synthetic_extension,fixed-order synthetic description; not facility rank quality cause or real performance
M06,Any procedure record after landmark,SITE-C,68,38,0.55882353,0.44081654,0.67053955,report with caution,0,synthetic_extension,fixed-order synthetic description; not facility rank quality cause or real performance
M06,Any procedure record after landmark,SITE-D,88,59,0.67045455,0.56692628,0.75972308,report with caution,0,synthetic_extension,fixed-order synthetic description; not facility rank quality cause or real performance
M06,Any procedure record after landmark,SITE-E,87,57,0.65517241,0.55064577,0.74657489,report with caution,0,synthetic_extension,fixed-order synthetic description; not facility rank quality cause or real performance
M06,Any procedure record after landmark,SITE-F,82,46,0.56097561,0.45322727,0.66326636,report with caution,0,synthetic_extension,fixed-order synthetic description; not facility rank quality cause or real performance
M10,Later acute return by day 365,SITE-A,76,21,0.27631579,0.18840105,0.38575578,report with caution,0,synthetic_extension,fixed-order synthetic description; not facility rank quality cause or real performance
M10,Later acute return by day 365,SITE-B,75,10,0.13333333,0.07406505,0.22833368,report with caution,0,synthetic_extension,fixed-order synthetic description; not facility rank quality cause or real performance
M10,Later acute return by day 365,SITE-C,68,10,0.14705882,0.08188730,0.24997613,report with caution,0,synthetic_extension,fixed-order synthetic description; not facility rank quality cause or real performance
M10,Later acute return by day 365,SITE-D,88,13,0.14772727,0.08841167,0.23651298,report with caution,0,synthetic_extension,fixed-order synthetic description; not facility rank quality cause or real performance
M10,Later acute return by day 365,SITE-E,87,18,0.20689655,0.13507252,0.30351069,report with caution,0,synthetic_extension,fixed-order synthetic description; not facility rank quality cause or real performance
M10,Later acute return by day 365,SITE-F,82,15,0.18292683,0.11410922,0.28012388,report with caution,0,synthetic_extension,fixed-order synthetic description; not facility rank quality cause or real performance
