source_id,cycle,component,field_order,field_name,pandas_dtype,rows,nonmissing,missing,distinct_nonmissing,source_role
NHANES-2013-2014-DEMO-H,2013-2014,DEMO,1,SEQN,float64,10175,10175,0,10175,demographics and survey design
NHANES-2013-2014-DEMO-H,2013-2014,DEMO,2,SDDSRVYR,float64,10175,10175,0,1,demographics and survey design
NHANES-2013-2014-DEMO-H,2013-2014,DEMO,3,RIDSTATR,float64,10175,10175,0,2,demographics and survey design
NHANES-2013-2014-DEMO-H,2013-2014,DEMO,4,RIAGENDR,float64,10175,10175,0,2,demographics and survey design
NHANES-2013-2014-DEMO-H,2013-2014,DEMO,5,RIDAGEYR,float64,10175,10175,0,81,demographics and survey design
NHANES-2013-2014-DEMO-H,2013-2014,DEMO,6,RIDAGEMN,float64,10175,673,9502,25,demographics and survey design
NHANES-2013-2014-DEMO-H,2013-2014,DEMO,7,RIDRETH1,float64,10175,10175,0,5,demographics and survey design
NHANES-2013-2014-DEMO-H,2013-2014,DEMO,8,RIDRETH3,float64,10175,10175,0,6,demographics and survey design
NHANES-2013-2014-DEMO-H,2013-2014,DEMO,9,RIDEXMON,float64,10175,9813,362,2,demographics and survey design
NHANES-2013-2014-DEMO-H,2013-2014,DEMO,10,RIDEXAGM,float64,10175,4213,5962,240,demographics and survey design
NHANES-2013-2014-DEMO-H,2013-2014,DEMO,11,DMQMILIZ,float64,10175,6261,3914,3,demographics and survey design
NHANES-2013-2014-DEMO-H,2013-2014,DEMO,12,DMQADFC,float64,10175,543,9632,3,demographics and survey design
NHANES-2013-2014-DEMO-H,2013-2014,DEMO,13,DMDBORN4,float64,10175,10175,0,4,demographics and survey design
NHANES-2013-2014-DEMO-H,2013-2014,DEMO,14,DMDCITZN,float64,10175,10171,4,4,demographics and survey design
NHANES-2013-2014-DEMO-H,2013-2014,DEMO,15,DMDYRSUS,float64,10175,1908,8267,11,demographics and survey design
NHANES-2013-2014-DEMO-H,2013-2014,DEMO,16,DMDEDUC3,float64,10175,2803,7372,19,demographics and survey design
NHANES-2013-2014-DEMO-H,2013-2014,DEMO,17,DMDEDUC2,float64,10175,5769,4406,7,demographics and survey design
NHANES-2013-2014-DEMO-H,2013-2014,DEMO,18,DMDMARTL,float64,10175,5769,4406,8,demographics and survey design
NHANES-2013-2014-DEMO-H,2013-2014,DEMO,19,RIDEXPRG,float64,10175,1309,8866,3,demographics and survey design
NHANES-2013-2014-DEMO-H,2013-2014,DEMO,20,SIALANG,float64,10175,10175,0,2,demographics and survey design
NHANES-2013-2014-DEMO-H,2013-2014,DEMO,21,SIAPROXY,float64,10175,10174,1,2,demographics and survey design
NHANES-2013-2014-DEMO-H,2013-2014,DEMO,22,SIAINTRP,float64,10175,10175,0,2,demographics and survey design
NHANES-2013-2014-DEMO-H,2013-2014,DEMO,23,FIALANG,float64,10175,10054,121,2,demographics and survey design
NHANES-2013-2014-DEMO-H,2013-2014,DEMO,24,FIAPROXY,float64,10175,10054,121,2,demographics and survey design
NHANES-2013-2014-DEMO-H,2013-2014,DEMO,25,FIAINTRP,float64,10175,10054,121,2,demographics and survey design
NHANES-2013-2014-DEMO-H,2013-2014,DEMO,26,MIALANG,float64,10175,7311,2864,2,demographics and survey design
NHANES-2013-2014-DEMO-H,2013-2014,DEMO,27,MIAPROXY,float64,10175,7312,2863,2,demographics and survey design
NHANES-2013-2014-DEMO-H,2013-2014,DEMO,28,MIAINTRP,float64,10175,7313,2862,2,demographics and survey design
NHANES-2013-2014-DEMO-H,2013-2014,DEMO,29,AIALANGA,float64,10175,6317,3858,3,demographics and survey design
NHANES-2013-2014-DEMO-H,2013-2014,DEMO,30,DMDHHSIZ,float64,10175,10175,0,7,demographics and survey design
