source_id,cycle,component,suffix,cycle_role,component_role,url,codebook_url,retrieved,raw_filename,raw_bytes,raw_sha256,gzip_filename,gzip_bytes,gzip_sha256,rows,columns,seqn_unique,seqn_duplicates,teaching_role,claim_limit
NHANES-2013-2014-DEMO-H,2013-2014,DEMO,H,development evidence,demographics and survey design,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/DEMO_H.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/DEMO_H.htm,2026-08-30,DEMO_H.xpt,3833200,f8f0cbb3085a323d4cde22349b164878fea1e64dbc404e65b5815c7816b547d7,data/raw/DEMO_H.xpt.gz,472473,c42448a52080c75a9d9dc1e49e47ee05c2f502e9532eaaa9318458573706a88c,10175,47,10175,0,full public historical evidence for source feasibility and later model evaluation,"not local workflow, prospective utility, clinical guidance, or deployment validation"
NHANES-2013-2014-BMX-H,2013-2014,BMX,H,development evidence,body measures,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/BMX_H.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/BMX_H.htm,2026-08-30,BMX_H.xpt,2045520,fd5e9fc6e6aab0a4aee6e699f51497bbc9b62101f7f43aee924c473e38fd9442,data/raw/BMX_H.xpt.gz,272963,d95927caf9d6b35c99691e1f7a1ff995c5d7fab0ceb27f7f784cac7676cc8bba,9813,26,9813,0,full public historical evidence for source feasibility and later model evaluation,"not local workflow, prospective utility, clinical guidance, or deployment validation"
NHANES-2013-2014-DIQ-H,2013-2014,DIQ,H,development evidence,diabetes questionnaire,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/DIQ_H.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/DIQ_H.htm,2026-08-30,DIQ_H.xpt,4228960,c74c7ccef65e6997dfac1db1e73bc3f63dec67c70b2e322ffc14f14ce27429a9,data/raw/DIQ_H.xpt.gz,85855,42851286c6669e312c3f730b00b4225271eae52ed61aacb3f01a1941bde83cdc,9770,54,9770,0,full public historical evidence for source feasibility and later model evaluation,"not local workflow, prospective utility, clinical guidance, or deployment validation"
NHANES-2013-2014-GHB-H,2013-2014,GHB,H,development evidence,glycohemoglobin laboratory,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/GHB_H.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/GHB_H.htm,2026-08-30,GHB_H.xpt,112720,0695894ad55ac96f315a8415401977b0856c402d16762115b534bcd5dfeae89e,data/raw/GHB_H.xpt.gz,24297,a9039cee1a61514689c50689a642d171f519c5ec54791d47e6ff7e4fffcad806,6979,2,6979,0,full public historical evidence for source feasibility and later model evaluation,"not local workflow, prospective utility, clinical guidance, or deployment validation"
NHANES-2015-2016-DEMO-I,2015-2016,DEMO,I,development evidence,demographics and survey design,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/DEMO_I.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/DEMO_I.htm,2026-08-30,DEMO_I.xpt,3756480,c9297c6c37ae8f78f29be9568fa2a03cf3b112616a39afee04030fc775a66a0d,data/raw/DEMO_I.xpt.gz,465463,065fcb3f3d87ac7c4f0efe2ea0e69b26312b378d0438a8acb7030cab34c5bba2,9971,47,9971,0,full public historical evidence for source feasibility and later model evaluation,"not local workflow, prospective utility, clinical guidance, or deployment validation"
NHANES-2015-2016-BMX-I,2015-2016,BMX,I,development evidence,body measures,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/BMX_I.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/BMX_I.htm,2026-08-30,BMX_I.xpt,1989600,d31da84e14212b4e58e8340598a5b8e2144fac83333563e966eb1b332e4141d6,data/raw/BMX_I.xpt.gz,264583,29d3c394c67c63182feb8503bb4f1f7f73059b19e0897a880872fd37d693b448,9544,26,9544,0,full public historical evidence for source feasibility and later model evaluation,"not local workflow, prospective utility, clinical guidance, or deployment validation"
NHANES-2015-2016-DIQ-I,2015-2016,DIQ,I,development evidence,diabetes questionnaire,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/DIQ_I.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/DIQ_I.htm,2026-08-30,DIQ_I.xpt,4144720,e87587479b29f175b63eee5dd40d582837e3e3fe2665503012085eefdb978e0d,data/raw/DIQ_I.xpt.gz,91013,39f348d86113f7b92caa6f3cad5d9ed826f50a6b98c6f3f403f0da3cedd67e0a,9575,54,9575,0,full public historical evidence for source feasibility and later model evaluation,"not local workflow, prospective utility, clinical guidance, or deployment validation"
NHANES-2015-2016-GHB-I,2015-2016,GHB,I,development evidence,glycohemoglobin laboratory,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/GHB_I.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/GHB_I.htm,2026-08-30,GHB_I.xpt,108960,e4bc626cd12f6057c7806aef4f85874c9bf1407a7480d6621a4af142260addd2,data/raw/GHB_I.xpt.gz,23457,299853de579178d113b220f4a1dbc23fae4002dcee4a715fde45962e676cfdcb,6744,2,6744,0,full public historical evidence for source feasibility and later model evaluation,"not local workflow, prospective utility, clinical guidance, or deployment validation"
NHANES-2017-2018-DEMO-J,2017-2018,DEMO,J,temporal holdout,demographics and survey design,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/DEMO_J.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/DEMO_J.htm,2026-08-30,DEMO_J.xpt,3412720,c0b46e0345ea19404928656277c8b0d10b0cca348a9b2fe4fc3c67e8b7ee73ec,data/raw/DEMO_J.xpt.gz,406039,87cdf1223c97b7e9ff2feb193d257ac62b6ebbc18ecb94825b83913df800fee7,9254,46,9254,0,full public historical evidence for source feasibility and later model evaluation,"not local workflow, prospective utility, clinical guidance, or deployment validation"
NHANES-2017-2018-BMX-J,2017-2018,BMX,J,temporal holdout,body measures,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/BMX_J.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/BMX_J.htm,2026-08-30,BMX_J.xpt,1466000,8d675e42d8826ac98714b2c3dd4c5138a5e353fb4424f7eff5e6db4a01ce838a,data/raw/BMX_J.xpt.gz,204171,31bc823243b88d72b441f9bcdaf8b859d78295c3c321506d5a9de613fa0af88c,8704,21,8704,0,full public historical evidence for source feasibility and later model evaluation,"not local workflow, prospective utility, clinical guidance, or deployment validation"
