design_id,design,threshold,threshold_status,candidate_cards,interruption_events,cards_per_session,sessions_with_cards,repeat_cards,input_unavailable_encounters,scripted_task_minutes,temporal_holdout_weighted_flags_per_1000,temporal_holdout_weighted_missed_per_1000,sandbox_case_sufficiency,design_status,claim_limit
banner-t002,interruptive candidate banner,0.02000000,"evidence candidate, not selected or accepted",116,116,0.9667,74,16,39,225.50,661.57323641,2.99863880,at least 10 scripted positive cases,"comparison only, not selected by generated evidence",historical NHANES consequences and synthetic workflow counts are separate; no local utility or clinical authority
panel-t002,less interruptive passive contextual panel,0.02000000,"evidence candidate, not selected or accepted",116,0,0.9667,74,16,39,225.50,661.57323641,2.99863880,at least 10 scripted positive cases,"comparison only, not selected by generated evidence",historical NHANES consequences and synthetic workflow counts are separate; no local utility or clinical authority
banner-t003,interruptive candidate banner,0.03000000,"evidence candidate, not selected or accepted",12,12,0.1000,10,1,39,20.00,325.40301123,11.59062056,at least 10 scripted positive cases,"comparison only, not selected by generated evidence",historical NHANES consequences and synthetic workflow counts are separate; no local utility or clinical authority
panel-t003,less interruptive passive contextual panel,0.03000000,"evidence candidate, not selected or accepted",12,0,0.1000,10,1,39,20.00,325.40301123,11.59062056,at least 10 scripted positive cases,"comparison only, not selected by generated evidence",historical NHANES consequences and synthetic workflow counts are separate; no local utility or clinical authority
banner-t004,interruptive candidate banner,0.04000000,"evidence candidate, not selected or accepted",3,3,0.0250,3,0,39,4.00,172.19709642,18.50350918,fewer than 10 scripted positive cases,"comparison only, not selected by generated evidence",historical NHANES consequences and synthetic workflow counts are separate; no local utility or clinical authority
panel-t004,less interruptive passive contextual panel,0.04000000,"evidence candidate, not selected or accepted",3,0,0.0250,3,0,39,4.00,172.19709642,18.50350918,fewer than 10 scripted positive cases,"comparison only, not selected by generated evidence",historical NHANES consequences and synthetic workflow counts are separate; no local utility or clinical authority
banner-t005,interruptive candidate banner,0.05000000,"evidence candidate, not selected or accepted",3,3,0.0250,3,0,39,4.00,105.90526558,22.40498219,fewer than 10 scripted positive cases,"comparison only, not selected by generated evidence",historical NHANES consequences and synthetic workflow counts are separate; no local utility or clinical authority
panel-t005,less interruptive passive contextual panel,0.05000000,"evidence candidate, not selected or accepted",3,0,0.0250,3,0,39,4.00,105.90526558,22.40498219,fewer than 10 scripted positive cases,"comparison only, not selected by generated evidence",historical NHANES consequences and synthetic workflow counts are separate; no local utility or clinical authority
banner-t0075,interruptive candidate banner,0.07500000,"evidence candidate, not selected or accepted",0,0,0.0000,0,0,39,0.00,36.68485865,27.19881351,fewer than 10 scripted positive cases,"comparison only, not selected by generated evidence",historical NHANES consequences and synthetic workflow counts are separate; no local utility or clinical authority
panel-t0075,less interruptive passive contextual panel,0.07500000,"evidence candidate, not selected or accepted",0,0,0.0000,0,0,39,0.00,36.68485865,27.19881351,fewer than 10 scripted positive cases,"comparison only, not selected by generated evidence",historical NHANES consequences and synthetic workflow counts are separate; no local utility or clinical authority
banner-t01,interruptive candidate banner,0.10000000,"evidence candidate, not selected or accepted",0,0,0.0000,0,0,39,0.00,17.08750038,27.92703988,fewer than 10 scripted positive cases,"comparison only, not selected by generated evidence",historical NHANES consequences and synthetic workflow counts are separate; no local utility or clinical authority
panel-t01,less interruptive passive contextual panel,0.10000000,"evidence candidate, not selected or accepted",0,0,0.0000,0,0,39,0.00,17.08750038,27.92703988,fewer than 10 scripted positive cases,"comparison only, not selected by generated evidence",historical NHANES consequences and synthetic workflow counts are separate; no local utility or clinical authority
no-alert,no alert,,not applicable,0,0,0.0000,0,0,39,0.00,0.00000000,29.04272000,no positive card cases by design,"comparison only, not selected by generated evidence","no alert avoids card burden but cannot be interpreted as safe, preferred, or equivalent care"
