case_id,category,status,cards_checked,summary_present,detail_present,source_label_present,no_suggestions,no_external_links,claim_limit
M05-P01,normal positive,pass,1,true,true,true,true,true,"local synthetic teaching sandbox only; not FHIR or CDS Hooks conformance, clinical evidence, a clinical alert, threshold acceptance, implementation, or deployment"
M05-P02,normal positive,pass,1,true,true,true,true,true,"local synthetic teaching sandbox only; not FHIR or CDS Hooks conformance, clinical evidence, a clinical alert, threshold acceptance, implementation, or deployment"
M05-P03,normal positive,pass,1,true,true,true,true,true,"local synthetic teaching sandbox only; not FHIR or CDS Hooks conformance, clinical evidence, a clinical alert, threshold acceptance, implementation, or deployment"
M05-P04,normal positive,pass,1,true,true,true,true,true,"local synthetic teaching sandbox only; not FHIR or CDS Hooks conformance, clinical evidence, a clinical alert, threshold acceptance, implementation, or deployment"
M05-P05,normal positive,pass,1,true,true,true,true,true,"local synthetic teaching sandbox only; not FHIR or CDS Hooks conformance, clinical evidence, a clinical alert, threshold acceptance, implementation, or deployment"
M05-P06,normal positive,pass,1,true,true,true,true,true,"local synthetic teaching sandbox only; not FHIR or CDS Hooks conformance, clinical evidence, a clinical alert, threshold acceptance, implementation, or deployment"
M05-P07,normal positive,pass,1,true,true,true,true,true,"local synthetic teaching sandbox only; not FHIR or CDS Hooks conformance, clinical evidence, a clinical alert, threshold acceptance, implementation, or deployment"
M05-P08,normal positive,pass,1,true,true,true,true,true,"local synthetic teaching sandbox only; not FHIR or CDS Hooks conformance, clinical evidence, a clinical alert, threshold acceptance, implementation, or deployment"
M05-P09,normal positive,pass,1,true,true,true,true,true,"local synthetic teaching sandbox only; not FHIR or CDS Hooks conformance, clinical evidence, a clinical alert, threshold acceptance, implementation, or deployment"
M05-P10,normal positive,pass,1,true,true,true,true,true,"local synthetic teaching sandbox only; not FHIR or CDS Hooks conformance, clinical evidence, a clinical alert, threshold acceptance, implementation, or deployment"
M05-P11,normal positive,pass,1,true,true,true,true,true,"local synthetic teaching sandbox only; not FHIR or CDS Hooks conformance, clinical evidence, a clinical alert, threshold acceptance, implementation, or deployment"
M05-P12,repeat positive,pass,1,true,true,true,true,true,"local synthetic teaching sandbox only; not FHIR or CDS Hooks conformance, clinical evidence, a clinical alert, threshold acceptance, implementation, or deployment"
M05-N01,normal negative,not_applicable,0,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,"local synthetic teaching sandbox only; not FHIR or CDS Hooks conformance, clinical evidence, a clinical alert, threshold acceptance, implementation, or deployment"
M05-B01,threshold boundary,pass,1,true,true,true,true,true,"local synthetic teaching sandbox only; not FHIR or CDS Hooks conformance, clinical evidence, a clinical alert, threshold acceptance, implementation, or deployment"
M05-F01,missing input,pass,1,true,true,true,true,true,"local synthetic teaching sandbox only; not FHIR or CDS Hooks conformance, clinical evidence, a clinical alert, threshold acceptance, implementation, or deployment"
M05-F02,stale input,pass,1,true,true,true,true,true,"local synthetic teaching sandbox only; not FHIR or CDS Hooks conformance, clinical evidence, a clinical alert, threshold acceptance, implementation, or deployment"
M05-F03,inconsistent input,pass,1,true,true,true,true,true,"local synthetic teaching sandbox only; not FHIR or CDS Hooks conformance, clinical evidence, a clinical alert, threshold acceptance, implementation, or deployment"
M05-F04,delayed input,pass,1,true,true,true,true,true,"local synthetic teaching sandbox only; not FHIR or CDS Hooks conformance, clinical evidence, a clinical alert, threshold acceptance, implementation, or deployment"
M05-F05,duplicate request,not_applicable,0,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,"local synthetic teaching sandbox only; not FHIR or CDS Hooks conformance, clinical evidence, a clinical alert, threshold acceptance, implementation, or deployment"
M05-F06,terminology mismatch,pass,1,true,true,true,true,true,"local synthetic teaching sandbox only; not FHIR or CDS Hooks conformance, clinical evidence, a clinical alert, threshold acceptance, implementation, or deployment"
M05-F07,hook version mismatch,not_applicable,0,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,"local synthetic teaching sandbox only; not FHIR or CDS Hooks conformance, clinical evidence, a clinical alert, threshold acceptance, implementation, or deployment"
M05-F08,unit mismatch,pass,1,true,true,true,true,true,"local synthetic teaching sandbox only; not FHIR or CDS Hooks conformance, clinical evidence, a clinical alert, threshold acceptance, implementation, or deployment"
M05-F09,unsupported service,not_applicable,0,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,"local synthetic teaching sandbox only; not FHIR or CDS Hooks conformance, clinical evidence, a clinical alert, threshold acceptance, implementation, or deployment"
M05-F10,missing score,pass,1,true,true,true,true,true,"local synthetic teaching sandbox only; not FHIR or CDS Hooks conformance, clinical evidence, a clinical alert, threshold acceptance, implementation, or deployment"
M05-F11,known diabetes suppression,not_applicable,0,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,"local synthetic teaching sandbox only; not FHIR or CDS Hooks conformance, clinical evidence, a clinical alert, threshold acceptance, implementation, or deployment"
M05-F12,recent HbA1c suppression,not_applicable,0,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,"local synthetic teaching sandbox only; not FHIR or CDS Hooks conformance, clinical evidence, a clinical alert, threshold acceptance, implementation, or deployment"
M05-F13,service unavailable,not_applicable,0,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,"local synthetic teaching sandbox only; not FHIR or CDS Hooks conformance, clinical evidence, a clinical alert, threshold acceptance, implementation, or deployment"
M05-F14,response timeout,not_applicable,0,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,"local synthetic teaching sandbox only; not FHIR or CDS Hooks conformance, clinical evidence, a clinical alert, threshold acceptance, implementation, or deployment"
M05-F15,silent failure,not_applicable,0,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,"local synthetic teaching sandbox only; not FHIR or CDS Hooks conformance, clinical evidence, a clinical alert, threshold acceptance, implementation, or deployment"
M05-F16,accessibility defect,defect_detected,1,false,true,true,true,true,"local synthetic teaching sandbox only; not FHIR or CDS Hooks conformance, clinical evidence, a clinical alert, threshold acceptance, implementation, or deployment"
M05-F17,model version mismatch,pass,1,true,true,true,true,true,"local synthetic teaching sandbox only; not FHIR or CDS Hooks conformance, clinical evidence, a clinical alert, threshold acceptance, implementation, or deployment"
