partition,dimension,group,model,rows,events,support_status,weighted_mean_probability,weighted_brier,weighted_roc_auc,claim_limit
temporal_holdout,recorded_sex,female,transparent_weighted_logit,950,59,report with boundary,0.02750664,0.03535685,0.76032745,"descriptive support audit only; no ranking, fairness certification, or group-specific action"
temporal_holdout,recorded_sex,female,fixed_gradient_boosted,950,59,report with boundary,0.02957971,0.03513709,0.73068262,"descriptive support audit only; no ranking, fairness certification, or group-specific action"
temporal_holdout,recorded_sex,male,transparent_weighted_logit,856,38,report with boundary,0.03277719,0.02092426,0.60735904,"descriptive support audit only; no ranking, fairness certification, or group-specific action"
temporal_holdout,recorded_sex,male,fixed_gradient_boosted,856,38,report with boundary,0.03000730,0.02071160,0.59581659,"descriptive support audit only; no ranking, fairness certification, or group-specific action"
temporal_holdout,age_band,35-44,transparent_weighted_logit,510,18,suppress performance: support rule not met,0.02889325,0.02502760,,"descriptive support audit only; no ranking, fairness certification, or group-specific action"
temporal_holdout,age_band,35-44,fixed_gradient_boosted,510,18,suppress performance: support rule not met,0.02774905,0.02402055,,"descriptive support audit only; no ranking, fairness certification, or group-specific action"
temporal_holdout,age_band,45-54,transparent_weighted_logit,475,19,suppress performance: support rule not met,0.03004902,0.02306383,,"descriptive support audit only; no ranking, fairness certification, or group-specific action"
temporal_holdout,age_band,45-54,fixed_gradient_boosted,475,19,suppress performance: support rule not met,0.03028448,0.02346936,,"descriptive support audit only; no ranking, fairness certification, or group-specific action"
temporal_holdout,age_band,55-64,transparent_weighted_logit,581,43,report with boundary,0.03136824,0.03714580,0.65638641,"descriptive support audit only; no ranking, fairness certification, or group-specific action"
temporal_holdout,age_band,55-64,fixed_gradient_boosted,581,43,report with boundary,0.03258161,0.03718406,0.66261545,"descriptive support audit only; no ranking, fairness certification, or group-specific action"
temporal_holdout,age_band,65-70,transparent_weighted_logit,240,17,suppress performance: support rule not met,0.03042830,0.02412068,,"descriptive support audit only; no ranking, fairness certification, or group-specific action"
temporal_holdout,age_band,65-70,fixed_gradient_boosted,240,17,suppress performance: support rule not met,0.02664962,0.02382221,,"descriptive support audit only; no ranking, fairness certification, or group-specific action"
temporal_holdout,bmi_band,25.0-29.9,transparent_weighted_logit,836,28,report with boundary,0.01867039,0.01236072,0.61291088,"descriptive support audit only; no ranking, fairness certification, or group-specific action"
temporal_holdout,bmi_band,25.0-29.9,fixed_gradient_boosted,836,28,report with boundary,0.01472030,0.01233726,0.59391587,"descriptive support audit only; no ranking, fairness certification, or group-specific action"
temporal_holdout,bmi_band,30.0-34.9,transparent_weighted_logit,524,29,report with boundary,0.02767514,0.02675936,0.62792912,"descriptive support audit only; no ranking, fairness certification, or group-specific action"
