week_index,week_start_date,week_end_date,arrivals,completed_encounters,left_before_seen,left_before_seen_percent,return_within_72h,return_within_72h_percent,shift_median_arrival_to_triage_mean,shift_median_arrival_to_clinician_mean,shift_median_arrival_to_departure_mean,completed_encounters_per_clinician_hour,overtime_hours,mean_queue_end,max_queue_end,special_event_shifts,synthetic_flag
1,2024-01-01,2024-01-07,861,785,76,8.8269,0,0.0,12.881,98.048,299.524,0.9323,18.0,8.2857,15,0,1
2,2024-01-08,2024-01-14,898,816,82,9.1314,0,0.0,13.238,99.405,303.929,0.9737,22.0,8.8542,18,0,1
3,2024-01-15,2024-01-21,888,819,69,7.7703,0,0.0,12.952,96.976,306.714,0.9658,32.0,8.631,20,0,1
4,2024-01-22,2024-01-28,969,897,72,7.4303,0,0.0,13.881,102.762,312.048,1.0553,22.0,9.9196,17,0,1
5,2024-01-29,2024-02-04,906,835,71,7.8366,0,0.0,13.476,99.357,310.214,0.987,18.0,8.9435,16,0,1
6,2024-02-05,2024-02-11,913,814,99,10.8434,0,0.0,13.595,100.0,305.405,0.9599,28.0,8.994,15,0,1
7,2024-02-12,2024-02-18,941,859,82,8.7141,0,0.0,13.5,100.405,307.69,1.0154,10.0,9.2827,17,0,1
8,2024-02-19,2024-02-25,942,858,84,8.9172,0,0.0,13.548,101.333,307.381,1.019,22.0,9.5,20,0,1
9,2024-02-26,2024-03-03,894,823,71,7.9418,0,0.0,13.548,99.524,311.143,0.9751,12.0,8.7708,15,0,1
10,2024-03-04,2024-03-10,880,819,61,6.9318,0,0.0,13.19,98.905,303.595,0.9844,24.0,8.5744,15,0,1
11,2024-03-11,2024-03-17,899,823,76,8.4538,0,0.0,13.476,102.143,305.214,0.9798,16.0,8.9583,16,0,1
12,2024-03-18,2024-03-24,821,758,63,7.6736,0,0.0,12.714,96.119,298.405,0.9045,14.0,7.7738,14,0,1
13,2024-03-25,2024-03-31,845,780,65,7.6923,0,0.0,13.167,99.881,302.643,0.9264,26.0,8.2381,15,0,1
14,2024-04-01,2024-04-07,825,762,63,7.6364,0,0.0,12.5,97.0,300.143,0.9225,18.0,7.9345,18,0,1
15,2024-04-08,2024-04-14,828,749,79,9.5411,0,0.0,12.619,95.214,299.619,0.8917,20.0,7.753,14,0,1
16,2024-04-15,2024-04-21,811,740,71,8.7546,0,0.0,12.619,94.976,300.381,0.8937,24.0,7.5714,14,0,1
17,2024-04-22,2024-04-28,834,760,74,8.8729,0,0.0,12.738,96.286,306.095,0.9201,18.0,7.994,18,0,1
18,2024-04-29,2024-05-05,842,787,55,6.5321,0,0.0,12.643,96.262,301.952,0.9237,16.0,8.0476,15,0,1
19,2024-05-06,2024-05-12,876,798,78,8.9041,0,0.0,13.143,99.119,302.333,0.9477,22.0,8.5506,15,0,1
20,2024-05-13,2024-05-19,768,706,62,8.0729,0,0.0,12.167,91.119,303.714,0.8527,16.0,6.9911,15,0,1
21,2024-05-20,2024-05-26,780,727,53,6.7949,0,0.0,12.381,92.619,298.286,0.8675,22.0,7.25,15,0,1
22,2024-05-27,2024-06-02,808,747,61,7.5495,0,0.0,12.762,97.905,303.81,0.8809,24.0,7.7262,16,0,1
23,2024-06-03,2024-06-09,768,715,53,6.901,0,0.0,12.095,92.762,298.762,0.8392,20.0,7.0714,13,0,1
24,2024-06-10,2024-06-16,774,720,54,6.9767,0,0.0,12.381,95.167,298.238,0.8759,14.0,7.25,13,0,1
25,2024-06-17,2024-06-23,786,709,77,9.7964,0,0.0,12.238,93.095,298.095,0.842,14.0,7.2976,13,0,1
26,2024-06-24,2024-06-30,718,672,46,6.4067,0,0.0,11.762,90.0,299.429,0.7925,24.0,6.4286,12,0,1
27,2024-07-01,2024-07-07,812,749,63,7.7586,0,0.0,13.0,99.214,300.357,0.9046,28.0,7.8274,14,21,1
28,2024-07-08,2024-07-14,813,754,59,7.2571,0,0.0,12.714,97.667,303.857,0.9106,12.0,7.8393,13,21,1
29,2024-07-15,2024-07-21,772,706,66,8.5492,0,0.0,12.5,94.429,298.952,0.8547,10.0,7.0863,12,21,1
30,2024-07-22,2024-07-28,805,734,71,8.8199,0,0.0,12.429,95.357,294.286,0.8717,26.0,7.5655,13,21,1
31,2024-07-29,2024-08-04,878,804,74,8.4282,0,0.0,13.095,98.119,304.452,0.9459,26.0,8.4702,13,21,1
32,2024-08-05,2024-08-11,866,799,67,7.7367,0,0.0,13.357,98.357,301.214,0.9603,20.0,8.4405,17,21,1
33,2024-08-12,2024-08-18,746,683,63,8.445,0,0.0,12.143,91.048,295.381,0.815,26.0,6.744,14,0,1
34,2024-08-19,2024-08-25,747,691,56,7.4967,0,0.0,11.905,91.524,299.976,0.8325,22.0,6.8571,13,0,1
35,2024-08-26,2024-09-01,769,710,59,7.6723,0,0.0,12.429,100.667,304.286,0.8617,36.0,7.7024,15,0,1
36,2024-09-02,2024-09-08,753,697,56,7.4369,0,0.0,12.333,98.19,309.024,0.8377,28.0,7.4643,15,0,1
37,2024-09-09,2024-09-15,789,713,76,9.6324,0,0.0,11.976,98.429,307.381,0.8508,26.0,7.7411,15,0,1
38,2024-09-16,2024-09-22,819,744,75,9.1575,0,0.0,12.524,101.714,308.262,0.8878,14.0,8.3095,15,0,1
39,2024-09-23,2024-09-29,776,720,56,7.2165,0,0.0,12.095,97.929,302.952,0.8451,44.0,7.5774,14,0,1
40,2024-09-30,2024-10-06,858,787,71,8.2751,0,0.0,12.738,102.81,303.976,0.9303,14.0,8.6369,15,0,1
