defect_id,source_table,defect,clean_rule,disposition,measure_effect,owner,status
D001,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
D002,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
D003,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
D004,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
D005,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
D006,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
D007,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
D008,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
D009,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
D010,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
D011,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
D012,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
