context_id,context,stage_id,eligible_completed_encounters,available_clocks,unavailable_clocks,median_minutes,mean_minutes,synthetic_flag
baseline_evening,Weeks 1-24 evening,arrival_to_triage,6695,6695,0,13.0,13.488,1
baseline_evening,Weeks 1-24 evening,triage_to_roomed,6695,6695,0,39.0,39.464,1
baseline_evening,Weeks 1-24 evening,roomed_to_clinician,6695,6695,0,49.0,49.451,1
baseline_evening,Weeks 1-24 evening,clinician_to_disposition,6695,6695,0,192.0,199.646,1
baseline_evening,Weeks 1-24 evening,disposition_to_departure,6695,6695,0,20.0,20.0,1
target_evening,Weeks 35-44 evening,arrival_to_triage,2620,2620,0,13.0,13.164,1
target_evening,Weeks 35-44 evening,triage_to_roomed,2620,2620,0,38.0,38.511,1
target_evening,Weeks 35-44 evening,roomed_to_clinician,2620,2620,0,66.0,65.928,1
target_evening,Weeks 35-44 evening,clinician_to_disposition,2620,2620,0,198.0,203.678,1
target_evening,Weeks 35-44 evening,disposition_to_departure,2620,2620,0,20.0,20.0,1
contemporaneous_day_night,Weeks 35-44 day and night,arrival_to_triage,4824,4824,0,12.0,12.4,1
contemporaneous_day_night,Weeks 35-44 day and night,triage_to_roomed,4824,4824,0,37.0,37.272,1
contemporaneous_day_night,Weeks 35-44 day and night,roomed_to_clinician,4824,4824,0,44.0,45.043,1
contemporaneous_day_night,Weeks 35-44 day and night,clinician_to_disposition,4824,4824,0,192.0,198.764,1
contemporaneous_day_night,Weeks 35-44 day and night,disposition_to_departure,4824,4824,0,20.0,20.0,1
recovery_evening,Weeks 45-52 evening,arrival_to_triage,2229,2229,0,13.0,13.39,1
recovery_evening,Weeks 45-52 evening,triage_to_roomed,2229,2229,0,39.0,39.075,1
recovery_evening,Weeks 45-52 evening,roomed_to_clinician,2229,2229,0,49.0,48.956,1
recovery_evening,Weeks 45-52 evening,clinician_to_disposition,2229,2229,0,195.0,201.592,1
recovery_evening,Weeks 45-52 evening,disposition_to_departure,2229,2229,0,20.0,20.0,1
