chart_id,measure,chart_family,week_index,baseline_status,numerator,denominator,value,unit,centerline,lower_limit,upper_limit,moving_range,moving_range_upper_limit,signal_ids,interpretation_status,synthetic_flag
C01,weekly_left_before_seen,p-chart,1,baseline,76,861,8.826945,percent,8.13767,5.342305,10.933034,,,,no predeclared signal at this point,1
C01,weekly_left_before_seen,p-chart,2,baseline,82,898,9.131403,percent,8.13767,5.400499,10.87484,,,,no predeclared signal at this point,1
C01,weekly_left_before_seen,p-chart,3,baseline,69,888,7.77027,percent,8.13767,5.38513,10.890209,,,,no predeclared signal at this point,1
C01,weekly_left_before_seen,p-chart,4,baseline,72,969,7.430341,percent,8.13767,5.502685,10.772654,,,,no predeclared signal at this point,1
C01,weekly_left_before_seen,p-chart,5,baseline,71,906,7.836645,percent,8.13767,5.412611,10.862729,,,,no predeclared signal at this point,1
C01,weekly_left_before_seen,p-chart,6,baseline,99,913,10.843373,percent,8.13767,5.423077,10.852262,,,,no predeclared signal at this point,1
C01,weekly_left_before_seen,p-chart,7,baseline,82,941,8.714134,percent,8.13767,5.463769,10.81157,,,,no predeclared signal at this point,1
C01,weekly_left_before_seen,p-chart,8,baseline,84,942,8.917197,percent,8.13767,5.465189,10.81015,,,,no predeclared signal at this point,1
C01,weekly_left_before_seen,p-chart,9,baseline,71,894,7.941834,percent,8.13767,5.394383,10.880957,,,,no predeclared signal at this point,1
C01,weekly_left_before_seen,p-chart,10,baseline,61,880,6.931818,percent,8.13767,5.372647,10.902692,,,,no predeclared signal at this point,1
C01,weekly_left_before_seen,p-chart,11,baseline,76,899,8.453838,percent,8.13767,5.402022,10.873317,,,,no predeclared signal at this point,1
C01,weekly_left_before_seen,p-chart,12,baseline,63,821,7.673569,percent,8.13767,5.275018,11.000321,,,,no predeclared signal at this point,1
C01,weekly_left_before_seen,p-chart,13,baseline,65,845,7.692308,percent,8.13767,5.315964,10.959375,,,,no predeclared signal at this point,1
C01,weekly_left_before_seen,p-chart,14,baseline,63,825,7.636364,percent,8.13767,5.281967,10.993373,,,,no predeclared signal at this point,1
C01,weekly_left_before_seen,p-chart,15,baseline,79,828,9.541063,percent,8.13767,5.287145,10.988194,,,,no predeclared signal at this point,1
C01,weekly_left_before_seen,p-chart,16,baseline,71,811,8.754624,percent,8.13767,5.257424,11.017916,,,,no predeclared signal at this point,1
C01,weekly_left_before_seen,p-chart,17,baseline,74,834,8.872902,percent,8.13767,5.297417,10.977922,,,,no predeclared signal at this point,1
C01,weekly_left_before_seen,p-chart,18,baseline,55,842,6.532067,percent,8.13767,5.310942,10.964397,,,,no predeclared signal at this point,1
C01,weekly_left_before_seen,p-chart,19,baseline,78,876,8.90411,percent,8.13767,5.366341,10.908998,,,,no predeclared signal at this point,1
C01,weekly_left_before_seen,p-chart,20,baseline,62,768,8.072917,percent,8.13767,5.17789,11.097449,,,,no predeclared signal at this point,1
C01,weekly_left_before_seen,p-chart,21,baseline,53,780,6.794872,percent,8.13767,5.200746,11.074594,,,,no predeclared signal at this point,1
C01,weekly_left_before_seen,p-chart,22,baseline,61,808,7.549505,percent,8.13767,5.252081,11.023258,,,,no predeclared signal at this point,1
C01,weekly_left_before_seen,p-chart,23,baseline,53,768,6.901042,percent,8.13767,5.17789,11.097449,,,,no predeclared signal at this point,1
C01,weekly_left_before_seen,p-chart,24,baseline,54,774,6.976744,percent,8.13767,5.189384,11.085955,,,,no predeclared signal at this point,1
