week_index,completed_encounters,known_true_events,trigger_true_positives,incident_true_positives,trigger_false_positives,reviewed_non_events,trigger_sensitivity_percent,incident_capture_percent,trigger_specificity_percent,incident_reports_per_1000_completed,synthetic_flag
1,785,11,10,6,7,7,90.9091,54.5455,99.0956,7.6433,1
2,816,19,14,11,6,6,73.6842,57.8947,99.2472,13.4804,1
3,819,24,17,10,8,8,70.8333,41.6667,98.9937,12.21,1
4,897,20,13,5,10,10,65.0,25.0,98.8597,5.5741,1
5,835,18,17,7,7,7,94.4444,38.8889,99.1432,8.3832,1
6,814,17,13,6,7,7,76.4706,35.2941,99.1217,7.371,1
7,859,21,15,11,11,11,71.4286,52.381,98.6874,12.8056,1
8,858,18,15,6,11,11,83.3333,33.3333,98.6905,6.993,1
9,823,21,19,11,4,4,90.4762,52.381,99.5012,13.3657,1
10,819,19,16,6,8,8,84.2105,31.5789,99.0,7.326,1
11,823,16,11,9,5,5,68.75,56.25,99.3804,10.9356,1
12,758,14,13,4,9,9,92.8571,28.5714,98.7903,5.277,1
13,780,11,8,3,6,6,72.7273,27.2727,99.2198,3.8462,1
14,762,24,18,11,2,2,75.0,45.8333,99.729,14.4357,1
15,749,19,11,8,7,7,57.8947,42.1053,99.0411,10.6809,1
16,740,19,16,8,8,8,84.2105,42.1053,98.8904,10.8108,1
17,760,19,15,11,5,5,78.9474,57.8947,99.3252,14.4737,1
18,787,14,10,8,8,8,71.4286,57.1429,98.9651,10.1652,1
19,798,17,13,6,3,3,76.4706,35.2941,99.6159,7.5188,1
20,706,15,8,4,8,8,53.3333,26.6667,98.8423,5.6657,1
21,727,15,15,4,11,11,100.0,26.6667,98.4551,5.5021,1
22,747,19,14,10,7,7,73.6842,52.6316,99.0385,13.3869,1
23,715,22,14,11,5,5,63.6364,50.0,99.2785,15.3846,1
24,720,20,16,11,5,5,80.0,55.0,99.2857,15.2778,1
25,709,22,17,7,11,11,77.2727,31.8182,98.3988,9.8731,1
26,672,15,9,3,7,7,60.0,20.0,98.9346,4.4643,1
27,749,23,16,10,7,7,69.5652,43.4783,99.0358,13.3511,1
28,754,15,12,5,5,5,80.0,33.3333,99.3234,6.6313,1
29,706,11,6,3,4,4,54.5455,27.2727,99.4245,4.2493,1
30,734,15,13,7,10,10,86.6667,46.6667,98.6092,9.5368,1
31,804,17,12,6,7,7,70.5882,35.2941,99.1105,7.4627,1
32,799,29,20,11,7,7,68.9655,37.931,99.0909,13.7672,1
33,683,19,14,5,8,8,73.6842,26.3158,98.7952,7.3206,1
34,691,17,12,3,12,12,70.5882,17.6471,98.2196,4.3415,1
35,710,16,15,5,9,9,93.75,31.25,98.7032,7.0423,1
36,697,10,10,3,6,6,100.0,30.0,99.1266,4.3042,1
37,713,14,10,4,5,5,71.4286,28.5714,99.2847,5.6101,1
38,744,15,11,7,2,2,73.3333,46.6667,99.7257,9.4086,1
39,720,11,8,7,6,6,72.7273,63.6364,99.1537,9.7222,1
40,787,14,6,3,7,7,42.8571,21.4286,99.0944,3.8119,1
41,736,13,11,4,6,6,84.6154,30.7692,99.1701,5.4348,1
42,786,15,13,5,8,8,86.6667,33.3333,98.9624,6.3613,1
43,758,19,14,8,9,9,73.6842,42.1053,98.7821,10.5541,1
44,793,12,11,4,7,7,91.6667,33.3333,99.1037,5.0441,1
45,784,21,15,6,9,9,71.4286,28.5714,98.8204,7.6531,1
46,785,14,11,8,8,8,78.5714,57.1429,98.9624,10.1911,1
47,802,17,14,4,7,7,82.3529,23.5294,99.1083,4.9875,1
48,797,17,13,8,14,14,76.4706,47.0588,98.2051,10.0376,1
49,774,12,11,9,3,3,91.6667,75.0,99.6063,11.6279,1
50,803,17,9,7,11,11,52.9412,41.1765,98.6005,8.7173,1
51,794,17,10,6,6,6,58.8235,35.2941,99.2278,7.5567,1
52,794,25,19,13,10,10,76.0,52.0,98.6996,16.3728,1
