shift_id,date,shift_name,week_index,arrivals,completed_encounters,left_before_seen,left_before_seen_percent,return_within_72h,return_within_72h_percent,valid_event_sequences,valid_event_sequence_percent,clinician_time_available,median_arrival_to_triage_minutes,median_arrival_to_clinician_minutes,median_arrival_to_departure_minutes,clinician_staff_hours,total_staff_hours,overtime_hours,absence_hours,clinician_staff_hours_per_arrival,completed_encounters_per_clinician_hour,mean_queue_end,max_queue_end,median_queue_end,queue_clinician_hours,holiday_flag,synthetic_special_event_flag,synthetic_flag
20240101-night,2024-01-01,night,1,33,30,3,9.0909,0,0.0,33,100.0,30,15.0,115.0,305.0,24.0,80.0,0.0,0.0,0.7273,1.25,6.5,8,7.0,24.0,1,0,1
20240101-day,2024-01-01,day,1,55,50,5,9.0909,0,0.0,55,100.0,50,13.0,91.5,294.0,56.0,164.0,4.0,0.0,1.0182,0.8929,10.4375,12,10.0,56.0,1,0,1
20240101-evening,2024-01-01,evening,1,53,49,4,7.5472,0,0.0,53,100.0,49,15.0,112.0,301.0,40.0,128.0,0.0,0.0,0.7547,1.225,11.625,14,11.5,40.0,1,0,1
20240102-night,2024-01-02,night,1,23,21,2,8.6957,0,0.0,23,100.0,21,12.0,94.0,282.0,24.0,80.0,0.0,0.0,1.0435,0.875,5.25,9,5.0,24.0,0,0,1
20240102-day,2024-01-02,day,1,53,50,3,5.6604,0,0.0,53,100.0,50,13.0,97.0,274.0,58.0,162.0,2.0,0.0,1.0943,0.8621,9.6875,12,10.0,56.0,0,0,1
20240102-evening,2024-01-02,evening,1,40,35,5,12.5,0,0.0,40,100.0,35,13.0,98.0,312.5,40.0,128.0,0.0,0.0,1.0,0.875,8.1875,9,8.0,40.0,0,0,1
20240103-night,2024-01-03,night,1,32,29,3,9.375,0,0.0,32,100.0,29,15.0,108.0,314.0,26.0,74.0,2.0,8.0,0.8125,1.1154,7.0625,8,7.0,24.0,0,0,1
20240103-day,2024-01-03,day,1,43,41,2,4.6512,0,0.0,43,100.0,41,10.0,83.0,298.0,56.0,160.0,0.0,0.0,1.3023,0.7321,7.8125,10,8.0,56.0,0,0,1
20240103-evening,2024-01-03,evening,1,34,31,3,8.8235,0,0.0,34,100.0,31,11.0,90.0,286.0,40.0,128.0,0.0,0.0,1.1765,0.775,6.25,8,6.0,40.0,0,0,1
20240104-night,2024-01-04,night,1,31,26,5,16.129,0,0.0,31,100.0,26,15.0,109.0,307.0,26.0,82.0,2.0,0.0,0.8387,1.0,6.75,8,7.0,24.0,0,0,1
20240104-day,2024-01-04,day,1,44,41,3,6.8182,0,0.0,44,100.0,41,11.0,90.0,276.0,48.0,152.0,0.0,8.0,1.0909,0.8542,8.4375,10,8.5,48.0,0,0,1
20240104-evening,2024-01-04,evening,1,32,31,1,3.125,0,0.0,32,100.0,31,11.0,88.0,278.5,42.0,130.0,2.0,0.0,1.3125,0.7381,5.875,8,6.0,40.0,0,0,1
20240105-night,2024-01-05,night,1,36,32,4,11.1111,0,0.0,36,100.0,32,15.0,115.5,327.5,24.0,80.0,0.0,0.0,0.6667,1.3333,8.0,9,8.0,24.0,0,0,1
20240105-day,2024-01-05,day,1,63,54,9,14.2857,0,0.0,63,100.0,54,13.0,96.5,305.0,58.0,162.0,2.0,0.0,0.9206,0.931,13.0625,15,13.0,56.0,0,0,1
20240105-evening,2024-01-05,evening,1,53,48,5,9.434,0,0.0,53,100.0,48,15.0,111.0,304.0,40.0,128.0,0.0,0.0,0.7547,1.2,12.0625,15,12.0,40.0,0,0,1
20240106-night,2024-01-06,night,1,20,20,0,0.0,0,0.0,20,100.0,20,11.0,82.5,339.5,24.0,80.0,0.0,0.0,1.2,0.8333,4.625,10,4.0,24.0,0,0,1
20240106-day,2024-01-06,day,1,49,43,6,12.2449,0,0.0,49,100.0,43,12.0,86.0,291.0,56.0,152.0,0.0,8.0,1.1429,0.7679,8.5,10,9.0,56.0,0,0,1
20240106-evening,2024-01-06,evening,1,33,32,1,3.0303,0,0.0,33,100.0,32,11.0,88.0,283.0,40.0,128.0,0.0,0.0,1.2121,0.8,6.4375,10,6.0,40.0,0,0,1
20240107-night,2024-01-07,night,1,30,29,1,3.3333,0,0.0,30,100.0,29,13.5,110.0,299.0,24.0,80.0,0.0,0.0,0.8,1.2083,6.625,9,7.0,24.0,0,0,1
20240107-day,2024-01-07,day,1,55,50,5,9.0909,0,0.0,54,98.1818,49,12.0,91.0,301.0,56.0,164.0,4.0,0.0,1.0182,0.8929,10.375,12,10.0,56.0,0,0,1
20240107-evening,2024-01-07,evening,1,49,43,6,12.2449,0,0.0,49,100.0,43,14.0,103.0,312.0,40.0,128.0,0.0,0.0,0.8163,1.075,10.4375,12,10.5,40.0,0,0,1
20240108-night,2024-01-08,night,2,31,30,1,3.2258,0,0.0,31,100.0,30,14.0,111.5,325.0,24.0,80.0,0.0,0.0,0.7742,1.25,7.0,9,7.0,24.0,0,0,1
20240108-day,2024-01-08,day,2,72,64,8,11.1111,0,0.0,72,100.0,64,14.0,106.0,313.5,58.0,162.0,2.0,0.0,0.8056,1.1034,15.125,18,16.0,56.0,0,0,1
20240108-evening,2024-01-08,evening,2,63,53,10,15.873,0,0.0,63,100.0,53,17.0,122.0,331.0,40.0,120.0,0.0,8.0,0.6349,1.325,15.4375,17,16.0,40.0,0,0,1
20240109-night,2024-01-09,night,2,29,29,0,0.0,0,0.0,29,100.0,29,14.0,104.0,323.0,26.0,82.0,2.0,0.0,0.8966,1.1154,7.0,12,7.0,24.0,0,0,1
