condition_id,scenario_id,scenario_name,replications,expected_weekly_arrivals,median_arrivals,median_completed,median_left_before_seen,median_left_before_seen_percent,q10_left_before_seen_percent,q90_left_before_seen_percent,median_median_arrival_to_clinician_minutes,q10_median_arrival_to_clinician_minutes,q90_median_arrival_to_clinician_minutes,median_p90_arrival_to_clinician_minutes,q10_p90_arrival_to_clinician_minutes,q90_p90_arrival_to_clinician_minutes,median_median_arrival_to_departure_minutes,median_clinician_utilization_percent,q10_clinician_utilization_percent,q90_clinician_utilization_percent,median_modeled_overtime_hours,median_flex_clinician_hours,median_trigger_count,median_median_activation_delay_minutes,median_standard_wait_minutes,median_language_support_wait_minutes,median_mobility_support_wait_minutes,median_language_gap_minutes,q10_language_gap_minutes,q90_language_gap_minutes,median_mobility_gap_minutes,median_high_acuity_wait_minutes,median_low_acuity_wait_minutes,median_maximum_waiting_queue,median_fast_track_completed,safety_outcome_status,return_72h_status,conservation_status,synthetic_flag
C01,S00,No change,200,805.136639,803.000000,726.500000,78.000000,9.718811,7.928155,11.773953,58.026503,57.000000,60.000000,119.016354,105.101261,142.135408,102.899077,79.631141,76.870328,82.788054,7.276207,0.000000,0.000000,0.000000,58.066544,57.997710,58.489237,-0.713356,-4.000000,3.294601,-0.018190,44.000000,68.451929,15.000000,0.000000,not simulated; prospective measurement required,not simulated; prospective measurement required,pass,1
C01,S01,Flex clinician coverage,200,805.136639,803.000000,743.500000,61.000000,7.701721,6.072888,9.597953,57.000000,56.000000,58.000000,101.742261,92.950859,115.975214,100.790844,76.524550,73.730895,79.460278,6.695060,40.000000,5.000000,0.000000,57.000000,56.339896,57.000000,-0.284149,-3.634772,3.000000,0.000000,43.000000,68.000000,13.000000,0.000000,not simulated; prospective measurement required,not simulated; prospective measurement required,pass,1
C01,S02,Fast-track activation,200,805.136639,803.000000,764.000000,39.000000,4.782124,3.800643,5.910795,61.011809,58.980859,64.000000,142.070336,121.479328,178.965129,104.928914,80.800331,78.022525,84.420224,7.354891,0.000000,14.000000,15.000000,61.373583,61.011398,61.332529,-0.695626,-4.997109,4.016518,0.000000,44.956528,73.000000,18.000000,83.000000,not simulated; prospective measurement required,not simulated; prospective measurement required,pass,1
C01,S03,Combined bounded rule,200,805.136639,803.000000,745.000000,59.000000,7.346404,5.746284,8.859318,58.000000,57.000000,59.312997,110.385892,98.985181,126.055690,102.169045,78.372611,75.541399,81.188026,7.455053,19.711159,4.000000,15.000000,58.000000,57.688185,58.000000,-0.589911,-4.000000,3.366195,0.000000,43.762730,69.000000,13.000000,21.500000,not simulated; prospective measurement required,not simulated; prospective measurement required,pass,1
C02,S00,No change,200,876.924084,875.000000,772.500000,105.000000,11.914912,9.948937,13.963558,60.035963,58.851089,62.017969,136.453267,118.979710,170.609937,105.400000,84.996853,82.033833,88.006251,7.923167,0.000000,0.000000,0.000000,60.198438,60.159796,60.361834,0.000000,-3.339730,3.125701,0.241085,45.084398,70.473589,18.000000,0.000000,not simulated; prospective measurement required,not simulated; prospective measurement required,pass,1
C02,S01,Flex clinician coverage,200,876.924084,875.000000,795.000000,82.000000,9.393213,7.585505,11.128181,58.437408,57.000000,60.000000,114.495931,102.965161,130.503409,103.011582,81.958563,78.975747,85.250640,7.447020,40.000000,5.000000,0.000000,58.588942,58.175789,59.000000,-0.229648,-3.467654,3.059675,0.268987,44.000000,69.670921,15.000000,0.000000,not simulated; prospective measurement required,not simulated; prospective measurement required,pass,1
C02,S02,Fast-track activation,200,876.924084,875.000000,829.000000,46.000000,5.260214,4.201169,6.116255,66.508977,63.000000,71.774221,180.955701,143.811034,245.472716,109.731094,86.959463,83.719021,90.385550,8.129617,0.000000,16.000000,15.000000,66.417492,66.189199,67.089227,0.163884,-5.325915,5.113645,0.648371,46.412316,79.303299,22.000000,118.000000,not simulated; prospective measurement required,not simulated; prospective measurement required,pass,1
C02,S03,Combined bounded rule,200,876.924084,875.000000,801.000000,76.000000,8.693199,6.977667,10.246691,60.000000,58.000000,61.957742,121.559060,109.468566,140.693790,104.459942,83.486469,80.539816,86.599039,8.228171,25.220413,4.000000,15.000000,60.000000,60.000000,60.044638,0.019018,-3.464420,3.248745,0.229358,44.832704,71.227205,16.000000,30.000000,not simulated; prospective measurement required,not simulated; prospective measurement required,pass,1
C03,S00,No change,200,970.733035,969.500000,820.000000,150.000000,15.540530,13.309593,17.712243,63.076307,61.262103,66.446129,167.663041,141.699924,216.350462,109.681197,91.318272,88.374183,94.063455,8.883021,0.000000,0.000000,0.000000,63.248691,63.526387,63.540507,-0.500356,-4.166997,5.402856,-0.188148,46.522402,74.000000,22.500000,0.000000,not simulated; prospective measurement required,not simulated; prospective measurement required,pass,1
C03,S01,Flex clinician coverage,200,970.733035,969.500000,851.000000,119.000000,12.305240,10.415984,14.714453,60.632283,59.000000,63.000000,135.566338,117.502658,164.115879,106.050084,88.612066,85.742278,91.357899,8.225095,40.000000,5.000000,0.000000,60.623277,60.651153,61.000000,-0.163907,-3.789986,4.050740,-0.045165,45.080732,72.133532,19.000000,0.000000,not simulated; prospective measurement required,not simulated; prospective measurement required,pass,1
C03,S02,Fast-track activation,200,970.733035,969.500000,910.000000,60.000000,6.191950,5.024064,7.415720,81.742532,71.335702,97.121274,285.140752,201.132799,458.589741,120.830824,94.479064,90.991918,97.899392,8.744848,0.000000,20.000000,15.000000,81.751940,80.501748,81.105562,-0.855757,-9.711346,8.180279,-0.541399,49.142260,90.644679,31.000000,179.000000,not simulated; prospective measurement required,not simulated; prospective measurement required,pass,1
C03,S03,Combined bounded rule,200,970.733035,969.500000,863.000000,107.000000,11.197115,9.530590,13.090660,62.995668,60.995319,65.797984,145.231444,123.009177,181.279736,108.000000,89.895911,86.659733,92.720358,9.338857,29.693627,5.000000,15.000000,62.874767,63.000000,63.299954,-0.417880,-4.020966,4.737186,-0.056178,45.946234,75.418012,20.000000,39.000000,not simulated; prospective measurement required,not simulated; prospective measurement required,pass,1
C04,S00,No change,200,970.733035,968.000000,748.000000,220.500000,22.760387,20.135804,25.691427,75.889245,70.153760,90.765027,265.701117,213.625438,380.018282,131.646956,98.047737,96.016832,100.036323,12.370162,0.000000,0.000000,0.000000,75.779457,76.147484,76.632937,-0.584915,-11.142802,10.726388,0.466105,50.187468,84.917874,29.000000,0.000000,not simulated; prospective measurement required,not simulated; prospective measurement required,pass,1
