slice_type,slice_value,rows,actual_mean_arrivals,forecast_mean_arrivals,mae_arrivals,rmse_arrivals,bias_arrivals,underforecast_arrivals,overforecast_arrivals,support_status,synthetic_flag
shift,day,196,47.826531,47.899165,6.474502,7.772974,0.072634,627.383019,641.619331,supported,1
shift,evening,196,42.153061,42.270510,6.363190,7.890712,0.117449,612.082662,635.102664,supported,1
shift,night,196,27.658163,27.492724,4.974155,6.123904,-0.165440,503.680300,471.254158,supported,1
day_of_week,Friday,84,41.261905,41.398739,6.327745,8.034449,0.136834,260.018255,271.512342,supported,1
day_of_week,Monday,84,44.130952,43.504089,5.410051,6.939380,-0.626863,253.550420,200.893899,supported,1
day_of_week,Saturday,84,37.226190,37.422943,6.194035,7.673050,0.196752,251.885857,268.413054,supported,1
day_of_week,Sunday,84,34.976190,34.647998,6.239641,7.327976,-0.328192,275.849014,248.280863,supported,1
day_of_week,Thursday,84,38.678571,38.917896,4.926996,6.111189,0.239324,196.882227,216.985467,supported,1
day_of_week,Tuesday,84,39.166667,38.793805,6.295805,7.629472,-0.372861,280.083990,248.763628,supported,1
day_of_week,Wednesday,84,39.047619,39.860127,6.166704,7.275056,0.812508,224.876219,293.126901,supported,1
holiday,no,579,39.236615,39.245802,5.967333,7.335646,0.009187,1724.882988,1730.202535,supported,1
holiday,yes,9,37.666667,37.612291,4.004068,5.155558,-0.054375,18.262994,17.773617,not supported,1
special_event,no,462,39.201299,39.609223,5.932063,7.289747,0.407924,1276.076076,1464.537059,supported,1
special_event,yes,126,39.253968,37.796581,5.956421,7.370751,-1.457387,467.069905,283.439093,supported,1
season,fall,273,39.875458,39.654429,6.041477,7.338722,-0.221029,854.832015,794.491146,supported,1
season,summer,228,37.736842,37.845159,5.897342,7.362218,0.108317,659.948921,684.645161,supported,1
season,winter,87,41.000000,41.465228,5.714999,7.058999,0.465228,228.365047,268.839846,supported,1
