rank,fold_id,target_shift_id,target_date,shift_name,horizon_shift,actual_arrivals,ml_forecast_arrivals,signed_error,absolute_error,operational_consequence,retention_status,synthetic_flag
1,F09,20240812-evening,2024-08-12,evening,3,23,46.120473,23.120473,23.120473,overforecast resource-attention risk,retained,1
2,F06,20240727-day,2024-07-27,day,17,25,45.297715,20.297715,20.297715,overforecast resource-attention risk,retained,1
3,F25,20241203-evening,2024-12-03,evening,6,24,43.896713,19.896713,19.896713,overforecast resource-attention risk,retained,1
4,F16,20241004-day,2024-10-04,day,14,65,46.376538,-18.623462,18.623462,underforecast preparation risk,retained,1
5,F12,20240906-evening,2024-09-06,evening,15,24,42.267350,18.267350,18.267350,overforecast resource-attention risk,retained,1
6,F08,20240805-evening,2024-08-05,evening,3,62,43.868396,-18.131604,18.131604,underforecast preparation risk,retained,1
7,F26,20241211-day,2024-12-11,day,8,65,47.716342,-17.283658,17.283658,underforecast preparation risk,retained,1
8,F24,20241129-evening,2024-11-29,evening,15,62,44.979529,-17.020471,17.020471,underforecast preparation risk,retained,1
9,F25,20241205-day,2024-12-05,day,11,65,48.611435,-16.388565,16.388565,underforecast preparation risk,retained,1
10,F02,20240629-day,2024-06-29,day,17,28,44.377902,16.377902,16.377902,overforecast resource-attention risk,retained,1
