rank,feature,importance,importance_percent,interpretation
1,shift_name_night,0.699920,69.992035,model split allocation only; not causal
2,horizon_shift,0.061369,6.136863,model split allocation only; not causal
3,lag_21,0.052552,5.255242,model split allocation only; not causal
4,shift_name_day,0.048398,4.839800,model split allocation only; not causal
5,lag_42,0.042586,4.258566,model split allocation only; not causal
6,week_index,0.026839,2.683858,model split allocation only; not causal
7,prior_63_mean,0.019741,1.974144,model split allocation only; not causal
8,shift_name_evening,0.018464,1.846409,model split allocation only; not causal
9,lag_63,0.014631,1.463122,model split allocation only; not causal
10,prior_21_mean,0.004509,0.450873,model split allocation only; not causal
11,weekday_Monday,0.004455,0.445531,model split allocation only; not causal
12,weekday_Friday,0.003201,0.320121,model split allocation only; not causal
13,weekday_Sunday,0.002302,0.230248,model split allocation only; not causal
14,month_6,0.001032,0.103187,model split allocation only; not causal
15,holiday_flag,0.000000,0.000000,model split allocation only; not causal
16,month_1,0.000000,0.000000,model split allocation only; not causal
17,month_10,0.000000,0.000000,model split allocation only; not causal
18,month_11,0.000000,0.000000,model split allocation only; not causal
19,month_12,0.000000,0.000000,model split allocation only; not causal
20,month_2,0.000000,0.000000,model split allocation only; not causal
21,month_3,0.000000,0.000000,model split allocation only; not causal
22,month_4,0.000000,0.000000,model split allocation only; not causal
23,month_5,0.000000,0.000000,model split allocation only; not causal
24,month_7,0.000000,0.000000,model split allocation only; not causal
25,month_8,0.000000,0.000000,model split allocation only; not causal
26,month_9,0.000000,0.000000,model split allocation only; not causal
27,weekday_Saturday,0.000000,0.000000,model split allocation only; not causal
28,weekday_Thursday,0.000000,0.000000,model split allocation only; not causal
29,weekday_Tuesday,0.000000,0.000000,model split allocation only; not causal
30,weekday_Wednesday,0.000000,0.000000,model split allocation only; not causal
