fold_id,test_rows,transparent_mae_arrivals,ml_mae_arrivals,ml_mae_change_percent,transparent_total_error,ml_total_error,difficult_fold,difficult_fold_rule_status,synthetic_flag
F01,21,4.671404,3.834891,-17.907106,67.648309,-2.201437,0,not applicable,1
F02,21,5.141251,5.544591,7.845179,49.778607,76.380761,0,not applicable,1
F03,21,8.037380,5.769494,-28.216730,-151.431011,-58.044426,1,pass,1
F04,21,5.219201,4.289625,-17.810686,55.076830,-30.481918,0,not applicable,1
F05,21,4.829635,4.448812,-7.885124,47.628479,29.521890,0,not applicable,1
F06,21,7.381663,5.947009,-19.435380,-83.018049,-13.717835,0,not applicable,1
F07,21,5.345709,4.834920,-9.555131,-103.867884,-83.056707,0,not applicable,1
F08,21,4.924936,4.568682,-7.233680,51.980824,-27.175594,0,not applicable,1
F09,21,8.174933,6.089323,-25.512254,145.433773,97.361708,1,pass,1
F10,21,5.834350,6.113718,4.788335,11.578664,47.691049,0,not applicable,1
F11,21,5.581432,4.667871,-16.367855,-89.497977,-9.184966,0,not applicable,1
F12,21,7.021058,6.108543,-12.996842,61.807428,17.709242,0,not applicable,1
F13,21,4.432626,4.595071,3.664761,-10.748519,-22.164644,0,not applicable,1
F14,21,6.972601,6.407702,-8.101691,-41.981559,-44.180590,0,not applicable,1
F15,21,7.408872,3.513632,-52.575350,152.923905,23.960636,1,pass,1
F16,21,7.952120,5.592426,-29.673776,-146.711334,-67.526459,1,pass,1
F17,21,5.453973,5.548374,1.730869,37.349139,7.820021,0,not applicable,1
F18,21,7.136702,6.598680,-7.538808,-77.463848,-62.528357,0,not applicable,1
F19,21,4.285572,3.756026,-12.356488,37.857219,-20.842158,0,not applicable,1
F20,21,5.181246,4.795779,-7.439655,-62.686081,-68.893802,0,not applicable,1
F21,21,5.818651,6.038221,3.773554,81.445434,-23.794693,0,not applicable,1
F22,21,4.987838,4.561290,-8.551760,-40.420745,-19.413238,0,not applicable,1
F23,21,5.918761,5.408712,-8.617490,-4.164841,-30.636149,0,not applicable,1
F24,21,5.460257,5.369184,-1.667935,-36.859748,-12.536256,0,not applicable,1
F25,21,6.468715,6.516678,0.741454,56.127889,12.810349,0,not applicable,1
F26,21,6.358151,6.017484,-5.357961,-1.124380,-3.133605,0,not applicable,1
F27,21,5.648712,4.710622,-16.607146,-53.103691,-9.649375,0,not applicable,1
F28,21,4.596161,4.106477,-10.654190,51.273343,-5.772370,0,not applicable,1
