fold_id,issue_date,train_start_week,train_end_week,eligible_train_rows,test_week,test_start_date,test_end_date,test_rows,common_row_identity,target_week_excluded_from_training,preprocessing_fit
F01,2024-06-16,4,24,441,25,2024-06-17,2024-06-23,21,pass,pass,training fold only
F02,2024-06-23,4,25,462,26,2024-06-24,2024-06-30,21,pass,pass,training fold only
F03,2024-06-30,4,26,483,27,2024-07-01,2024-07-07,21,pass,pass,training fold only
F04,2024-07-07,4,27,504,28,2024-07-08,2024-07-14,21,pass,pass,training fold only
F05,2024-07-14,4,28,525,29,2024-07-15,2024-07-21,21,pass,pass,training fold only
F06,2024-07-21,4,29,546,30,2024-07-22,2024-07-28,21,pass,pass,training fold only
F07,2024-07-28,4,30,567,31,2024-07-29,2024-08-04,21,pass,pass,training fold only
F08,2024-08-04,4,31,588,32,2024-08-05,2024-08-11,21,pass,pass,training fold only
F09,2024-08-11,4,32,609,33,2024-08-12,2024-08-18,21,pass,pass,training fold only
F10,2024-08-18,4,33,630,34,2024-08-19,2024-08-25,21,pass,pass,training fold only
F11,2024-08-25,4,34,651,35,2024-08-26,2024-09-01,21,pass,pass,training fold only
F12,2024-09-01,4,35,672,36,2024-09-02,2024-09-08,21,pass,pass,training fold only
F13,2024-09-08,4,36,693,37,2024-09-09,2024-09-15,21,pass,pass,training fold only
F14,2024-09-15,4,37,714,38,2024-09-16,2024-09-22,21,pass,pass,training fold only
F15,2024-09-22,4,38,735,39,2024-09-23,2024-09-29,21,pass,pass,training fold only
F16,2024-09-29,4,39,756,40,2024-09-30,2024-10-06,21,pass,pass,training fold only
F17,2024-10-06,4,40,777,41,2024-10-07,2024-10-13,21,pass,pass,training fold only
F18,2024-10-13,4,41,798,42,2024-10-14,2024-10-20,21,pass,pass,training fold only
F19,2024-10-20,4,42,819,43,2024-10-21,2024-10-27,21,pass,pass,training fold only
F20,2024-10-27,4,43,840,44,2024-10-28,2024-11-03,21,pass,pass,training fold only
F21,2024-11-03,4,44,861,45,2024-11-04,2024-11-10,21,pass,pass,training fold only
F22,2024-11-10,4,45,882,46,2024-11-11,2024-11-17,21,pass,pass,training fold only
F23,2024-11-17,4,46,903,47,2024-11-18,2024-11-24,21,pass,pass,training fold only
F24,2024-11-24,4,47,924,48,2024-11-25,2024-12-01,21,pass,pass,training fold only
F25,2024-12-01,4,48,945,49,2024-12-02,2024-12-08,21,pass,pass,training fold only
F26,2024-12-08,4,49,966,50,2024-12-09,2024-12-15,21,pass,pass,training fold only
F27,2024-12-15,4,50,987,51,2024-12-16,2024-12-22,21,pass,pass,training fold only
F28,2024-12-22,4,51,1008,52,2024-12-23,2024-12-29,21,pass,pass,training fold only
