fold_id,issue_shift_id,issue_date,train_start_week,train_end_week,train_rows,test_week,test_start_date,test_end_date,horizon_shifts,special_event_shifts,synthetic_flag,selected_method,actual_arrivals,forecast_arrivals,forecast_error,fold_mae_arrivals
F01,20240616-evening,2024-06-16,1,24,504,25,2024-06-17,2024-06-23,21,0,1,seasonal_exponential_smoothing,786,853.648307,67.648307,4.671404
F02,20240623-evening,2024-06-23,1,25,525,26,2024-06-24,2024-06-30,21,0,1,seasonal_exponential_smoothing,718,767.778607,49.778607,5.141251
F03,20240630-evening,2024-06-30,1,26,546,27,2024-07-01,2024-07-07,21,21,1,seasonal_exponential_smoothing,812,660.568988,-151.431012,8.037380
F04,20240707-evening,2024-07-07,1,27,567,28,2024-07-08,2024-07-14,21,21,1,seasonal_exponential_smoothing,813,868.076828,55.076828,5.219201
F05,20240714-evening,2024-07-14,1,28,588,29,2024-07-15,2024-07-21,21,21,1,seasonal_exponential_smoothing,772,819.628482,47.628482,4.829635
F06,20240721-evening,2024-07-21,1,29,609,30,2024-07-22,2024-07-28,21,21,1,seasonal_exponential_smoothing,805,721.981952,-83.018048,7.381663
F07,20240728-evening,2024-07-28,1,30,630,31,2024-07-29,2024-08-04,21,21,1,seasonal_exponential_smoothing,878,774.132114,-103.867886,5.345709
F08,20240804-evening,2024-08-04,1,31,651,32,2024-08-05,2024-08-11,21,21,1,seasonal_exponential_smoothing,866,917.980823,51.980823,4.924936
F09,20240811-evening,2024-08-11,1,32,672,33,2024-08-12,2024-08-18,21,0,1,seasonal_exponential_smoothing,746,891.433773,145.433773,8.174933
F10,20240818-evening,2024-08-18,1,33,693,34,2024-08-19,2024-08-25,21,0,1,seasonal_exponential_smoothing,747,758.578662,11.578662,5.834350
F11,20240825-evening,2024-08-25,1,34,714,35,2024-08-26,2024-09-01,21,0,1,seasonal_exponential_smoothing,769,679.502021,-89.497979,5.581432
F12,20240901-evening,2024-09-01,1,35,735,36,2024-09-02,2024-09-08,21,0,1,seasonal_exponential_smoothing,753,814.807431,61.807431,7.021059
F13,20240908-evening,2024-09-08,1,36,756,37,2024-09-09,2024-09-15,21,0,1,seasonal_exponential_smoothing,789,778.251482,-10.748518,4.432626
F14,20240915-evening,2024-09-15,1,37,777,38,2024-09-16,2024-09-22,21,0,1,seasonal_exponential_smoothing,819,777.018439,-41.981561,6.972601
F15,20240922-evening,2024-09-22,1,38,798,39,2024-09-23,2024-09-29,21,0,1,seasonal_exponential_smoothing,776,928.923903,152.923903,7.408872
F16,20240929-evening,2024-09-29,1,39,819,40,2024-09-30,2024-10-06,21,0,1,seasonal_exponential_smoothing,858,711.288668,-146.711332,7.952120
F17,20241006-evening,2024-10-06,1,40,840,41,2024-10-07,2024-10-13,21,0,1,seasonal_exponential_smoothing,800,837.349139,37.349139,5.453973
F18,20241013-evening,2024-10-13,1,41,861,42,2024-10-14,2024-10-20,21,0,1,seasonal_exponential_smoothing,870,792.536153,-77.463847,7.136702
F19,20241020-evening,2024-10-20,1,42,882,43,2024-10-21,2024-10-27,21,0,1,seasonal_exponential_smoothing,838,875.857218,37.857218,4.285572
F20,20241027-evening,2024-10-27,1,43,903,44,2024-10-28,2024-11-03,21,0,1,seasonal_exponential_smoothing,893,830.313920,-62.686080,5.181246
F21,20241103-evening,2024-11-03,1,44,924,45,2024-11-04,2024-11-10,21,0,1,seasonal_exponential_smoothing,866,947.445433,81.445433,5.818651
F22,20241110-evening,2024-11-10,1,45,945,46,2024-11-11,2024-11-17,21,0,1,seasonal_exponential_smoothing,869,828.579256,-40.420744,4.987838
F23,20241117-evening,2024-11-17,1,46,966,47,2024-11-18,2024-11-24,21,0,1,seasonal_exponential_smoothing,889,884.835160,-4.164840,5.918761
F24,20241124-evening,2024-11-24,1,47,987,48,2024-11-25,2024-12-01,21,0,1,seasonal_exponential_smoothing,878,841.140250,-36.859750,5.460257
F25,20241201-evening,2024-12-01,1,48,1008,49,2024-12-02,2024-12-08,21,0,1,seasonal_exponential_smoothing,853,909.127888,56.127888,6.468715
F26,20241208-evening,2024-12-08,1,49,1029,50,2024-12-09,2024-12-15,21,0,1,seasonal_exponential_smoothing,863,861.875620,-1.124380,6.358151
F27,20241215-evening,2024-12-15,1,50,1050,51,2024-12-16,2024-12-22,21,0,1,seasonal_exponential_smoothing,869,815.896309,-53.103691,5.648712
F28,20241222-evening,2024-12-22,1,51,1071,52,2024-12-23,2024-12-29,21,0,1,seasonal_exponential_smoothing,862,913.273342,51.273342,4.596161
