"trial_id","display","facility_a_id","facility_a_name","facility_a_percent","facility_b_id","facility_b_name","facility_b_percent","correct_alias","correct_hospital_id","correct_hospital_name","correct_gap_points","cms_release_date"
"T01","dot","220012","CAPE COD HOSPITAL",71,"220002","MOUNT AUBURN HOSPITAL",75,"B","220002","MOUNT AUBURN HOSPITAL",4,"2026-08-13"
"T02","dot","220163","UMASS MEMORIAL MEDICAL CENTER/UNIVERSITY CAMPUS",72,"220033","NORTHEAST HOSPITAL CORPORATION",66,"A","220163","UMASS MEMORIAL MEDICAL CENTER/UNIVERSITY CAMPUS",6,"2026-08-13"
"T03","bar","220100","SOUTH SHORE HOSPITAL",68,"220031","BOSTON MEDICAL CENTER",73,"B","220031","BOSTON MEDICAL CENTER",5,"2026-08-13"
"T04","bar","220086","BETH ISRAEL DEACONESS MEDICAL CENTER",79,"220105","WINCHESTER HOSPITAL",75,"A","220086","BETH ISRAEL DEACONESS MEDICAL CENTER",4,"2026-08-13"
"T05","table","220086","BETH ISRAEL DEACONESS MEDICAL CENTER",79,"220088","NEW ENGLAND BAPTIST HOSPITAL",86,"B","220088","NEW ENGLAND BAPTIST HOSPITAL",7,"2026-08-13"
"T06","table","220100","SOUTH SHORE HOSPITAL",68,"220010","MERRIMACK HEALTH LAWRENCE HOSPITAL",62,"A","220100","SOUTH SHORE HOSPITAL",6,"2026-08-13"
"T07","pie","220060","BETH ISRAEL DEACONESS HOSPITAL PLYMOUTH",66,"220074","SOUTHCOAST HOSPITALS GROUP",72,"B","220074","SOUTHCOAST HOSPITALS GROUP",6,"2026-08-13"
"T08","pie","220077","BAYSTATE MEDICAL CENTER",62,"220176","ST VINCENT HOSPITAL",52,"A","220077","BAYSTATE MEDICAL CENTER",10,"2026-08-13"
"T09","bubble","220033","NORTHEAST HOSPITAL CORPORATION",66,"220171","LAHEY HOSPITAL & MEDICAL CENTER, BURLINGTON",72,"B","220171","LAHEY HOSPITAL & MEDICAL CENTER, BURLINGTON",6,"2026-08-13"
"T10","bubble","220105","WINCHESTER HOSPITAL",75,"220031","BOSTON MEDICAL CENTER",73,"A","220105","WINCHESTER HOSPITAL",2,"2026-08-13"
