geo_id,county_fips,acs_adult_population,acs_adult_moe90,acs_65plus_population,acs_65plus_moe90,acs_65plus_share_adult_pct,acs_moe_status,acs_period,acs_table
0500000US01001,01001,45917,1091,9759,563,21.3,reported,2020-2024,B01001
0500000US01003,01003,194799,3048,53523,1760,27.5,reported,2020-2024,B01001
0500000US01005,01005,19531,649,4955,308,25.4,reported,2020-2024,B01001
0500000US01007,01007,17693,767,3846,387,21.7,reported,2020-2024,B01001
0500000US01009,01009,45785,1060,11067,639,24.2,reported,2020-2024,B01001
0500000US01011,01011,7990,592,1867,298,23.4,reported,2020-2024,B01001
0500000US01013,01013,14518,583,4101,321,28.2,reported,2020-2024,B01001
0500000US01015,01015,91197,1588,21156,822,23.2,reported,2020-2024,B01001
0500000US01017,01017,27043,870,6939,483,25.7,reported,2020-2024,B01001
0500000US01019,01019,20717,698,6220,460,30.0,reported,2020-2024,B01001
0500000US01021,01021,34887,1115,7802,560,22.4,reported,2020-2024,B01001
0500000US01023,01023,9937,479,3016,267,30.4,reported,2020-2024,B01001
0500000US01025,01025,17685,701,4748,396,26.8,reported,2020-2024,B01001
0500000US01027,01027,11218,523,2918,262,26.0,reported,2020-2024,B01001
0500000US01029,01029,12039,629,3103,378,25.8,reported,2020-2024,B01001
0500000US01031,01031,41670,928,9446,482,22.7,reported,2020-2024,B01001
0500000US01033,01033,45654,1321,11853,717,26.0,reported,2020-2024,B01001
0500000US01035,01035,9014,545,2809,289,31.2,reported,2020-2024,B01001
0500000US01037,01037,8505,536,2607,285,30.7,reported,2020-2024,B01001
0500000US01039,01039,29282,781,8355,438,28.5,reported,2020-2024,B01001
0500000US01041,01041,10135,452,2649,231,26.1,reported,2020-2024,B01001
0500000US01043,01043,70253,1434,17234,815,24.5,reported,2020-2024,B01001
0500000US01045,01045,38028,917,8969,516,23.6,reported,2020-2024,B01001
0500000US01047,01047,28153,907,7515,502,26.7,reported,2020-2024,B01001
0500000US01049,01049,54916,1289,12748,665,23.2,reported,2020-2024,B01001
0500000US01051,01051,70213,1423,14803,718,21.1,reported,2020-2024,B01001
0500000US01053,01053,28321,925,6955,502,24.6,reported,2020-2024,B01001
0500000US01055,01055,80523,1440,20340,868,25.3,reported,2020-2024,B01001
