county_fips,county_name,polygon_group,point_order,longitude,latitude
37001,Alamance County,37001-1-1,1,-79.541728,35.899851
37001,Alamance County,37001-1-1,2,-79.542428,35.843303
37001,Alamance County,37001-1-1,3,-79.392517,35.843805
37001,Alamance County,37001-1-1,4,-79.350051,35.843908
37001,Alamance County,37001-1-1,5,-79.237316,35.844247
37001,Alamance County,37001-1-1,6,-79.250393,35.856978
37001,Alamance County,37001-1-1,7,-79.249538,35.876810
37001,Alamance County,37001-1-1,8,-79.257629,35.903039
37001,Alamance County,37001-1-1,9,-79.268243,35.909182
37001,Alamance County,37001-1-1,10,-79.264027,35.914114
37001,Alamance County,37001-1-1,11,-79.263608,35.969378
37001,Alamance County,37001-1-1,12,-79.264541,35.973745
37001,Alamance County,37001-1-1,13,-79.261807,36.039873
37001,Alamance County,37001-1-1,14,-79.261641,36.045345
37001,Alamance County,37001-1-1,15,-79.262143,36.061681
37001,Alamance County,37001-1-1,16,-79.260871,36.074906
37001,Alamance County,37001-1-1,17,-79.260179,36.081087
37001,Alamance County,37001-1-1,18,-79.260375,36.094073
37001,Alamance County,37001-1-1,19,-79.260370,36.094296
37001,Alamance County,37001-1-1,20,-79.260101,36.107860
37001,Alamance County,37001-1-1,21,-79.259859,36.120068
37001,Alamance County,37001-1-1,22,-79.259120,36.157402
37001,Alamance County,37001-1-1,23,-79.258384,36.194368
37001,Alamance County,37001-1-1,24,-79.257952,36.243445
37001,Alamance County,37001-1-1,25,-79.345200,36.245431
37001,Alamance County,37001-1-1,26,-79.376211,36.246131
37001,Alamance County,37001-1-1,27,-79.432187,36.247406
37001,Alamance County,37001-1-1,28,-79.531865,36.249673
37001,Alamance County,37001-1-1,29,-79.532410,36.241463
37001,Alamance County,37001-1-1,30,-79.535104,36.182412
37001,Alamance County,37001-1-1,31,-79.538273,36.105925
37001,Alamance County,37001-1-1,32,-79.539163,36.081152
37001,Alamance County,37001-1-1,33,-79.539278,36.063039
37001,Alamance County,37001-1-1,34,-79.539686,36.011151
37001,Alamance County,37001-1-1,35,-79.539887,35.993971
37001,Alamance County,37001-1-1,36,-79.540657,35.951937
37001,Alamance County,37001-1-1,37,-79.541728,35.899851
37003,Alexander County,37003-1-1,1,-81.337773,35.856948
37003,Alexander County,37003-1-1,2,-81.343993,35.824163
37003,Alexander County,37003-1-1,3,-81.334272,35.796281
37003,Alexander County,37003-1-1,4,-81.315913,35.796857
37003,Alexander County,37003-1-1,5,-81.304399,35.802548
37003,Alexander County,37003-1-1,6,-81.299539,35.798338
37003,Alexander County,37003-1-1,7,-81.268760,35.804455
37003,Alexander County,37003-1-1,8,-81.253457,35.809332
37003,Alexander County,37003-1-1,9,-81.251279,35.814722
37003,Alexander County,37003-1-1,10,-81.232541,35.812455
37003,Alexander County,37003-1-1,11,-81.228100,35.810388
37003,Alexander County,37003-1-1,12,-81.205137,35.822800
37003,Alexander County,37003-1-1,13,-81.190407,35.822385
37003,Alexander County,37003-1-1,14,-81.149609,35.828958
37003,Alexander County,37003-1-1,15,-81.142327,35.827167
37003,Alexander County,37003-1-1,16,-81.128613,35.789803
37003,Alexander County,37003-1-1,17,-81.109507,35.776594
37003,Alexander County,37003-1-1,18,-81.078943,35.802775
37003,Alexander County,37003-1-1,19,-81.041339,35.857855
37003,Alexander County,37003-1-1,20,-81.029900,35.889968
37003,Alexander County,37003-1-1,21,-81.029848,35.890124
37003,Alexander County,37003-1-1,22,-81.005541,35.958287
37003,Alexander County,37003-1-1,23,-81.005327,35.962342
37003,Alexander County,37003-1-1,24,-81.003400,35.996737
37003,Alexander County,37003-1-1,25,-81.028833,36.045652
37003,Alexander County,37003-1-1,26,-81.057543,36.031572
37003,Alexander County,37003-1-1,27,-81.098132,36.028177
