county_fips,state_abbr,state_name,county_name,measure_id,measure_name,measure_year,release_label,places_total_population,places_adult_population,crude_prevalence_pct,crude_low_95_pct,crude_high_95_pct,age_adjusted_prevalence_pct,age_adjusted_low_95_pct,age_adjusted_high_95_pct,modeled_adult_count,count_status,acs_adult_population,acs_adult_moe90,acs_65plus_population,acs_65plus_moe90,acs_65plus_share_adult_pct,acs_moe_status,adult_population_difference_pct,teaching_low_denominator_flag,source_footnote
37001,NC,North Carolina,Alamance,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,176353,137937,12.7,11.0,14.7,11.3,9.8,13.1,17518,"modeled estimate, not observed cases",137684,1920,30353,1026,22.0,reported,-0.2,0,
37003,NC,North Carolina,Alexander,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,36512,29357,12.1,10.5,14.1,9.7,8.3,11.2,3552,"modeled estimate, not observed cases",29268,957,7721,552,26.4,reported,-0.3,0,
37005,NC,North Carolina,Alleghany,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,11185,9346,15.7,13.6,18.0,11.1,9.5,12.8,1467,"modeled estimate, not observed cases",9342,488,3435,311,36.8,reported,-0.0,1,
37007,NC,North Carolina,Anson,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,22202,17846,16.4,14.3,18.5,13.9,12.1,15.9,2927,"modeled estimate, not observed cases",17863,673,4395,386,24.6,reported,0.1,0,
37009,NC,North Carolina,Ashe,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,27110,22615,13.4,11.5,15.4,9.6,8.3,11.1,3030,"modeled estimate, not observed cases",22403,753,7343,481,32.8,reported,-0.9,0,
37011,NC,North Carolina,Avery,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,17571,15070,12.5,10.8,14.5,10.1,8.7,11.6,1884,"modeled estimate, not observed cases",15126,647,4180,342,27.6,reported,0.4,0,
37013,NC,North Carolina,Beaufort,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,44272,35727,15.7,13.6,18.2,11.5,9.9,13.3,5609,"modeled estimate, not observed cases",35984,956,11412,603,31.7,reported,0.7,0,
37015,NC,North Carolina,Bertie,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,17240,14342,19.0,16.7,21.7,14.9,13.1,17.1,2725,"modeled estimate, not observed cases",14382,678,4340,403,30.2,reported,0.3,0,
37017,NC,North Carolina,Bladen,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,29446,23540,16.8,14.7,19.1,12.7,11.0,14.6,3955,"modeled estimate, not observed cases",23472,918,6935,535,29.5,reported,-0.3,0,
37019,NC,North Carolina,Brunswick,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,153064,131836,14.2,12.3,16.3,9.2,7.9,10.6,18721,"modeled estimate, not observed cases",131147,2007,51604,1357,39.3,reported,-0.5,0,
37021,NC,North Carolina,Buncombe,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,273589,225801,9.9,8.5,11.4,8.0,6.9,9.3,22354,"modeled estimate, not observed cases",225435,3108,58291,1749,25.9,reported,-0.2,0,
37023,NC,North Carolina,Burke,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,87881,72247,13.0,11.3,15.0,10.4,8.9,12.0,9392,"modeled estimate, not observed cases",71627,1520,19031,863,26.6,reported,-0.9,0,
37025,NC,North Carolina,Cabarrus,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,235797,177234,10.8,9.3,12.5,9.9,8.5,11.5,19141,"modeled estimate, not observed cases",176700,2373,32038,1224,18.1,reported,-0.3,0,
37027,NC,North Carolina,Caldwell,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,80492,64779,13.1,11.3,15.1,10.5,9.0,12.1,8486,"modeled estimate, not observed cases",64636,1530,17272,841,26.7,reported,-0.2,0,
37029,NC,North Carolina,Camden,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,11088,8570,11.2,9.6,13.0,9.4,8.0,10.9,960,"modeled estimate, not observed cases",8399,556,1799,244,21.4,reported,-2.0,1,
37031,NC,North Carolina,Carteret,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,69380,57810,13.1,11.3,15.1,9.2,7.9,10.6,7573,"modeled estimate, not observed cases",57497,1117,18665,674,32.5,reported,-0.5,0,
