facility_id,facility_name,city,state,county,measure_id,measure_name,compared_to_national,denominator,score,lower_estimate,higher_estimate,number_of_patients,number_of_patients_returned,footnote_code,footnote_text,start_date,end_date,estimate_status,source_release
010001,SOUTHEAST HEALTH MEDICAL CENTER,DOTHAN,AL,HOUSTON,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,1107,19.9,17.7,22.3,,,,,2023-07-01,2025-06-30,reported,2026-08-13
010005,MARSHALL MEDICAL CENTERS,BOAZ,AL,MARSHALL,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,199,20.4,18.2,22.9,,,,,2023-07-01,2025-06-30,reported,2026-08-13
010006,NORTH ALABAMA MEDICAL CENTER,FLORENCE,AL,LAUDERDALE,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,601,23.1,20.7,25.7,,,,,2023-07-01,2025-06-30,reported,2026-08-13
010007,MIZELL MEMORIAL HOSPITAL,OPP,AL,COVINGTON,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,62,21.7,19.3,24.3,,,,,2023-07-01,2025-06-30,reported,2026-08-13
010011,ST. VINCENT'S EAST,BIRMINGHAM,AL,JEFFERSON,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,537,21.4,19.0,23.9,,,29,This measure was calculated using partial performance period data due to a CMS-approved exception.,2023-07-01,2025-06-30,reported,2026-08-13
010012,DEKALB REGIONAL MEDICAL CENTER,FORT PAYNE,AL,DE KALB,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,155,22.2,19.7,25.0,,,,,2023-07-01,2025-06-30,reported,2026-08-13
010016,SHELBY BAPTIST MEDICAL CENTER,ALABASTER,AL,SHELBY,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,499,19.9,17.7,22.3,,,,,2023-07-01,2025-06-30,reported,2026-08-13
010019,HELEN KELLER HOSPITAL,SHEFFIELD,AL,COLBERT,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,312,20.6,18.1,23.1,,,,,2023-07-01,2025-06-30,reported,2026-08-13
010021,DALE MEDICAL CENTER,OZARK,AL,DALE,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,27,20.6,18.3,23.2,,,,,2023-07-01,2025-06-30,reported,2026-08-13
010022,FLOYD CHEROKEE MEDICAL CENTER,CENTRE,AL,CHEROKEE,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Number of Cases Too Small,,,,,,,1,The number of cases/patients is too few to report.,2023-07-01,2025-06-30,too_few,2026-08-13
010023,BAPTIST MEDICAL CENTER SOUTH,MONTGOMERY,AL,MONTGOMERY,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,552,21.8,19.4,24.5,,,,,2023-07-01,2025-06-30,reported,2026-08-13
010024,JACKSON HOSPITAL & CLINIC INC,MONTGOMERY,AL,MONTGOMERY,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,567,20.1,17.8,22.6,,,,,2023-07-01,2025-06-30,reported,2026-08-13
010029,THE EAST ALABAMA HEALTHCARE AUTHORITY,OPELIKA,AL,LEE,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,562,19.5,17.2,22.0,,,,,2023-07-01,2025-06-30,reported,2026-08-13
010033,UNIVERSITY OF ALABAMA HOSPITAL,BIRMINGHAM,AL,JEFFERSON,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,1295,21.0,18.5,23.5,,,,,2023-07-01,2025-06-30,reported,2026-08-13
010034,COMMUNITY HOSPITAL INC,TALLASSEE,AL,ELMORE,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,31,20.8,18.5,23.5,,,,,2023-07-01,2025-06-30,reported,2026-08-13
010035,CULLMAN REGIONAL MEDICAL CENTER,CULLMAN,AL,CULLMAN,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Worse Than the National Rate,537,24.4,21.6,27.2,,,,,2023-07-01,2025-06-30,reported,2026-08-13
010036,ANDALUSIA HEALTH,ANDALUSIA,AL,COVINGTON,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,133,20.9,18.5,23.6,,,,,2023-07-01,2025-06-30,reported,2026-08-13
010039,HUNTSVILLE HOSPITAL,HUNTSVILLE,AL,MADISON,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,1566,20.8,18.3,23.5,,,,,2023-07-01,2025-06-30,reported,2026-08-13
010040,GADSDEN REGIONAL MEDICAL CENTER,GADSDEN,AL,ETOWAH,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,416,22.1,19.8,24.7,,,,,2023-07-01,2025-06-30,reported,2026-08-13
010044,MARION REGIONAL MEDICAL CENTER,HAMILTON,AL,MARION,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,27,22.2,19.3,25.0,,,,,2023-07-01,2025-06-30,reported,2026-08-13
010045,FAYETTE MEDICAL CENTER,FAYETTE,AL,FAYETTE,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,48,21.3,18.7,24.2,,,,,2023-07-01,2025-06-30,reported,2026-08-13
010046,RIVERVIEW REGIONAL MEDICAL CENTER,GADSDEN,AL,ETOWAH,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,536,22.8,20.3,25.6,,,,,2023-07-01,2025-06-30,reported,2026-08-13
010049,MEDICAL CENTER ENTERPRISE,ENTERPRISE,AL,COFFEE,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,138,20.5,17.9,23.3,,,,,2023-07-01,2025-06-30,reported,2026-08-13
010051,GREENE COUNTY HOSPITAL,EUTAW,AL,GREENE,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Number of Cases Too Small,,,,,,,1,The number of cases/patients is too few to report.,2023-07-01,2025-06-30,too_few,2026-08-13
010052,LAKE MARTIN COMMUNITY HOSPITAL,DADEVILLE,AL,TALLAPOOSA,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,32,20.5,18.0,23.2,,,,,2023-07-01,2025-06-30,reported,2026-08-13
010055,FLOWERS HOSPITAL,DOTHAN,AL,HOUSTON,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,479,21.9,19.4,24.7,,,,,2023-07-01,2025-06-30,reported,2026-08-13
