facility_id,facility_name,city,state,county,measure_id,measure_name,compared_to_national,denominator,score,lower_estimate,higher_estimate,number_of_patients,number_of_patients_returned,footnote_code,footnote_text,start_date,end_date,estimate_status,source_release,reported_rank_worst_first,interval_width,contains_national_rate,source_comparison_group,denominator_display_group,top_ten_point_rank
220001,UMASS MEMORIAL HEALTHALLIANCE HOSPITALS,LEOMINSTER,MA,WORCESTER,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,654,22.8,19.1,26.7,,,,,2023-07-01,2025-06-30,reported,2026-08-13,19,7.6,1,no different,500 or more,0
220002,MOUNT AUBURN HOSPITAL,CAMBRIDGE,MA,MIDDLESEX,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,550,20.3,16.7,24.1,,,,,2023-07-01,2025-06-30,reported,2026-08-13,47,7.4,1,no different,500 or more,0
220008,STURDY MEMORIAL HOSPITAL,ATTLEBORO,MA,BRISTOL,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,428,21.9,18.1,26.0,,,,,2023-07-01,2025-06-30,reported,2026-08-13,28,7.9,1,no different,100 to 499,0
220010,MERRIMACK HEALTH LAWRENCE HOSPITAL,LAWRENCE,MA,ESSEX,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,650,21.9,18.3,25.8,,,,,2023-07-01,2025-06-30,reported,2026-08-13,26,7.5,1,no different,500 or more,0
220011,CAMBRIDGE HEALTH ALLIANCE,CAMBRIDGE,MA,MIDDLESEX,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,387,21.1,17.6,24.7,,,,,2023-07-01,2025-06-30,reported,2026-08-13,41,7.1,1,no different,100 to 499,0
220012,CAPE COD HOSPITAL,HYANNIS,MA,BARNSTABLE,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,1094,23.6,19.8,27.9,,,,,2023-07-01,2025-06-30,reported,2026-08-13,5,8.1,1,no different,500 or more,1
220015,"COOLEY DICKINSON HOSPITAL INC,THE",NORTHAMPTON,MA,HAMPSHIRE,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,371,22.5,18.7,26.7,,,,,2023-07-01,2025-06-30,reported,2026-08-13,20,8.0,1,no different,100 to 499,0
220016,BAYSTATE FRANKLIN MEDICAL CENTER,GREENFIELD,MA,FRANKLIN,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,289,23.3,19.5,27.9,,,,,2023-07-01,2025-06-30,reported,2026-08-13,9,8.4,1,no different,100 to 499,1
220017,CARNEY HOSPITAL,BOSTON,MA,SUFFOLK,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Not Available,,,,,,,19,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,2023-07-01,2025-06-30,not_available,2026-08-13,,,,not available,unavailable,0
220019,UMASS MEMORIAL HEALTH - HARRINGTON HOSPITAL,SOUTHBRIDGE,MA,WORCESTER,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,368,23.5,19.7,27.7,,,,,2023-07-01,2025-06-30,reported,2026-08-13,8,8.0,1,no different,100 to 499,1
22001F,BEDFORD VA MEDICAL CENTER,BEDFORD,MA,MIDDLESEX,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Not Available,,,,,,,5,Results are not available for this reporting period.,2023-07-01,2025-06-30,not_available,2026-08-13,,,,not available,unavailable,0
