facility_id,facility_name,city,county,measure_id,measure_name,denominator,score,lower_estimate,higher_estimate,start_date,end_date,estimate_status,source_comparison_group,display_status,display_label,display_symbol,display_shape,display_shape_code,display_line_type,display_color_hex,contrast_on_white,contrast_on_black,reading_order,short_alt_row,footnote_text,source_release
220020,SAINT ANNE'S HOSPITAL,FALL RIVER,BRISTOL,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,467,25.2,21.4,29.6,2023-07-01,2025-06-30,reported,worse,worse,Worse than national,W,triangle,17,solid,#B2182B,6.87,3.06,1,"SAINT ANNE'S HOSPITAL: score 25.2, source interval 21.4 to 29.6, denominator 467, worse than national.",,2026-08-13
220095,HEYWOOD HOSPITAL -,GARDNER,WORCESTER,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,247,24.8,20.6,29.8,2023-07-01,2025-06-30,reported,no different,no different,No different from national,N,circle,16,solid,#2166AC,5.90,3.56,2,"HEYWOOD HOSPITAL -: score 24.8, source interval 20.6 to 29.8, denominator 247, no different from national.",,2026-08-13
22010F,VA BOSTON HEALTHCARE SYSTEM - JAMAICA PLAIN,JAMAICA PLAIN,SUFFOLK,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,538,24.7,20.7,29.2,2023-07-01,2025-06-30,reported,no different,no different,No different from national,N,circle,16,solid,#2166AC,5.90,3.56,3,"VA BOSTON HEALTHCARE SYSTEM - JAMAICA PLAIN: score 24.7, source interval 20.7 to 29.2, denominator 538, no different from national.",,2026-08-13
220111,GOOD SAMARITAN MEDICAL CENTER,BROCKTON,PLYMOUTH,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,807,24.0,20.2,28.3,2023-07-01,2025-06-30,reported,no different,no different,No different from national,N,circle,16,solid,#2166AC,5.90,3.56,4,"GOOD SAMARITAN MEDICAL CENTER: score 24.0, source interval 20.2 to 28.3, denominator 807, no different from national.",,2026-08-13
220012,CAPE COD HOSPITAL,HYANNIS,BARNSTABLE,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,1094,23.6,19.8,27.9,2023-07-01,2025-06-30,reported,no different,no different,No different from national,N,circle,16,solid,#2166AC,5.90,3.56,5,"CAPE COD HOSPITAL: score 23.6, source interval 19.8 to 27.9, denominator 1094, no different from national.",,2026-08-13
220024,HOLYOKE MEDICAL CENTER,HOLYOKE,HAMPDEN,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,342,23.6,19.8,27.9,2023-07-01,2025-06-30,reported,no different,no different,No different from national,N,circle,16,solid,#2166AC,5.90,3.56,6,"HOLYOKE MEDICAL CENTER: score 23.6, source interval 19.8 to 27.9, denominator 342, no different from national.",,2026-08-13
220052,SIGNATURE HEALTHCARE BROCKTON HOSPITAL,BROCKTON,PLYMOUTH,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,194,23.6,20.2,27.8,2023-07-01,2025-06-30,reported,no different,no different,No different from national,N,circle,16,solid,#2166AC,5.90,3.56,7,"SIGNATURE HEALTHCARE BROCKTON HOSPITAL: score 23.6, source interval 20.2 to 27.8, denominator 194, no different from national.",,2026-08-13
220019,UMASS MEMORIAL HEALTH - HARRINGTON HOSPITAL,SOUTHBRIDGE,WORCESTER,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,368,23.5,19.7,27.7,2023-07-01,2025-06-30,reported,no different,no different,No different from national,N,circle,16,solid,#2166AC,5.90,3.56,8,"UMASS MEMORIAL HEALTH - HARRINGTON HOSPITAL: score 23.5, source interval 19.7 to 27.7, denominator 368, no different from national.",,2026-08-13
220016,BAYSTATE FRANKLIN MEDICAL CENTER,GREENFIELD,FRANKLIN,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,289,23.3,19.5,27.9,2023-07-01,2025-06-30,reported,no different,no different,No different from national,N,circle,16,solid,#2166AC,5.90,3.56,9,"BAYSTATE FRANKLIN MEDICAL CENTER: score 23.3, source interval 19.5 to 27.9, denominator 289, no different from national.",,2026-08-13
220105,WINCHESTER HOSPITAL,WINCHESTER,MIDDLESEX,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,646,23.3,19.5,27.6,2023-07-01,2025-06-30,reported,no different,no different,No different from national,N,circle,16,solid,#2166AC,5.90,3.56,10,"WINCHESTER HOSPITAL: score 23.3, source interval 19.5 to 27.6, denominator 646, no different from national.",,2026-08-13
220083,BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM,NEEDHAM,NORFOLK,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,517,23.2,19.5,27.4,2023-07-01,2025-06-30,reported,no different,no different,No different from national,N,circle,16,solid,#2166AC,5.90,3.56,11,"BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM: score 23.2, source interval 19.5 to 27.4, denominator 517, no different from national.",,2026-08-13
220074,SOUTHCOAST HOSPITALS GROUP,FALL RIVER,BRISTOL,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,2088,23.1,19.2,27.3,2023-07-01,2025-06-30,reported,no different,no different,No different from national,N,circle,16,solid,#2166AC,5.90,3.56,12,"SOUTHCOAST HOSPITALS GROUP: score 23.1, source interval 19.2 to 27.3, denominator 2088, no different from national.",,2026-08-13
221300,MARTHA'S VINEYARD HOSPITAL INC,OAK BLUFFS,DUKES,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,70,23.0,19.1,27.6,2023-07-01,2025-06-30,reported,no different,no different,No different from national,N,circle,16,solid,#2166AC,5.90,3.56,13,"MARTHA'S VINEYARD HOSPITAL INC: score 23.0, source interval 19.1 to 27.6, denominator 70, no different from national.",,2026-08-13
220100,SOUTH SHORE HOSPITAL,SOUTH WEYMOUTH,NORFOLK,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,1802,23.0,19.3,27.2,2023-07-01,2025-06-30,reported,no different,no different,No different from national,N,circle,16,solid,#2166AC,5.90,3.56,14,"SOUTH SHORE HOSPITAL: score 23.0, source interval 19.3 to 27.2, denominator 1802, no different from national.",,2026-08-13
