week_end,jurisdiction,respiratory_season,inpatient_beds,inpatient_beds_occupied,inpatient_occupancy_pct,icu_beds,icu_beds_occupied,icu_occupancy_pct,covid_new_admissions,flu_new_admissions,rsv_new_admissions,hospitals_reporting_occupancy,hospitals_reporting_occupancy_pct
2024-11-09,AK,,1411,993,70.38,202,117,57.92,13,5,4,20,83.33
2024-11-09,AL,,12186,9343,76.67,2190,1674,76.44,111,32,62,94,94.00
2024-11-09,AR,,9850,5217,52.96,1411,902,63.93,59,11,7,78,83.87
2024-11-09,AS,,,,,,,,,,,0,0.00
2024-11-09,AZ,,13691,9974,72.85,2113,1417,67.06,505,288,40,83,84.69
2024-11-09,CA,,63051,47499,75.33,9337,6378,68.31,609,141,112,345,87.56
2024-11-09,CO,,13128,7732,58.90,1927,1149,59.63,143,20,10,91,91.92
2024-11-09,CT,,9108,6404,70.31,1124,784,69.75,79,4,21,31,96.88
2024-11-09,DC,,2454,1888,76.94,418,328,78.47,8,3,14,8,72.73
2024-11-09,DE,,2320,1887,81.34,259,222,85.71,19,4,42,10,90.91
2024-11-09,FL,,52098,40337,77.43,6616,4691,70.90,399,347,401,235,86.08
2024-11-09,GA,,22068,16582,75.14,3430,2626,76.56,83,40,175,128,80.50
2024-11-09,GU,,293,282,96.25,32,22,68.75,0,3,2,2,100.00
2024-11-09,HI,,2555,1890,73.97,296,208,70.27,22,7,15,26,92.86
2024-11-09,IA,,7305,4546,62.23,833,543,65.19,45,4,5,107,88.43
2024-11-09,ID,,1740,1173,67.41,244,155,63.52,22,5,2,27,57.45
2024-11-09,IL,,25825,18359,71.09,3538,2402,67.89,221,32,61,170,84.58
2024-11-09,IN,,16318,11255,68.97,2833,1894,66.85,177,29,17,133,93.66
2024-11-09,KS,,6770,4507,66.57,1031,700,67.90,45,9,1,110,77.46
2024-11-09,KY,,11512,7912,68.73,2280,1701,74.61,119,14,24,96,87.27
2024-11-09,LA,,12608,8586,68.10,2072,1473,71.09,76,84,51,133,82.10
2024-11-09,MA,,12733,10854,85.24,1389,1127,81.14,201,29,25,62,73.81
2024-11-09,MD,,9872,8032,81.36,1373,1074,78.22,99,8,75,40,78.43
2024-11-09,ME,,2736,2196,80.26,427,256,59.95,35,1,1,31,83.78
2024-11-09,MI,,16612,12554,75.57,2571,1974,76.78,534,42,37,126,80.77
2024-11-09,MN,,11516,8550,74.24,1417,1058,74.66,202,29,14,123,92.48
2024-11-09,MO,,15846,12181,76.87,2598,1959,75.40,148,30,20,106,85.48
2024-11-09,MP,,,,,,,,,,,0,0.00
2024-11-09,MS,,7974,5206,65.29,1194,685,57.37,37,23,25,84,79.25
2024-11-09,MT,,2415,1457,60.33,240,115,47.92,15,0,0,46,73.02
2024-11-09,NC,,23791,17763,74.66,3791,2761,72.83,191,27,29,120,90.91
2024-11-09,ND,,2154,1442,66.95,306,166,54.25,14,0,0,46,93.88
2024-11-09,NE,,5313,3259,61.34,645,365,56.59,31,3,0,90,92.78
2024-11-09,NH,,2049,1421,69.35,150,109,72.67,46,14,6,19,73.08
2024-11-09,NJ,,20255,14133,69.78,2961,1698,57.35,183,30,101,75,88.24
2024-11-09,NM,,4457,2573,57.73,433,290,66.97,83,16,6,37,75.51
2024-11-09,NV,,6121,4374,71.46,1230,770,62.60,45,27,9,34,69.39
2024-11-09,NY,,39044,30867,79.06,5017,3802,75.78,405,50,154,166,80.98
2024-11-09,OH,,29701,21433,72.16,4764,3337,70.05,393,532,86,193,90.19
2024-11-09,OK,,9954,6973,70.05,1279,920,71.93,59,13,0,122,86.52
2024-11-09,OR,,6341,4643,73.22,778,568,73.01,65,22,3,48,77.42
2024-11-09,PA,,25556,19049,74.54,3518,2530,71.92,864,138,185,177,81.94
2024-11-09,PR,,1392,829,59.55,118,72,61.02,8,25,13,7,12.73
2024-11-09,RI,,2292,1881,82.07,237,193,81.43,28,3,9,11,91.67
2024-11-09,SC,,11505,7943,69.04,1453,1056,72.68,75,21,46,68,91.89
2024-11-09,SD,,2535,1463,57.71,335,149,44.48,30,2,0,52,85.25
2024-11-09,TN,,18524,13231,71.43,3054,2008,65.75,113,77,88,117,88.64
2024-11-09,TX,,57998,42553,73.37,10007,6985,69.80,319,170,391,394,76.06
2024-11-09,USA,,687110,500438,72.83,100561,70253,69.86,7507,2481,2461,4779,84.06
