year,stateabbr,statedesc,locationname,locationid,measureid,measure,data_value_type,datavaluetypeid,data_value,low_confidence_limit,high_confidence_limit,totalpopulation,totalpop18plus,data_value_footnote_symbol,data_value_footnote
2022,AL,Alabama,Autauga,01001,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,15.4,13.4,17.4,59759,45878,,
2022,AL,Alabama,Autauga,01001,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,15.5,13.6,17.6,59759,45878,,
2022,AL,Alabama,Baldwin,01003,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,14.7,12.8,16.8,246435,195167,,
2022,AL,Alabama,Baldwin,01003,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,14.0,12.2,16.0,246435,195167,,
2022,AL,Alabama,Barbour,01005,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,21.9,19.1,24.6,24706,19675,,
2022,AL,Alabama,Barbour,01005,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,20.9,18.3,23.6,24706,19675,,
2022,AL,Alabama,Bibb,01007,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,21.8,19.3,24.5,22005,17660,,
2022,AL,Alabama,Bibb,01007,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,21.1,18.6,23.7,22005,17660,,
2022,AL,Alabama,Blount,01009,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,19.5,17.1,22.1,59512,46000,,
2022,AL,Alabama,Blount,01009,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,19.1,16.7,21.5,59512,46000,,
2022,AL,Alabama,Bullock,01011,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,24.9,22.1,27.8,10202,8049,,
2022,AL,Alabama,Bullock,01011,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,24.6,21.8,27.6,10202,8049,,
2022,AL,Alabama,Butler,01013,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,20.4,17.9,23.2,18650,14473,,
2022,AL,Alabama,Butler,01013,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,19.5,17.1,22.2,18650,14473,,
2022,AL,Alabama,Calhoun,01015,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,18.0,15.8,20.3,115788,91336,,
2022,AL,Alabama,Calhoun,01015,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,17.0,14.9,19.3,115788,91336,,
2022,AL,Alabama,Chambers,01017,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,20.9,18.3,23.7,34088,27025,,
2022,AL,Alabama,Chambers,01017,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,20.6,18.0,23.3,34088,27025,,
2022,AL,Alabama,Cherokee,01019,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,17.6,15.4,20.1,25302,20586,,
2022,AL,Alabama,Cherokee,01019,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,16.3,14.2,18.6,25302,20586,,
2022,AL,Alabama,Chilton,01021,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,15.5,13.5,17.6,45884,35069,,
2022,AL,Alabama,Chilton,01021,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,15.8,13.8,18.0,45884,35069,,
2022,AL,Alabama,Choctaw,01023,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,20.8,18.0,23.4,12439,9977,,
2022,AL,Alabama,Choctaw,01023,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,20.2,17.5,22.7,12439,9977,,
2022,AL,Alabama,Clarke,01025,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,20.5,18.1,23.1,22515,17657,,
2022,AL,Alabama,Clarke,01025,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,19.9,17.5,22.4,22515,17657,,
2022,AL,Alabama,Clay,01027,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,21.5,18.8,24.3,14198,11235,,
2022,AL,Alabama,Clay,01027,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,20.6,18.0,23.3,14198,11235,,
2022,AL,Alabama,Cleburne,01029,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,20.8,18.3,23.5,15346,11832,,
2022,AL,Alabama,Cleburne,01029,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,20.9,18.4,23.6,15346,11832,,
2022,AL,Alabama,Coffee,01031,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,14.6,12.8,16.5,54805,41812,,
2022,AL,Alabama,Coffee,01031,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,14.4,12.5,16.3,54805,41812,,
2022,AL,Alabama,Colbert,01033,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,18.8,16.3,21.4,58033,45809,,
2022,AL,Alabama,Colbert,01033,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,17.6,15.3,20.1,58033,45809,,
2022,AL,Alabama,Conecuh,01035,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,19.8,17.3,22.4,11206,8943,,
2022,AL,Alabama,Conecuh,01035,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,18.8,16.4,21.3,11206,8943,,
2022,AL,Alabama,Coosa,01037,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,20.3,17.9,22.9,10166,8479,,
2022,AL,Alabama,Coosa,01037,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,18.9,16.7,21.3,10166,8479,,
2022,AL,Alabama,Covington,01039,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,18.9,16.6,21.4,37602,29340,,
2022,AL,Alabama,Covington,01039,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,16.9,14.8,19.2,37602,29340,,
2022,AL,Alabama,Crenshaw,01041,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,20.0,17.5,22.6,13025,10003,,
2022,AL,Alabama,Crenshaw,01041,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,19.0,16.6,21.4,13025,10003,,
2022,AL,Alabama,Cullman,01043,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,18.6,16.2,21.1,90665,70581,,
2022,AL,Alabama,Cullman,01043,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,18.4,16.0,20.9,90665,70581,,
2022,AL,Alabama,Dale,01045,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,18.5,16.2,21.1,49544,38039,,
2022,AL,Alabama,Dale,01045,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,18.1,15.8,20.6,49544,38039,,
2022,AL,Alabama,Dallas,01047,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,19.7,17.3,22.2,36767,28171,,
2022,AL,Alabama,Dallas,01047,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,18.9,16.6,21.4,36767,28171,,
2022,AL,Alabama,DeKalb,01049,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,22.5,20.0,25.3,71998,54954,,
2022,AL,Alabama,DeKalb,01049,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,22.5,19.9,25.3,71998,54954,,
2022,AL,Alabama,Elmore,01051,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,15.8,13.8,18.0,89563,70369,,
2022,AL,Alabama,Elmore,01051,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,15.6,13.6,17.8,89563,70369,,
2022,AL,Alabama,Escambia,01053,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,21.7,19.1,24.6,36666,28378,,
2022,AL,Alabama,Escambia,01053,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,21.1,18.6,23.9,36666,28378,,
2022,AL,Alabama,Etowah,01055,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,18.8,16.4,21.4,103088,81013,,
2022,AL,Alabama,Etowah,01055,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,18.4,16.1,20.9,103088,81013,,
2022,AL,Alabama,Fayette,01057,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,21.8,19.2,24.6,16118,12706,,
2022,AL,Alabama,Fayette,01057,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,20.7,18.3,23.4,16118,12706,,
2022,AL,Alabama,Franklin,01059,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,20.3,17.9,23.0,31932,24099,,
2022,AL,Alabama,Franklin,01059,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,19.9,17.5,22.5,31932,24099,,
2022,AL,Alabama,Geneva,01061,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,18.0,15.7,20.4,26783,20925,,
2022,AL,Alabama,Geneva,01061,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,17.6,15.3,20.0,26783,20925,,
2022,AL,Alabama,Greene,01063,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,23.9,21.2,26.7,7422,5801,,
2022,AL,Alabama,Greene,01063,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,22.0,19.4,24.8,7422,5801,,
2022,AL,Alabama,Hale,01065,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,18.6,16.3,21.0,14595,11112,,
2022,AL,Alabama,Hale,01065,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,18.3,16.1,20.7,14595,11112,,
2022,AL,Alabama,Henry,01067,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,21.5,18.8,24.3,17655,14074,,
2022,AL,Alabama,Henry,01067,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,20.8,18.2,23.5,17655,14074,,
2022,AL,Alabama,Houston,01069,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,18.8,16.6,21.3,108079,83692,,
