HPSA Name,HPSA ID,Designation Type,HPSA Discipline Class,HPSA Score,Primary State Abbreviation,HPSA Status,HPSA Designation Date,HPSA Designation Last Update Date,HPSA Degree of Shortage,Withdrawn Date,HPSA FTE,HPSA Designation Population,% of Population Below 100% Poverty,HPSA Formal Ratio,HPSA Population Type,Rural Status,Common County Name,Common State Abbreviation,State and County Federal Information Processing Standard Code,HPSA Component Name,HPSA Component Source Identification Number,HPSA Component Type Description,HPSA Estimated Served Population,HPSA Estimated Underserved Population,HPSA Provider Ratio Goal,HPSA Shortage,Data Warehouse Record Create Date
MI-Alamance County,1373286298,HPSA Population,Primary Care,16,NC,Proposed For Withdrawal,08/13/2013,02/26/2026,Not applicable,,3.3600,17848.0,16.8,5312:1,Other Population HPSA,Non-Rural,"Alamance County, NC",NC,37001,Alamance,,Single County,10080,7768,3000:1,2.5900,08/29/2026
LI-Alamance County,1375340595,HPSA Population,Primary Care,11,NC,Designated,02/26/2026,02/26/2026,Not applicable,,15.0735,56610.0,14.1,3756:1,Low Income Population HPSA,Non-Rural,"Alamance County, NC",NC,37001,Alamance,,Single County,45220,11390,3000:1,3.7965,08/29/2026
Low Income - Alamance County,1379993750,HPSA Population,Primary Care,0,NC,Withdrawn,03/31/1994,11/03/2011,Not applicable,11/03/2011,14.1000,39522.0,,2803:1,Low Income Population HPSA,Non-Rural,"Alamance County, NC",NC,37001,Alamance,,Single County,42300,-2778,3000:1,0.0000,08/29/2026
Alexander,137003,Geographic HPSA,Primary Care,0,NC,Withdrawn,05/10/1978,06/29/2012,Not applicable,06/29/2012,7.6000,36336.0,,4781:1,Geographic Population,Partially Rural,"Alexander County, NC",NC,37003,Alexander,,Single County,26600,9736,3500:1,2.7800,08/29/2026
MI-Alexander County,1372090630,HPSA Population,Primary Care,17,NC,Withdrawn,08/13/2013,07/07/2021,Not applicable,07/07/2021,0.4500,6994.0,16.8,15542:1,Other Population HPSA,Partially Rural,"Alexander County, NC",NC,37003,Alexander,,Single County,1350,5644,3000:1,1.8800,08/29/2026
LI-Alexander County,1376736142,HPSA Population,Primary Care,14,NC,Designated,08/17/2020,09/22/2025,Not applicable,,1.1972,11283.0,12.0,9424:1,Low Income Population HPSA,Partially Rural,"Alexander County, NC",NC,37003,Alexander,,Single County,3592,7691,3000:1,2.5628,08/29/2026
Alexander Correctional Institution,1379691234,Correctional Facility,Primary Care,6,NC,Designated,07/06/2018,11/22/2022,6,,0.3250,1235.0,,,,Non-Rural,"Alexander County, NC",NC,37003,Alexander Correctional Institution,1379691234,Unknown,,,1000:1,0.9150,08/29/2026
Alleghany,137005,Geographic HPSA,Primary Care,0,NC,Withdrawn,06/13/1979,03/19/1984,Not applicable,03/19/1984,5.0000,10083.0,19.0,2016:1,Geographic Population,Rural,"Alleghany County, NC",NC,37005,Alleghany,,Single County,17500,-7417,3500:1,,08/29/2026
LI - Alleghany County,1376406826,HPSA Population,Primary Care,15,NC,Designated,11/18/2009,09/22/2025,Not applicable,,0.6691,5134.0,17.3,7673:1,Low Income Population HPSA,Rural,"Alleghany County, NC",NC,37005,Alleghany,,Single County,2007,3127,3000:1,1.0409,08/29/2026
APPALACHIAN DISTRICT HEALTH DEPARTMENT,13799937HC,Federally Qualified Health Center,Primary Care,19,NC,Designated,08/17/2017,09/22/2025,,,,26599.0,,,,Rural,"Alleghany County, NC",NC,37005,APPALACHIAN DISTRICT HEALTH DEPARTMENT,13799937HC,Unknown,,,,,08/29/2026
Anson,1371844321,Geographic HPSA,Primary Care,17,NC,Designated,11/21/2024,09/22/2025,Not applicable,,2.9500,19973.0,21.2,6771:1,Geographic Population,Rural,"Anson County, NC",NC,37007,Anson,,Single County,10325,9648,3500:1,2.7600,08/29/2026
Anson County,1373572421,High Needs Geographic HPSA,Primary Care,16,NC,Withdrawn,12/31/2018,07/01/2026,Not applicable,07/01/2026,4.5000,23092.0,19.4,5132:1,Geographic Population,Rural,"Anson County, NC",NC,37007,Anson,,Single County,13500,9592,3000:1,3.2000,08/29/2026
Anson County,1377578129,Geographic HPSA,Primary Care,13,NC,Withdrawn,12/22/2011,06/25/2019,Not applicable,06/25/2019,6.5000,24247.0,24.1,3730:1,Geographic Population,Rural,"Anson County, NC",NC,37007,Anson,,Single County,22750,1497,3500:1,0.4300,08/29/2026
Anson Correctional Institution,1379455148,Correctional Facility,Primary Care,21,NC,Designated,08/24/2018,11/22/2022,12,,0.0000,898.0,,,,Rural,"Anson County, NC",NC,37007,Anson Correctional Institution,1379455148,Unknown,,,1000:0,0.9000,08/29/2026
ANSON REGIONAL MEDICAL SERVICES INC,1379993789,Federally Qualified Health Center,Primary Care,16,NC,Designated,10/26/2002,09/22/2025,,,,35164.0,,,,Rural,"Anson County, NC",NC,37007,ANSON REGIONAL MEDICAL SERVICES INC,1379993789,Unknown,,,,,08/29/2026
LI - Ashe County,1372591249,HPSA Population,Primary Care,17,NC,Designated,09/07/2004,09/22/2025,Not applicable,,0.9762,10073.0,14.0,10319:1,Low Income Population HPSA,Rural,"Ashe County, NC",NC,37009,Ashe,,Single County,2929,7144,3000:1,2.3838,08/29/2026
Avery-Mitchell Correctional Institution,1371275540,Correctional Facility,Primary Care,6,NC,Designated,07/06/2018,12/28/2022,6,,0.2500,748.0,,,,Rural,"Avery County, NC",NC,37011,Avery-Mitchell Correctional Institution,1371275540,Unknown,,,1000:1,0.5000,08/29/2026
LI - Avery County,1371380759,HPSA Population,Primary Care,14,NC,Designated,08/22/2006,09/22/2025,Not applicable,,0.6446,5384.0,10.9,8352:1,Low Income Population HPSA,Rural,"Avery County, NC",NC,37011,Avery,,Single County,1934,3450,3000:1,1.1454,08/29/2026
Mountain View Correctional Institution,1379024581,Correctional Facility,Primary Care,6,NC,Designated,07/06/2018,04/06/2023,6,,0.2500,744.0,,,,Rural,"Avery County, NC",NC,37011,Mountain View Correctional Institution,1379024581,Unknown,,,1000:1,0.4900,08/29/2026
Low Income - Bayboro/Aurora,1372566303,HPSA Population,Primary Care,15,NC,Withdrawn,03/28/2007,01/02/2024,Not applicable,01/02/2024,0.1800,5844.0,13.7,32467:1,Low Income Population HPSA,,"Beaufort County, NC",NC,37013,Richland township,,County Subdivision,540,5304,3000:1,1.7700,08/29/2026
LI - Beaufort County,1374008819,HPSA Population,Primary Care,18,NC,Designated,11/22/2021,06/03/2025,Not applicable,,1.9914,16225.0,18.0,8148:1,Low Income Population HPSA,Rural,"Beaufort County, NC",NC,37013,Beaufort,,Single County,5974,10251,3000:1,3.4186,08/29/2026
LI-Washington,1375990884,HPSA Population,Primary Care,10,NC,Withdrawn,11/29/2019,01/02/2024,Not applicable,01/02/2024,4.7658,14508.0,17.9,3044:1,Low Income Population HPSA,,"Beaufort County, NC",NC,37013,Washington township,,County Subdivision,14297,211,3000:1,0.0742,08/29/2026
LI-Washington,1375990884,HPSA Population,Primary Care,10,NC,Withdrawn,11/29/2019,01/02/2024,Not applicable,01/02/2024,4.7658,14508.0,17.9,3044:1,Low Income Population HPSA,,"Beaufort County, NC",NC,37013,Chocowinity township,,County Subdivision,14297,211,3000:1,0.0742,08/29/2026
LI-Washington,1375990884,HPSA Population,Primary Care,10,NC,Withdrawn,11/29/2019,01/02/2024,Not applicable,01/02/2024,4.7658,14508.0,17.9,3044:1,Low Income Population HPSA,,"Beaufort County, NC",NC,37013,Long Acre township,,County Subdivision,14297,211,3000:1,0.0742,08/29/2026
Belhaven/Swan Quarter,1376520725,Geographic HPSA,Primary Care,13,NC,Withdrawn,10/01/1985,01/02/2024,Not applicable,01/02/2024,3.0000,16064.0,19.4,5355:1,Geographic Population,,"Beaufort County, NC",NC,37013,Bath township,,County Subdivision,10500,5564,3500:1,1.5900,08/29/2026
Belhaven/Swan Quarter,1376520725,Geographic HPSA,Primary Care,13,NC,Withdrawn,10/01/1985,01/02/2024,Not applicable,01/02/2024,3.0000,16064.0,19.4,5355:1,Geographic Population,,"Beaufort County, NC",NC,37013,Pantego township,,County Subdivision,10500,5564,3500:1,1.5900,08/29/2026
Bayboro/Aurora,1379993701,Geographic HPSA,Primary Care,0,NC,Withdrawn,09/17/1979,03/28/2007,Not applicable,03/28/2007,4.6000,0.0,21.4,0:1,Geographic Population,,"Beaufort County, NC",NC,37013,Richland,,County Subdivision,16100,-16100,3500:1,,08/29/2026
METROPOLITAN COMMUNITY HEALTH SERVICES INC,13799937A5,Federally Qualified Health Center,Primary Care,22,NC,Designated,09/30/2003,09/22/2025,,,,51597.0,,,,Rural,"Beaufort County, NC",NC,37013,METROPOLITAN COMMUNITY HEALTH SERVICES INC,13799937A5,Unknown,,,,,08/29/2026
Bertie,137015,Geographic HPSA,Primary Care,0,NC,Withdrawn,09/17/1979,11/03/2011,Not applicable,11/03/2011,9.0000,19420.0,,2158:1,Geographic Population,Rural,"Bertie County, NC",NC,37015,Bertie,,Single County,31500,-12080,3500:1,0.0000,08/29/2026
MI-Bertie County,1372188989,HPSA Population,Primary Care,20,NC,Withdrawn,10/25/2013,07/01/2026,Not applicable,07/01/2026,0.3600,2395.0,22.9,6653:1,Other Population HPSA,Rural,"Bertie County, NC",NC,37015,Bertie,,Single County,1080,1315,3000:1,0.4400,08/29/2026
LI - Bertie County,1374515878,HPSA Population,Primary Care,19,NC,Designated,08/07/2025,08/07/2025,Not applicable,,1.0726,7569.0,19.7,7057:1,Low Income Population HPSA,Rural,"Bertie County, NC",NC,37015,Bertie,,Single County,3218,4351,3000:1,1.4474,08/29/2026
Bertie Correctional Institution,1375454076,Correctional Facility,Primary Care,3,NC,Designated,07/06/2018,11/22/2022,3,,1.0000,1376.0,,,,Rural,"Bertie County, NC",NC,37015,Bertie Correctional Institution,1375454076,Unknown,,,1000:1,0.3800,08/29/2026
BERTIE COUNTY RURAL HEALTH ASSOCIATION,13799937A8,Federally Qualified Health Center,Primary Care,18,NC,Designated,10/26/2002,09/22/2025,,,,14816.0,,,,Rural,"Bertie County, NC",NC,37015,BERTIE COUNTY RURAL HEALTH ASSOCIATION,13799937A8,Unknown,,,,,08/29/2026
"VIDANT FAMILY MEDICINE-WINDSOR, A DEPARTMENT OF VI",13799937C8,Rural Health Clinic,Primary Care,17,NC,Withdrawn,10/30/2003,02/06/2020,,02/06/2020,,49424.0,,,,Rural,"Bertie County, NC",NC,37015,"VIDANT FAMILY MEDICINE-WINDSOR, A DEPARTMENT OF VI",13799937C8,Unknown,,,,,08/29/2026
CAPE FEAR VALLEY-BLADEN MEDICAL ASSOCIATES,1371536525,Rural Health Clinic,Primary Care,18,NC,Designated,09/23/2022,09/22/2025,,,,48430.0,,,,Rural,"Bladen County, NC",NC,37017,CAPE FEAR VALLEY-BLADEN MEDICAL ASSOCIATES,1371536525,Unknown,,,,,08/29/2026
LI - Bladen County,1376186595,HPSA Population,Primary Care,19,NC,Designated,08/19/2025,08/19/2025,Not applicable,,1.2519,11954.0,21.2,9549:1,Low Income Population HPSA,Rural,"Bladen County, NC",NC,37017,Bladen,,Single County,3756,8198,3000:1,2.7281,08/29/2026
MI-Bladen County,1379638162,HPSA Population,Primary Care,20,NC,Withdrawn,10/30/2007,07/01/2026,Not applicable,07/01/2026,0.4500,5773.0,25.9,12829:1,Other Population HPSA,Rural,"Bladen County, NC",NC,37017,Bladen,,Single County,1350,4423,3000:1,1.4700,08/29/2026
MI - Brunswick County,1371091973,HPSA Population,Primary Care,17,NC,Withdrawn,04/18/2001,07/01/2026,Not applicable,07/01/2026,0.3400,10327.0,12.8,30374:1,Other Population HPSA,,"Brunswick County, NC",NC,37019,Brunswick,,Single County,1020,9307,3000:1,3.1000,08/29/2026
LI - Brunswick Western,1374305022,HPSA Population,Primary Care,17,NC,Designated,09/05/2025,09/05/2025,Not applicable,,0.1312,7885.0,15.3,60099:1,Low Income Population HPSA,Partially Rural,"Brunswick County, NC",NC,37019,Census Tract 205.05; Brunswick County; North Carolina,,Census Tract,394,7491,3000:1,2.4988,08/29/2026
LI - Brunswick Western,1374305022,HPSA Population,Primary Care,17,NC,Designated,09/05/2025,09/05/2025,Not applicable,,0.1312,7885.0,15.3,60099:1,Low Income Population HPSA,Non-Rural,"Brunswick County, NC",NC,37019,Census Tract 206.01; Brunswick County; North Carolina,,Census Tract,394,7491,3000:1,2.4988,08/29/2026
LI - Brunswick Western,1374305022,HPSA Population,Primary Care,17,NC,Designated,09/05/2025,09/05/2025,Not applicable,,0.1312,7885.0,15.3,60099:1,Low Income Population HPSA,Partially Rural,"Brunswick County, NC",NC,37019,Census Tract 204.04; Brunswick County; North Carolina,,Census Tract,394,7491,3000:1,2.4988,08/29/2026
LI - Brunswick Western,1374305022,HPSA Population,Primary Care,17,NC,Designated,09/05/2025,09/05/2025,Not applicable,,0.1312,7885.0,15.3,60099:1,Low Income Population HPSA,Rural,"Brunswick County, NC",NC,37019,Census Tract 204.05; Brunswick County; North Carolina,,Census Tract,394,7491,3000:1,2.4988,08/29/2026
LI - Brunswick Western,1374305022,HPSA Population,Primary Care,17,NC,Designated,09/05/2025,09/05/2025,Not applicable,,0.1312,7885.0,15.3,60099:1,Low Income Population HPSA,Rural,"Brunswick County, NC",NC,37019,Census Tract 204.08; Brunswick County; North Carolina,,Census Tract,394,7491,3000:1,2.4988,08/29/2026
LI - Brunswick Western,1374305022,HPSA Population,Primary Care,17,NC,Designated,09/05/2025,09/05/2025,Not applicable,,0.1312,7885.0,15.3,60099:1,Low Income Population HPSA,Partially Rural,"Brunswick County, NC",NC,37019,Census Tract 204.09; Brunswick County; North Carolina,,Census Tract,394,7491,3000:1,2.4988,08/29/2026
