county_fips,county_name,state_abbr,health_measure_id,health_measure_label,health_measure_year,adult_population,age_adjusted_fair_poor_health_pct,age_adjusted_low_ci_pct,age_adjusted_high_ci_pct,national_age_adjusted_pct,difference_from_national_pct_points,health_rank_descending,health_point_above_national,active_hpsa_component_rows,active_hpsa_designations,max_active_hpsa_score,max_score_hpsa_ids,max_score_hpsa_names,active_designation_types,active_rural_statuses,whole_county_geographic_hpsa,higher_hpsa_score_screen,bivariate_screen_class,reference_review_eligible,reference_review_order,reference_shortlist,time_alignment_status,interpretation_boundary
37001,Alamance,NC,GHLTH,Fair or poor health,2022,137937,19.7,17.5,22.1,17.0,2.7,42,yes,1,1,11,1375340595,LI-Alamance County,HPSA Population,Non-Rural,no,no,Higher health estimate only,no,,no,PLACES measure year 2022; HPSA source snapshot 2026-08-29,"HPSA score is the highest active component score touching the county, not a county workforce rate"
37003,Alexander,NC,GHLTH,Fair or poor health,2022,29357,17.3,15.3,19.4,17.0,0.3,72,yes,2,2,14,1376736142,LI-Alexander County,Correctional Facility | HPSA Population,Non-Rural | Partially Rural,no,no,Higher health estimate only,no,,no,PLACES measure year 2022; HPSA source snapshot 2026-08-29,"HPSA score is the highest active component score touching the county, not a county workforce rate"
37005,Alleghany,NC,GHLTH,Fair or poor health,2022,9346,21.1,18.7,23.5,17.0,4.1,26,yes,2,2,19,13799937HC,APPALACHIAN DISTRICT HEALTH DEPARTMENT,Federally Qualified Health Center | HPSA Population,Rural,no,no,Higher health estimate only,no,,no,PLACES measure year 2022; HPSA source snapshot 2026-08-29,"HPSA score is the highest active component score touching the county, not a county workforce rate"
37007,Anson,NC,GHLTH,Fair or poor health,2022,17846,23.4,20.9,25.9,17.0,6.4,12,yes,3,3,21,1379455148,Anson Correctional Institution,Correctional Facility | Federally Qualified Health Center | Geographic HPSA,Rural,yes,yes,Higher health estimate + higher HPSA score,yes,9,yes,PLACES measure year 2022; HPSA source snapshot 2026-08-29,"HPSA score is the highest active component score touching the county, not a county workforce rate"
37009,Ashe,NC,GHLTH,Fair or poor health,2022,22615,17.8,15.8,20.0,17.0,0.8,65,yes,1,1,17,1372591249,LI - Ashe County,HPSA Population,Rural,no,no,Higher health estimate only,no,,no,PLACES measure year 2022; HPSA source snapshot 2026-08-29,"HPSA score is the highest active component score touching the county, not a county workforce rate"
37011,Avery,NC,GHLTH,Fair or poor health,2022,15070,17.4,15.5,19.6,17.0,0.4,69,yes,3,3,14,1371380759,LI - Avery County,Correctional Facility | HPSA Population,Rural,no,no,Higher health estimate only,no,,no,PLACES measure year 2022; HPSA source snapshot 2026-08-29,"HPSA score is the highest active component score touching the county, not a county workforce rate"
37013,Beaufort,NC,GHLTH,Fair or poor health,2022,35727,19.9,17.7,22.4,17.0,2.9,40,yes,2,2,22,13799937A5,METROPOLITAN COMMUNITY HEALTH SERVICES INC,Federally Qualified Health Center | HPSA Population,Rural,no,yes,Higher health estimate + higher HPSA score,yes,15,no,PLACES measure year 2022; HPSA source snapshot 2026-08-29,"HPSA score is the highest active component score touching the county, not a county workforce rate"
37015,Bertie,NC,GHLTH,Fair or poor health,2022,14342,25.4,22.8,28.2,17.0,8.4,2,yes,3,3,19,1374515878,LI - Bertie County,Correctional Facility | Federally Qualified Health Center | HPSA Population,Rural,no,no,Higher health estimate only,no,,no,PLACES measure year 2022; HPSA source snapshot 2026-08-29,"HPSA score is the highest active component score touching the county, not a county workforce rate"
37017,Bladen,NC,GHLTH,Fair or poor health,2022,23540,20.9,18.6,23.3,17.0,3.9,28,yes,2,2,19,1376186595,LI - Bladen County,HPSA Population | Rural Health Clinic,Rural,no,no,Higher health estimate only,no,,no,PLACES measure year 2022; HPSA source snapshot 2026-08-29,"HPSA score is the highest active component score touching the county, not a county workforce rate"
37019,Brunswick,NC,GHLTH,Fair or poor health,2022,131836,14.8,13.0,16.6,17.0,-2.2,89,no,12,3,17,1374305022,LI - Brunswick Western,HPSA Population,Non-Rural | Partially Rural | Rural,no,no,Neither screen condition,no,,no,PLACES measure year 2022; HPSA source snapshot 2026-08-29,"HPSA score is the highest active component score touching the county, not a county workforce rate"
