stage_from,node_from,stage_to,node_to,patient_count,cohort_denominator,cohort_pct,node_from_denominator,node_from_pct
Index encounter,Emergency,Next encounter within 30 days,Acute return,12,374,3.2,314,3.8
Index encounter,Emergency,Next encounter within 30 days,No encounter recorded,225,374,60.2,314,71.7
Index encounter,Emergency,Next encounter within 30 days,Scheduled care,73,374,19.5,314,23.2
Index encounter,Emergency,Next encounter within 30 days,Urgent care,4,374,1.1,314,1.3
Index encounter,Inpatient,Next encounter within 30 days,Acute return,3,374,0.8,60,5.0
Index encounter,Inpatient,Next encounter within 30 days,No encounter recorded,38,374,10.2,60,63.3
Index encounter,Inpatient,Next encounter within 30 days,Scheduled care,19,374,5.1,60,31.7
Next encounter within 30 days,Acute return,Ninety-day endpoint,Acute return within 90 days,15,374,4.0,15,100.0
Next encounter within 30 days,No encounter recorded,Ninety-day endpoint,Acute return within 90 days,13,374,3.5,263,4.9
Next encounter within 30 days,No encounter recorded,Ninety-day endpoint,Death within 90 days,8,374,2.1,263,3.0
Next encounter within 30 days,No encounter recorded,Ninety-day endpoint,No acute return within 90 days,242,374,64.7,263,92.0
Next encounter within 30 days,Scheduled care,Ninety-day endpoint,Acute return within 90 days,7,374,1.9,92,7.6
Next encounter within 30 days,Scheduled care,Ninety-day endpoint,No acute return within 90 days,85,374,22.7,92,92.4
Next encounter within 30 days,Urgent care,Ninety-day endpoint,Acute return within 90 days,1,374,0.3,4,25.0
Next encounter within 30 days,Urgent care,Ninety-day endpoint,No acute return within 90 days,3,374,0.8,4,75.0
