facility_id,facility_name,city,state,county,measure_id,display_label,unit,direction,score_raw,score_numeric,value_status,sample,footnote,period_start,period_end,cms_release_date,ma_reported_n,ma_median,ma_min,ma_max,ma_rank_unfavorable,selected_hospital,scenario_threshold,threshold_operator,threshold_crossed,threshold_origin,source_lag_days_at_release,monitoring_use,action_if_crossed,interpretation_boundary
220001,UMASS MEMORIAL HEALTHALLIANCE HOSPITALS,LEOMINSTER,MA,WORCESTER,EDV,Emergency department volume category,CMS volume category,context_only,high,,reported_category,,,2024-01-01,2024-12-31,2026-08-13,,,,,,no,,,not_applicable,Not applicable,590,historical_public_reporting_review_only,Use as public volume context; do not treat the category as a performance result.,"Public aggregate reporting can trigger local definition and data review; it cannot establish current operations, cause, or intervention effect."
220001,UMASS MEMORIAL HEALTHALLIANCE HOSPITALS,LEOMINSTER,MA,WORCESTER,OP_18b,Median ED time before departure,minutes,lower_is_better,253,253,reported,337,,2024-10-01,2025-09-30,2026-08-13,54,211.5,113,336,15,no,240,>=,yes,Mock QI charter for teaching; not a CMS benchmark,317,historical_public_reporting_review_only,Validate the current local throughput definition and review recent encounter-level time data before choosing an intervention.,"Public aggregate reporting can trigger local definition and data review; it cannot establish current operations, cause, or intervention effect."
220001,UMASS MEMORIAL HEALTHALLIANCE HOSPITALS,LEOMINSTER,MA,WORCESTER,OP_22,Patients leaving before being seen,percent,lower_is_better,6,6,reported,55723,,2024-01-01,2024-12-31,2026-08-13,53,3,0,23,8,no,10,>=,no,Mock QI charter for teaching; not a CMS benchmark,590,historical_public_reporting_review_only,"Validate the numerator, denominator, and current local abandonment data, then open a multidisciplinary review if the current local measure confirms the signal.","Public aggregate reporting can trigger local definition and data review; it cannot establish current operations, cause, or intervention effect."
220002,MOUNT AUBURN HOSPITAL,CAMBRIDGE,MA,MIDDLESEX,EDV,Emergency department volume category,CMS volume category,context_only,medium,,reported_category,,,2024-01-01,2024-12-31,2026-08-13,,,,,,no,,,not_applicable,Not applicable,590,historical_public_reporting_review_only,Use as public volume context; do not treat the category as a performance result.,"Public aggregate reporting can trigger local definition and data review; it cannot establish current operations, cause, or intervention effect."
220002,MOUNT AUBURN HOSPITAL,CAMBRIDGE,MA,MIDDLESEX,OP_18b,Median ED time before departure,minutes,lower_is_better,205,205,reported,370,,2024-10-01,2025-09-30,2026-08-13,54,211.5,113,336,34,no,240,>=,no,Mock QI charter for teaching; not a CMS benchmark,317,historical_public_reporting_review_only,Validate the current local throughput definition and review recent encounter-level time data before choosing an intervention.,"Public aggregate reporting can trigger local definition and data review; it cannot establish current operations, cause, or intervention effect."
220002,MOUNT AUBURN HOSPITAL,CAMBRIDGE,MA,MIDDLESEX,OP_22,Patients leaving before being seen,percent,lower_is_better,2,2,reported,34337,,2024-01-01,2024-12-31,2026-08-13,53,3,0,23,36,no,10,>=,no,Mock QI charter for teaching; not a CMS benchmark,590,historical_public_reporting_review_only,"Validate the numerator, denominator, and current local abandonment data, then open a multidisciplinary review if the current local measure confirms the signal.","Public aggregate reporting can trigger local definition and data review; it cannot establish current operations, cause, or intervention effect."
220008,STURDY MEMORIAL HOSPITAL,ATTLEBORO,MA,BRISTOL,EDV,Emergency department volume category,CMS volume category,context_only,high,,reported_category,,,2024-01-01,2024-12-31,2026-08-13,,,,,,no,,,not_applicable,Not applicable,590,historical_public_reporting_review_only,Use as public volume context; do not treat the category as a performance result.,"Public aggregate reporting can trigger local definition and data review; it cannot establish current operations, cause, or intervention effect."
220008,STURDY MEMORIAL HOSPITAL,ATTLEBORO,MA,BRISTOL,OP_18b,Median ED time before departure,minutes,lower_is_better,194,194,reported,389,,2024-10-01,2025-09-30,2026-08-13,54,211.5,113,336,38,no,240,>=,no,Mock QI charter for teaching; not a CMS benchmark,317,historical_public_reporting_review_only,Validate the current local throughput definition and review recent encounter-level time data before choosing an intervention.,"Public aggregate reporting can trigger local definition and data review; it cannot establish current operations, cause, or intervention effect."
220008,STURDY MEMORIAL HOSPITAL,ATTLEBORO,MA,BRISTOL,OP_22,Patients leaving before being seen,percent,lower_is_better,3,3,reported,52304,,2024-01-01,2024-12-31,2026-08-13,53,3,0,23,25,no,10,>=,no,Mock QI charter for teaching; not a CMS benchmark,590,historical_public_reporting_review_only,"Validate the numerator, denominator, and current local abandonment data, then open a multidisciplinary review if the current local measure confirms the signal.","Public aggregate reporting can trigger local definition and data review; it cannot establish current operations, cause, or intervention effect."
220010,MERRIMACK HEALTH LAWRENCE HOSPITAL,LAWRENCE,MA,ESSEX,EDV,Emergency department volume category,CMS volume category,context_only,very high,,reported_category,,,2024-01-01,2024-12-31,2026-08-13,,,,,,no,,,not_applicable,Not applicable,590,historical_public_reporting_review_only,Use as public volume context; do not treat the category as a performance result.,"Public aggregate reporting can trigger local definition and data review; it cannot establish current operations, cause, or intervention effect."
220010,MERRIMACK HEALTH LAWRENCE HOSPITAL,LAWRENCE,MA,ESSEX,OP_18b,Median ED time before departure,minutes,lower_is_better,241,241,reported,409,,2024-10-01,2025-09-30,2026-08-13,54,211.5,113,336,17,no,240,>=,yes,Mock QI charter for teaching; not a CMS benchmark,317,historical_public_reporting_review_only,Validate the current local throughput definition and review recent encounter-level time data before choosing an intervention.,"Public aggregate reporting can trigger local definition and data review; it cannot establish current operations, cause, or intervention effect."
220010,MERRIMACK HEALTH LAWRENCE HOSPITAL,LAWRENCE,MA,ESSEX,OP_22,Patients leaving before being seen,percent,lower_is_better,5,5,reported,69389,,2024-01-01,2024-12-31,2026-08-13,53,3,0,23,11,no,10,>=,no,Mock QI charter for teaching; not a CMS benchmark,590,historical_public_reporting_review_only,"Validate the numerator, denominator, and current local abandonment data, then open a multidisciplinary review if the current local measure confirms the signal.","Public aggregate reporting can trigger local definition and data review; it cannot establish current operations, cause, or intervention effect."
220011,CAMBRIDGE HEALTH ALLIANCE,CAMBRIDGE,MA,MIDDLESEX,EDV,Emergency department volume category,CMS volume category,context_only,very high,,reported_category,,,2024-01-01,2024-12-31,2026-08-13,,,,,,no,,,not_applicable,Not applicable,590,historical_public_reporting_review_only,Use as public volume context; do not treat the category as a performance result.,"Public aggregate reporting can trigger local definition and data review; it cannot establish current operations, cause, or intervention effect."
220011,CAMBRIDGE HEALTH ALLIANCE,CAMBRIDGE,MA,MIDDLESEX,OP_18b,Median ED time before departure,minutes,lower_is_better,153,153,reported,363,,2024-10-01,2025-09-30,2026-08-13,54,211.5,113,336,51,no,240,>=,no,Mock QI charter for teaching; not a CMS benchmark,317,historical_public_reporting_review_only,Validate the current local throughput definition and review recent encounter-level time data before choosing an intervention.,"Public aggregate reporting can trigger local definition and data review; it cannot establish current operations, cause, or intervention effect."
220011,CAMBRIDGE HEALTH ALLIANCE,CAMBRIDGE,MA,MIDDLESEX,OP_22,Patients leaving before being seen,percent,lower_is_better,2,2,reported,97432,,2024-01-01,2024-12-31,2026-08-13,53,3,0,23,36,no,10,>=,no,Mock QI charter for teaching; not a CMS benchmark,590,historical_public_reporting_review_only,"Validate the numerator, denominator, and current local abandonment data, then open a multidisciplinary review if the current local measure confirms the signal.","Public aggregate reporting can trigger local definition and data review; it cannot establish current operations, cause, or intervention effect."
220012,CAPE COD HOSPITAL,HYANNIS,MA,BARNSTABLE,EDV,Emergency department volume category,CMS volume category,context_only,very high,,reported_category,,,2024-01-01,2024-12-31,2026-08-13,,,,,,no,,,not_applicable,Not applicable,590,historical_public_reporting_review_only,Use as public volume context; do not treat the category as a performance result.,"Public aggregate reporting can trigger local definition and data review; it cannot establish current operations, cause, or intervention effect."
220012,CAPE COD HOSPITAL,HYANNIS,MA,BARNSTABLE,OP_18b,Median ED time before departure,minutes,lower_is_better,201,201,reported,371,,2024-10-01,2025-09-30,2026-08-13,54,211.5,113,336,36,no,240,>=,no,Mock QI charter for teaching; not a CMS benchmark,317,historical_public_reporting_review_only,Validate the current local throughput definition and review recent encounter-level time data before choosing an intervention.,"Public aggregate reporting can trigger local definition and data review; it cannot establish current operations, cause, or intervention effect."
220012,CAPE COD HOSPITAL,HYANNIS,MA,BARNSTABLE,OP_22,Patients leaving before being seen,percent,lower_is_better,2,2,reported,81517,,2024-01-01,2024-12-31,2026-08-13,53,3,0,23,36,no,10,>=,no,Mock QI charter for teaching; not a CMS benchmark,590,historical_public_reporting_review_only,"Validate the numerator, denominator, and current local abandonment data, then open a multidisciplinary review if the current local measure confirms the signal.","Public aggregate reporting can trigger local definition and data review; it cannot establish current operations, cause, or intervention effect."
220015,"COOLEY DICKINSON HOSPITAL INC,THE",NORTHAMPTON,MA,HAMPSHIRE,EDV,Emergency department volume category,CMS volume category,context_only,medium,,reported_category,,,2024-01-01,2024-12-31,2026-08-13,,,,,,no,,,not_applicable,Not applicable,590,historical_public_reporting_review_only,Use as public volume context; do not treat the category as a performance result.,"Public aggregate reporting can trigger local definition and data review; it cannot establish current operations, cause, or intervention effect."
220015,"COOLEY DICKINSON HOSPITAL INC,THE",NORTHAMPTON,MA,HAMPSHIRE,OP_18b,Median ED time before departure,minutes,lower_is_better,261,261,reported,375,,2024-10-01,2025-09-30,2026-08-13,54,211.5,113,336,12,no,240,>=,yes,Mock QI charter for teaching; not a CMS benchmark,317,historical_public_reporting_review_only,Validate the current local throughput definition and review recent encounter-level time data before choosing an intervention.,"Public aggregate reporting can trigger local definition and data review; it cannot establish current operations, cause, or intervention effect."
