table_name,archive_path,source_bytes,source_rows,source_columns,source_sha256
allergies,csv/allergies.csv,70010,597,6,fc26a156487f73e8c0d7fc26b50e8d3aa88320d174d80ab10a28031760c72812
careplans,csv/careplans.csv,672599,3483,9,0ae00f4fc206dd79cb38e72258773ac15f36a6b041be949fe18a0a3144bbfd0d
conditions,csv/conditions.csv,1062972,8376,6,e1237e9390c890851dcc96cb4bcd83240f154dd32a2360b6472326653bd14d19
devices,csv/devices.csv,17498,78,7,4641f65d6b3a1edda0127b03b12cc19e46ad481591f6389905c49bed444962d6
encounters,csv/encounters.csv,16474491,53346,15,5c3a020d53f23be45a8de2e58f76afbace98a38572021e6cea8a70f8314f4422
imaging_studies,csv/imaging_studies.csv,205364,855,10,9644f3a65a0d3a0a254bc5b99ef3e2baa8c171c356c3b0776be83db689f39e42
immunizations,csv/immunizations.csv,2225013,15478,6,4a1e4ecb6de93cfac4a7c6812dc0be937e36ec5ede03611b6065f70f3355d6a8
medications,csv/medications.csv,10884009,42989,13,3d298581484cf360f64ddc937d6987f02ce6368501e198f6048a0f8e1580d387
observations,csv/observations.csv,43094924,299697,8,5433ef5869e5c48b21963bdfd02f532ca68c8d995c7dbb0dd517ee15c689cf89
organizations,csv/organizations.csv,169568,1119,11,b3cacfe75c9e7f0107c22c3029d15b046ba01a5fd5ce2bbcfacb6ace955ab08c
patients,csv/patients.csv,332570,1171,25,97b3d9b8a86b44e4278713c1993443c4fdf1e3836c41019de5556f5740611812
payer_transitions,csv/payer_transitions.csv,341479,3801,5,254d264bf1fcc32998678dd593f01c6833987a175215c6071695951d11295d42
payers,csv/payers.csv,2200,10,21,a26e04cd7b143ec886c4934e22bcea7ecccdc4f3a094fa1c46d21a2fed1c5d0e
procedures,csv/procedures.csv,5695028,34981,8,fe5368df7020cdb172aa0901cc153854760247c7f989b586794979a7c87a400a
providers,csv/providers.csv,1045666,5855,12,b6b402a400d1b71f1ebaf0286636ed722ca4f2f0e4899f34b78366acacb46123
supplies,csv/supplies.csv,49,0,6,80f6862144797eb25a9af3a51ef8378f51b7c3b35dcb85b0b9accd7dd9ef122b
