position,field_name,timing,declared_type,row_count,non_missing_count,missing_count,missing_percent,distinct_non_missing,minimum,maximum,seeded_manifest_changes,detected_issue_ids,quality_status
1,patient_id,key,text,379,379,0,0.000000,374,,,5,D01,fail
2,birth_date,source,date,379,379,0,0.000000,355,,,0,,pass
3,death_date,source,date,379,31,348,91.820580,31,,,0,N01,review
4,age_at_index,index,integer,379,379,0,0.000000,77,17,145,5,D03|D04|N04,fail
5,gender,source,text,379,375,4,1.055409,3,,,7,D11|D12,fail
6,race,source,text,379,379,0,0.000000,5,,,0,N07,review
7,ethnicity,source,text,379,379,0,0.000000,2,,,0,,pass
8,index_encounter_id,key,text,379,376,3,0.791557,371,,,3,D02,fail
9,index_start,index,timestamp,379,379,0,0.000000,372,,,3,D05,fail
10,index_stop,index,timestamp,379,379,0,0.000000,374,,,3,D06,fail
11,index_class,index,text,379,379,0,0.000000,4,,,5,D07|D08,fail
12,index_code,index,text,379,379,0,0.000000,17,,,0,,pass
13,index_description,index,text,379,379,0,0.000000,21,,,0,,pass
14,index_reason_code,index,text,379,149,230,60.686016,17,,,0,N02,review
15,index_reason_description,index,text,379,149,230,60.686016,17,,,0,,review
16,prior_365d_encounter_count,pre-index,integer,379,379,0,0.000000,23,-1,187,3,D09|N05,fail
17,prior_365d_acute_count,pre-index,integer,379,379,0,0.000000,10,0,13,3,D10,fail
18,prior_365d_condition_count,pre-index,integer,379,379,0,0.000000,6,0,5,0,,pass
19,prior_365d_medication_count,pre-index,integer,379,379,0,0.000000,23,0,185,0,N06,review
20,next_30d_state,post-index,text,379,379,0,0.000000,4,,,0,D13|D14|N03|N08,fail
21,next_30d_encounter_id,post-index,text,379,113,266,70.184697,111,,,6,,review
22,next_30d_start,post-index,timestamp,379,113,266,70.184697,111,,,6,,review
23,next_30d_days_after_index_stop,post-index,real,379,113,266,70.184697,68,-1,31,10,D15|D16,fail
24,acute_return_90d,post-index,integer,379,379,0,0.000000,3,0,2,3,D17,fail
25,death_90d,post-index,integer,379,379,0,0.000000,2,0,1,0,,pass
26,endpoint_90d,post-index,text,379,379,0,0.000000,3,,,2,D18|N08,fail
27,followup_90d_complete,metadata,integer,379,379,0,0.000000,1,1,1,0,,pass
28,source_release,metadata,text,379,379,0,0.000000,2,,,2,D19,fail
29,cohort_definition_version,metadata,text,379,379,0,0.000000,2,,,2,D20,fail
