check_id,check,observed,expected,status
CHK01,upstream rows,374,374,pass
CHK02,upstream fields,34,34,pass
CHK03,training rows,224,224,pass
CHK04,training positives,25,25,pass
CHK05,linear subset total rows,111,111,pass
CHK06,linear training rows,69,69,pass
CHK07,linear validation rows excluded,21,21,pass
CHK08,linear test rows excluded,21,21,pass
CHK09,structural timing blanks retained,263,263,pass
CHK10,linear coefficient rows,4,4,pass
CHK11,linear diagnostic rows,13,13,pass
CHK12,linear prediction scenarios,3,3,pass
CHK13,logistic coefficient rows,14,14,pass
CHK14,logistic diagnostic rows,45,45,pass
CHK15,logistic prediction scenarios,3,3,pass
CHK16,model matrix rows,18,18,pass
CHK17,model comparison rows,3,3,pass
CHK18,assumption rows,14,14,pass
CHK19,paired R reading rows,8,8,pass
CHK20,all linear fit rows are training,69,69,pass
CHK21,all models converged,3,3,pass
CHK22,causal boundary present,2,2,pass
CHK23,test rows absent from fit data,0,0,pass
CHK24,baseline preserved,1,1,pass
