edge_id,from,to,meaning,adjustment_implication
E01,A,S,directed teaching assumption,"do not adjust for mediator M; R is selection, not a baseline confounder"
E02,A,T,directed teaching assumption,"do not adjust for mediator M; R is selection, not a baseline confounder"
E03,A,Y,directed teaching assumption,"do not adjust for mediator M; R is selection, not a baseline confounder"
E04,C,S,directed teaching assumption,"do not adjust for mediator M; R is selection, not a baseline confounder"
E05,C,T,directed teaching assumption,"do not adjust for mediator M; R is selection, not a baseline confounder"
E06,C,Y,directed teaching assumption,"do not adjust for mediator M; R is selection, not a baseline confounder"
E07,H,S,directed teaching assumption,"do not adjust for mediator M; R is selection, not a baseline confounder"
E08,H,T,directed teaching assumption,"do not adjust for mediator M; R is selection, not a baseline confounder"
E09,H,Y,directed teaching assumption,"do not adjust for mediator M; R is selection, not a baseline confounder"
E10,S,T,directed teaching assumption,"do not adjust for mediator M; R is selection, not a baseline confounder"
E11,S,Y,directed teaching assumption,"do not adjust for mediator M; R is selection, not a baseline confounder"
E12,U,T,directed teaching assumption,"do not adjust for mediator M; R is selection, not a baseline confounder"
E13,U,Y,directed teaching assumption,"do not adjust for mediator M; R is selection, not a baseline confounder"
E14,T,M,directed teaching assumption,"do not adjust for mediator M; R is selection, not a baseline confounder"
E15,M,Y,directed teaching assumption,"do not adjust for mediator M; R is selection, not a baseline confounder"
E16,T,Y,directed teaching assumption,"do not adjust for mediator M; R is selection, not a baseline confounder"
E17,A,R,directed teaching assumption,"do not adjust for mediator M; R is selection, not a baseline confounder"
E18,H,R,directed teaching assumption,"do not adjust for mediator M; R is selection, not a baseline confounder"
