measure_id,question,answer_description,reported_value_field,facility_rows,reported_value_rows,unavailable_value_rows,teaching_role
H_CLEAN_HSP_A_P,"Patients who reported that their room and bathroom were ""Always"" clean","Room was ""always"" clean",HCAHPS Answer Percent,4790,3949,841,source inventory
H_CLEAN_HSP_SN_P,"Patients who reported that their room and bathroom were ""Sometimes"" or ""Never"" clean","Room was ""sometimes"" or ""never"" clean",HCAHPS Answer Percent,4790,3949,841,source inventory
H_CLEAN_HSP_U_P,"Patients who reported that their room and bathroom were ""Usually"" clean","Room was ""usually"" clean",HCAHPS Answer Percent,4790,3949,841,source inventory
H_CLEAN_LINEAR_SCORE,Cleanliness - linear mean score,Cleanliness - linear mean score,HCAHPS Linear Mean Value,4790,3183,1607,source inventory
H_CLEAN_STAR_RATING,Cleanliness - star rating,Cleanliness - star rating,Patient Survey Star Rating,4790,3183,1607,source inventory
H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",HCAHPS Answer Percent,4790,3949,841,source inventory
H_COMP_1_LINEAR_SCORE,Nurse communication - linear mean score,Nurse communication - linear mean score,HCAHPS Linear Mean Value,4790,3183,1607,source inventory
H_COMP_1_SN_P,"Patients who reported that their nurses ""Sometimes"" or ""Never"" communicated well","Nurses ""sometimes"" or ""never"" communicated well",HCAHPS Answer Percent,4790,3949,841,source inventory
H_COMP_1_STAR_RATING,Nurse communication - star rating,Nurse communication - star rating,Patient Survey Star Rating,4790,3183,1607,source inventory
H_COMP_1_U_P,"Patients who reported that their nurses ""Usually"" communicated well","Nurses ""usually"" communicated well",HCAHPS Answer Percent,4790,3949,841,source inventory
H_COMP_2_A_P,"Patients who reported that their doctors ""Always"" communicated well","Doctors ""always"" communicated well",HCAHPS Answer Percent,4790,3949,841,source inventory
H_COMP_2_LINEAR_SCORE,Doctor communication - linear mean score,Doctor communication - linear mean score,HCAHPS Linear Mean Value,4790,3183,1607,source inventory
H_COMP_2_SN_P,"Patients who reported that their doctors ""Sometimes"" or ""Never"" communicated well","Doctors ""sometimes"" or ""never"" communicated well",HCAHPS Answer Percent,4790,3949,841,source inventory
H_COMP_2_STAR_RATING,Doctor communication - star rating,Doctor communication - star rating,Patient Survey Star Rating,4790,3183,1607,source inventory
H_COMP_2_U_P,"Patients who reported that their doctors ""Usually"" communicated well","Doctors ""usually"" communicated well",HCAHPS Answer Percent,4790,3949,841,source inventory
H_COMP_5_A_P,"Patients who reported that staff ""Always"" explained about medicines before giving it to them","Staff ""always"" explained",HCAHPS Answer Percent,4790,3948,842,source inventory
H_COMP_5_LINEAR_SCORE,Communication about medicines - linear mean score,Communication about medicines - linear mean score,HCAHPS Linear Mean Value,4790,3183,1607,source inventory
H_COMP_5_SN_P,"Patients who reported that staff ""Sometimes"" or ""Never"" explained about medicines before giving it to them","Staff ""sometimes"" or ""never"" explained",HCAHPS Answer Percent,4790,3948,842,source inventory
H_COMP_5_STAR_RATING,Communication about medicines - star rating,Communication about medicines - star rating,Patient Survey Star Rating,4790,3183,1607,source inventory
H_COMP_5_U_P,"Patients who reported that staff ""Usually"" explained about medicines before giving it to them","Staff ""usually"" explained",HCAHPS Answer Percent,4790,3948,842,source inventory
H_COMP_6_LINEAR_SCORE,Discharge information - linear mean score,Discharge information - linear mean score,HCAHPS Linear Mean Value,4790,3183,1607,source inventory
H_COMP_6_N_P,"Patients who reported that NO, they were not given information about what to do during their recovery at home","No, staff ""did not"" give patients this information",HCAHPS Answer Percent,4790,3949,841,complementary recovery-at-home response
H_COMP_6_STAR_RATING,Discharge information - star rating,Discharge information - star rating,Patient Survey Star Rating,4790,3183,1607,source inventory
H_COMP_6_Y_P,"Patients who reported that YES, they were given information about what to do during their recovery at home","Yes, staff ""did"" give patients this information",HCAHPS Answer Percent,4790,3949,841,primary recovery-at-home decision anchor
H_DISCH_HELP_N_P,"Patients who reported that NO, they did not discuss whether they would need help after discharge","No, staff ""did not"" give patients information about help after discharge",HCAHPS Answer Percent,4790,3610,1180,source inventory
H_DISCH_HELP_Y_P,"Patients who reported that YES, they did discuss whether they would need help after discharge","Yes, staff ""did"" give patients information about help after discharge",HCAHPS Answer Percent,4790,3610,1180,support-after-discharge item
H_DOCTOR_EXPLAIN_A_P,"Patients who reported that their doctors ""Always"" explained things in a way they could understand","Doctors ""always"" explained things so they could understand",HCAHPS Answer Percent,4790,3610,1180,source inventory
H_DOCTOR_EXPLAIN_SN_P,"Patients who reported that their doctors ""Sometimes"" or ""Never"" explained things in a way they could understand","Doctors ""sometimes"" or ""never"" explained things so they could understand",HCAHPS Answer Percent,4790,3610,1180,source inventory
H_DOCTOR_EXPLAIN_U_P,"Patients who reported that their doctors ""Usually"" explained things in a way they could understand","Doctors ""usually"" explained things so they could understand",HCAHPS Answer Percent,4790,3610,1180,source inventory
H_DOCTOR_LISTEN_A_P,"Patients who reported that their doctors ""Always"" listened carefully to them","Doctors ""always"" listened carefully",HCAHPS Answer Percent,4790,3610,1180,source inventory
H_DOCTOR_LISTEN_SN_P,"Patients who reported that their doctors ""Sometimes"" or ""Never"" listened carefully to them","Doctors ""sometimes"" or ""never"" listened carefully",HCAHPS Answer Percent,4790,3610,1180,source inventory
H_DOCTOR_LISTEN_U_P,"Patients who reported that their doctors ""Usually"" listened carefully to them","Doctors ""usually"" listened carefully",HCAHPS Answer Percent,4790,3610,1180,source inventory
H_DOCTOR_RESPECT_A_P,"Patients who reported that their doctors ""Always"" treated them with courtesy and respect","Doctors ""always"" treated them with courtesy and  respect",HCAHPS Answer Percent,4790,3610,1180,source inventory
H_DOCTOR_RESPECT_SN_P,"Patients who reported that their doctors ""Sometimes"" or ""Never""  treated them with courtesy and respect","Doctors ""sometimes"" or ""never"" treated them with courtesy and  respect",HCAHPS Answer Percent,4790,3610,1180,source inventory
H_DOCTOR_RESPECT_U_P,"Patients who reported that their doctors ""Usually""  treated them with courtesy and respect","Doctors ""usually""  treated them with courtesy and  respect",HCAHPS Answer Percent,4790,3610,1180,source inventory
H_HSP_RATING_0_6,Patients who gave their hospital a rating of 6 or lower on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""6"" or lower (low)",HCAHPS Answer Percent,4790,3949,841,source inventory
H_HSP_RATING_7_8,Patients who gave their hospital a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""7"" or ""8"" (medium)",HCAHPS Answer Percent,4790,3949,841,source inventory
H_HSP_RATING_9_10,Patients who gave their hospital a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""9"" or ""10"" (high)",HCAHPS Answer Percent,4790,3949,841,source inventory
H_HSP_RATING_LINEAR_SCORE,Overall hospital rating - linear mean score,Overall hospital rating - linear mean score,HCAHPS Linear Mean Value,4790,3183,1607,source inventory
H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,Overall hospital rating - star rating,Patient Survey Star Rating,4790,3183,1607,source inventory
H_MED_FOR_A_P,"Patients who reported that when receiving new medication the staff ""Always"" communicated what the medication was for","Staff ""always"" explained new medications",HCAHPS Answer Percent,4790,3610,1180,source inventory
H_MED_FOR_SN_P,"Patients who reported that when receiving new medication the staff ""Sometimes"" or ""Never"" communicated what the medication was for","Staff ""sometimes"" or ""never"" explained new medications",HCAHPS Answer Percent,4790,3610,1180,source inventory
H_MED_FOR_U_P,"Patients who reported that when receiving new medication the staff ""Usually"" communicated what the medication was for.","Staff ""usually"" explained new medications",HCAHPS Answer Percent,4790,3610,1180,source inventory
H_NURSE_EXPLAIN_A_P,"Patients who reported that their nurses ""Always"" explained things in a way they could understand","Nurses ""always"" explained things so they could understand",HCAHPS Answer Percent,4790,3610,1180,source inventory
H_NURSE_EXPLAIN_SN_P,"Patients who reported that their nurses ""Sometimes"" or ""Never"" explained things in a way they could understand","Nurses ""sometimes"" or ""never"" explained things so they could understand",HCAHPS Answer Percent,4790,3610,1180,source inventory
H_NURSE_EXPLAIN_U_P,"Patients who reported that their nurses ""Usually"" explained things in a way they could understand","Nurses ""usually"" explained things so they could understand",HCAHPS Answer Percent,4790,3610,1180,source inventory
H_NURSE_LISTEN_A_P,"Patients who reported that their nurses ""Always"" listened carefully to them","Nurses ""always"" listened carefully",HCAHPS Answer Percent,4790,3610,1180,source inventory
H_NURSE_LISTEN_SN_P,"Patients who reported that their nurses ""Sometimes"" or ""Never"" listened carefully to them","Nurses ""sometimes"" or ""never"" listened carefully",HCAHPS Answer Percent,4790,3610,1180,source inventory
H_NURSE_LISTEN_U_P,"Patients who reported that their nurses ""Usually"" listened carefully to them","Nurses ""usually"" listened carefully",HCAHPS Answer Percent,4790,3610,1180,source inventory
H_NURSE_RESPECT_A_P,"Patients who reported that their nurses ""Always"" treated them with courtesy and respect","Nurses ""always"" treated them with courtesy and  respect",HCAHPS Answer Percent,4790,3610,1180,source inventory
H_NURSE_RESPECT_SN_P,"Patients who reported that their nurses ""Sometimes"" or ""Never""  treated them with courtesy and respect","Nurses ""sometimes"" or ""never"" treated them with courtesy and  respect",HCAHPS Answer Percent,4790,3610,1180,source inventory
H_NURSE_RESPECT_U_P,"Patients who reported that their nurses ""Usually""  treated them with courtesy and respect","Nurses ""usually""  treated them with courtesy and  respect",HCAHPS Answer Percent,4790,3610,1180,source inventory
H_QUIET_HSP_A_P,"Patients who reported that the area around their room was ""Always"" quiet at night","""Always"" quiet at night",HCAHPS Answer Percent,4790,3949,841,source inventory
H_QUIET_HSP_SN_P,"Patients who reported that the area around their room was ""Sometimes"" or ""Never"" quiet at night","""Sometimes"" or ""never"" quiet at night",HCAHPS Answer Percent,4790,3949,841,source inventory
H_QUIET_HSP_U_P,"Patients who reported that the area around their room was ""Usually"" quiet at night","""Usually"" quiet at night",HCAHPS Answer Percent,4790,3949,841,source inventory
H_QUIET_LINEAR_SCORE,Quietness - linear mean score,Quietness - linear mean score,HCAHPS Linear Mean Value,4790,3183,1607,source inventory
H_QUIET_STAR_RATING,Quietness - star rating,Quietness - star rating,Patient Survey Star Rating,4790,3183,1607,source inventory
H_RECMND_DN,"Patients who reported NO, they would probably not or definitely not recommend the hospital","""NO"", patients would not recommend the hospital (they probably would not or definitely would not recommend it)",HCAHPS Answer Percent,4790,3949,841,source inventory
H_RECMND_DY,"Patients who reported YES, they would definitely recommend the hospital","""YES"", patients would definitely recommend the hospital",HCAHPS Answer Percent,4790,3949,841,source inventory
H_RECMND_LINEAR_SCORE,Recommend hospital - linear mean score,Recommend hospital - linear mean score,HCAHPS Linear Mean Value,4790,3183,1607,source inventory
H_RECMND_PY,"Patients who reported YES, they would probably recommend the hospital","""YES"", patients would probably recommend the hospital",HCAHPS Answer Percent,4790,3949,841,source inventory
H_RECMND_STAR_RATING,Recommend hospital - star rating,Recommend hospital - star rating,Patient Survey Star Rating,4790,3183,1607,source inventory
H_SIDE_EFFECTS_A_P,"Patients who reported that when receiving new medication the staff ""Always"" discussed possible side effects","Staff ""always"" explained possible side effects",HCAHPS Answer Percent,4790,3610,1180,source inventory
H_SIDE_EFFECTS_SN_P,"Patients who reported that when receiving new medication the staff ""Sometimes"" or ""Never"" discussed possible side effects","Staff ""sometimes"" or ""never"" explained possible side effects",HCAHPS Answer Percent,4790,3610,1180,source inventory
H_SIDE_EFFECTS_U_P,"Patients who reported that when receiving new medication the staff ""Usually"" discussed possible side effects","Staff ""usually"" explained possible side effects",HCAHPS Answer Percent,4790,3610,1180,source inventory
H_STAR_RATING,Summary star rating,Summary star rating,Patient Survey Star Rating,4790,3183,1607,source inventory
H_SYMPTOMS_N_P,"Patients who reported that NO, they did not receive written information about possible symptoms to look out for after discharge","No, staff ""did not"" give patients information about possible symptoms",HCAHPS Answer Percent,4790,3610,1180,source inventory
H_SYMPTOMS_Y_P,"Patients who reported that YES, they did receive written information about possible symptoms to look out for after discharge","Yes, staff ""did"" give patients information about possible symptoms",HCAHPS Answer Percent,4790,3610,1180,warning-sign information item
