instrument_id,mode,language,relative_path,effective_from,pages,access_note
INST01,mail,English,data/raw/instruments/mail/english.pdf,2025-01-01,18,official written route
INST02,mail,Spanish,data/raw/instruments/mail/spanish.pdf,2025-01-01,18,official written route
INST03,mail,Chinese,data/raw/instruments/mail/chinese.pdf,2025-01-01,18,official written route
INST04,mail,Russian,data/raw/instruments/mail/russian.pdf,2025-01-01,18,official written route
INST05,mail,Vietnamese,data/raw/instruments/mail/vietnamese.pdf,2025-01-01,18,official written route
INST06,mail,Portuguese,data/raw/instruments/mail/portuguese.pdf,2025-01-01,18,official written route
INST07,mail,German,data/raw/instruments/mail/german.pdf,2025-01-01,18,official written route
INST08,mail,Tagalog,data/raw/instruments/mail/tagalog.pdf,2025-01-01,18,official written route
INST09,mail,Arabic,data/raw/instruments/mail/arabic.pdf,2025-01-01,18,official written route
INST10,phone,English,data/raw/instruments/phone/english.pdf,2025-01-01,18,official telephone route
INST11,phone,Spanish,data/raw/instruments/phone/spanish.pdf,2025-01-01,20,official telephone route
INST12,phone,Chinese,data/raw/instruments/phone/chinese.pdf,2025-01-01,20,official telephone route
INST13,phone,Russian,data/raw/instruments/phone/russian.pdf,2025-01-01,20,official telephone route
INST14,web,English,data/raw/instruments/web/english.pdf,2025-01-01,20,official digital route
INST15,web,Spanish,data/raw/instruments/web/spanish.pdf,2025-01-01,20,official digital route
INST16,web,Chinese,data/raw/instruments/web/chinese.pdf,2025-01-01,20,official digital route
INST17,web,Russian,data/raw/instruments/web/russian.pdf,2025-01-01,22,official digital route
INST18,web,Vietnamese,data/raw/instruments/web/vietnamese.pdf,2025-01-01,22,official digital route
INST19,web,Portuguese,data/raw/instruments/web/portuguese.pdf,2025-01-01,20,official digital route
INST20,web,German,data/raw/instruments/web/german.pdf,2025-01-01,20,official digital route
INST21,web,Tagalog,data/raw/instruments/web/tagalog.pdf,2025-01-01,22,official digital route
INST22,web,Arabic,data/raw/instruments/web/arabic.pdf,2025-01-01,20,official digital route
