source_id,relative_path,source_type,mode,language,pages,bytes,sha256,direct_url,teaching_role
SRC01,data/raw/instruments/mail/english.pdf,instrument_pdf,mail,English,18,435898,4ded4d296126c0a2c97feefb452aebd35db2237c0231dd1eabbcdec691fa429a,https://www.hcahpsonline.org/globalassets/hcahps/survey-instruments/mail/effective-january-1-2025-and-forward-discharges/2025_final_survey-instruments_english_mail_updated.pdf,current instrument
SRC02,data/raw/instruments/mail/spanish.pdf,instrument_pdf,mail,Spanish,18,321201,452302924d7b9daeb50a94324c8f006846b64c3af1e8ad18ab89b3bd911409ed,https://www.hcahpsonline.org/globalassets/hcahps/survey-instruments/mail/effective-january-1-2025-and-forward-discharges/2025_final_survey-instruments_spanish_mail_updated.pdf,current instrument
SRC03,data/raw/instruments/mail/chinese.pdf,instrument_pdf,mail,Chinese,18,1533035,94d24c424e603fc859fb803376cff2e653f1df15fd287b4a386792417cf9870d,https://www.hcahpsonline.org/globalassets/hcahps/survey-instruments/mail/effective-january-1-2025-and-forward-discharges/2025_final_survey-instruments_chinese_mail_updatedd.pdf,current instrument
SRC04,data/raw/instruments/mail/russian.pdf,instrument_pdf,mail,Russian,18,424658,cb6314156c38693e6aa4df032079e486b4e235552577e8d1aa14e0feb14d3bea,https://www.hcahpsonline.org/globalassets/hcahps/survey-instruments/mail/effective-january-1-2025-and-forward-discharges/2025_final_survey-instruments_russian_mail_updated.pdf,current instrument
SRC05,data/raw/instruments/mail/vietnamese.pdf,instrument_pdf,mail,Vietnamese,18,479558,1c4fad920b066e126887d4cfd699773bdb46d56fdaf0880b79f79071d907a3e6,https://www.hcahpsonline.org/globalassets/hcahps/survey-instruments/mail/effective-january-1-2025-and-forward-discharges/2025_final_survey-instruments_vietnamese_mail_updated.pdf,current instrument
SRC06,data/raw/instruments/mail/portuguese.pdf,instrument_pdf,mail,Portuguese,18,271296,d3dfe3ff4e2d327352c3d3d00c1f23ca0a89610234b82c130cfb311a126357f5,https://www.hcahpsonline.org/globalassets/hcahps/survey-instruments/mail/effective-january-1-2025-and-forward-discharges/2025_final_survey-instruments_portuguese_mail_updateda.pdf,current instrument
SRC07,data/raw/instruments/mail/german.pdf,instrument_pdf,mail,German,18,367866,5479ccfd519f54617d5e2a7eb70a4449ebaa110f8c2ade4b9ec4b4d94338c1c7,https://www.hcahpsonline.org/globalassets/hcahps/survey-instruments/mail/effective-january-1-2025-and-forward-discharges/2025_final_survey-instruments_german_mail_updated.pdf,current instrument
SRC08,data/raw/instruments/mail/tagalog.pdf,instrument_pdf,mail,Tagalog,18,256401,646675b1afee1f28fffdf38109e9577018ce83ba34574fcfc08a42aa25884c3c,https://www.hcahpsonline.org/globalassets/hcahps/survey-instruments/mail/effective-january-1-2025-and-forward-discharges/2025_final_survey-instruments_tagalog_mail_updated.pdf,current instrument
SRC09,data/raw/instruments/mail/arabic.pdf,instrument_pdf,mail,Arabic,18,407929,c6967add1b008b7a154f809d01ccd7c1da154c7686c8c490d9c7a0b519f441c4,https://www.hcahpsonline.org/globalassets/hcahps/survey-instruments/mail/effective-january-1-2025-and-forward-discharges/2025_final_survey-instruments_arabic_mail_updatedb.pdf,current instrument
SRC10,data/raw/instruments/phone/english.pdf,instrument_pdf,phone,English,18,316641,cfba652808b8bf9b1fd3d560e678b2a830fd29fef99769675a9381d101ec3150,https://www.hcahpsonline.org/globalassets/hcahps/survey-instruments/scripts---telephone/effective-january-1--2025-discharges-and-forward/2025_final-survey-instruments_english_phone.pdf,current instrument
SRC11,data/raw/instruments/phone/spanish.pdf,instrument_pdf,phone,Spanish,20,331299,dbeb2381a01a83205f433f1caa2f1aef16c489a683fdced3d1f5b1496f19f620,https://www.hcahpsonline.org/globalassets/hcahps/survey-instruments/scripts---telephone/effective-january-1--2025-discharges-and-forward/2025_final-survey-instruments_spanish_phone.pdf,current instrument
SRC12,data/raw/instruments/phone/chinese.pdf,instrument_pdf,phone,Chinese,20,863259,0ab2ac9ae32686cde72a475c6878fdbdf117773c9e74d5cccc5e3bae88e44dd5,https://www.hcahpsonline.org/globalassets/hcahps/survey-instruments/scripts---telephone/effective-january-1--2025-discharges-and-forward/2025_final_survey-instruments_chinese_phone_updateda.pdf,current instrument
SRC13,data/raw/instruments/phone/russian.pdf,instrument_pdf,phone,Russian,20,349552,ba7f8d25288d41a0b0bdcb3a2babb6ef68fc7a5d35e5105ef377538d403f1624,https://www.hcahpsonline.org/globalassets/hcahps/survey-instruments/scripts---telephone/effective-january-1--2025-discharges-and-forward/2025-_final_survey-instruments_russian_phone.pdf,current instrument
SRC14,data/raw/instruments/web/english.pdf,instrument_pdf,web,English,20,387572,53e7d24ffa97d9ee23fb8775667b88f2380f5f7fc27bdce3f80e5f9bc07cea51,https://www.hcahpsonline.org/globalassets/hcahps/survey-instruments/web/effective-january-1-2025-discharges-and-forward/2025_final_survey-instruments_english_web_updated.pdf,current instrument
