summary_type,key,value
metric,complete_facilities,3610
metric,exact_match_facilities,1734
metric,nonexact_match_facilities,1876
metric,minimum_difference_points,-3.0
metric,maximum_difference_points,3.5
distribution,difference_-3.0,1
distribution,difference_-2.0,2
distribution,difference_-1.5,3
distribution,difference_-1.0,5
distribution,difference_-0.5,858
distribution,difference_0.0,1734
distribution,difference_0.5,893
distribution,difference_1.0,55
distribution,difference_1.5,29
distribution,difference_2.0,15
distribution,difference_2.5,9
distribution,difference_3.0,5
distribution,difference_3.5,1
