dimension,group,frame_n,respondent_n,unweighted_response_percent,frame_base_weight,respondent_base_weight,base_weighted_response_percent,difference_from_total_pp,support_flag
age_band,18-44,274,148,54.01459854,5685539.132368,3327538.196399,58.52634410,-4.17109719,adequate_for_descriptive_audit
age_band,45-64,310,181,58.38709677,4798105.967452,2845594.241542,59.30661517,-3.39082611,adequate_for_descriptive_audit
age_band,65+,671,453,67.51117735,8395829.184795,5663814.866273,67.45986301,4.76242172,adequate_for_descriptive_audit
sex,female,766,458,59.79112272,11728441.550152,7160411.287195,61.05168582,-1.64575546,adequate_for_descriptive_audit
sex,male,489,324,66.25766871,7151032.734463,4676536.017019,65.39665235,2.69921107,adequate_for_descriptive_audit
race_ethnicity,Hispanic,180,92,51.11111111,2475928.009598,1304134.576417,52.67255637,-10.02488492,adequate_for_descriptive_audit
race_ethnicity,non-Hispanic Asian only,34,21,61.76470588,640142.756977,468465.052401,73.18134077,10.48389949,limited_support
race_ethnicity,non-Hispanic Black only,176,106,60.22727273,2296843.142234,1469178.243394,63.96511004,1.26766876,adequate_for_descriptive_audit
race_ethnicity,non-Hispanic White only,822,540,65.69343066,12759738.333581,8188598.944503,64.17528895,1.47784766,adequate_for_descriptive_audit
race_ethnicity,non-Hispanic other or multiple races,43,23,53.48837209,706822.042225,406570.487499,57.52091237,-5.17652892,limited_support
other_language_at_home,missing or inapplicable,1,1,100.00000000,16718.948334,16718.948334,100.00000000,37.30255872,limited_support
other_language_at_home,no,1039,678,65.25505294,15668020.701276,10213618.169489,65.18767344,2.49023216,adequate_for_descriptive_audit
other_language_at_home,yes,215,103,47.90697674,3194734.635005,1606610.186391,50.28931570,-12.40812558,adequate_for_descriptive_audit
poverty_category,high income,400,270,67.50000000,6865426.956993,4394129.329920,64.00372996,1.30628867,adequate_for_descriptive_audit
poverty_category,low income,190,107,56.31578947,2664727.870234,1473491.724839,55.29614267,-7.40129862,adequate_for_descriptive_audit
poverty_category,middle income,322,219,68.01242236,5247560.576932,3676196.892676,70.05534931,7.35790803,adequate_for_descriptive_audit
poverty_category,near poor,67,36,53.73134328,879160.157348,523165.212089,59.50738415,-3.19005714,adequate_for_descriptive_audit
poverty_category,poor or negative,276,150,54.34782609,3222598.723108,1769964.144690,54.92350419,-7.77393709,adequate_for_descriptive_audit
health_status,excellent,92,63,68.47826087,1721156.562531,1197662.546298,69.58475320,6.88731192,adequate_for_descriptive_audit
health_status,fair,327,171,52.29357798,4670976.287985,2405726.014737,51.50370857,-11.19373271,adequate_for_descriptive_audit
health_status,good,382,259,67.80104712,5451831.716995,3764393.508842,69.04823377,6.35079249,adequate_for_descriptive_audit
health_status,missing or inapplicable,27,15,55.55555556,391086.137290,237761.571439,60.79519287,-1.90224842,limited_support
health_status,poor,150,83,55.33333333,2123906.916014,1125749.418593,53.00370794,-9.69373335,adequate_for_descriptive_audit
health_status,very good,277,191,68.95306859,4520516.663800,3105654.244305,68.70131171,6.00387043,adequate_for_descriptive_audit
proxy_status,proxy respondent,32,16,50.00000000,432290.127013,232748.369472,53.84077843,-8.85666285,limited_support
proxy_status,respondent is reporting-unit member,1223,766,62.63286999,18447184.157602,11604198.934742,62.90498775,0.20754647,adequate_for_descriptive_audit
interview_language,English,1165,740,63.51931330,17693262.747405,11328183.919318,64.02540945,1.32796817,adequate_for_descriptive_audit
interview_language,English and Spanish,6,2,33.33333333,127145.061980,40309.521938,31.70356859,-30.99387269,limited_support
interview_language,Spanish,81,38,46.91358025,985240.363250,416222.184063,42.24575034,-20.45169095,adequate_for_descriptive_audit
interview_language,other language,3,2,66.66666667,73826.111980,52231.678895,70.74959996,8.05215868,limited_support
insurance_coverage,any private insurance,543,353,65.00920810,9330014.739399,6039188.393801,64.72860507,2.03116379,adequate_for_descriptive_audit
insurance_coverage,public insurance only,695,424,61.00719424,9268176.771584,5675458.378177,61.23597465,-1.46146664,adequate_for_descriptive_audit
insurance_coverage,uninsured,17,5,29.41176471,281282.773632,122300.532236,43.47956708,-19.21787421,limited_support
region,Midwest,293,181,61.77474403,4355781.957648,2620729.867624,60.16669092,-2.53075036,adequate_for_descriptive_audit
region,Northeast,206,134,65.04854369,3327808.038361,2138604.448698,64.26465782,1.56721653,adequate_for_descriptive_audit
region,South,499,288,57.71543086,7337839.362642,4338291.641287,59.12219424,-3.57524704,adequate_for_descriptive_audit
region,West,257,179,69.64980545,3858044.925964,2739321.346605,71.00283691,8.30539562,adequate_for_descriptive_audit
assigned_mode,mail,443,245,55.30474041,6815008.536501,3624819.332345,53.18877171,-9.50866958,adequate_for_descriptive_audit
assigned_mode,phone,422,247,58.53080569,6194034.544585,3743935.365941,60.44421191,-2.25322937,adequate_for_descriptive_audit
assigned_mode,web,390,290,74.35897436,5870431.203529,4468192.605928,76.11353325,13.41609197,adequate_for_descriptive_audit
