source_id,title,relative_path,url,media_type,bytes,sha256,pages,role
MEPS-H256-DATA,MEPS HC-256 2024 Full Year Consolidated ASCII data,data/raw/h256dat.zip,https://meps.ahrq.gov/data_files/pufs/h256/h256dat.zip,application/zip,6125956,d0779e49de4f5ff0b0fff6774167023382366a0ef0905e6a3c40126114f988c9,,person-level source
MEPS-H256-DOC,MEPS HC-256 documentation,data/raw/h256doc.pdf,https://meps.ahrq.gov/data_stats/download_data/pufs/h256/h256doc.pdf,application/pdf,1703083,31a3adfe4131b78a34f7abddc34b890201ace8dcad4be7bdcc3c3521de50c140,240,person design and use documentation
MEPS-H256-CB,MEPS HC-256 codebook,data/raw/h256cb.pdf,https://meps.ahrq.gov/data_stats/download_data/pufs/h256/h256cb.pdf,application/pdf,3905395,c5f0de30624e7337559f9b14a535b3b20118769e2eea074ee54103cf4f168885,629,person field definitions and frequencies
MEPS-H256-SAS,MEPS HC-256 SAS programming statements,data/raw/h256su.txt,https://meps.ahrq.gov/data_stats/download_data/pufs/h256/h256su.txt,text/plain,565233,a7bd4eca49833f40df45b53aad803dfca15b1a3a9b1de03aa6e79f508c5e24be,,person fixed-width and format reference
MEPS-H256-R,MEPS HC-256 R programming statements,data/raw/h256ru.txt,https://meps.ahrq.gov/data_stats/download_data/pufs/h256/h256ru.txt,text/plain,54112,193736376d85c3a6fe1d41ddf7e04d3eec3b083ab823b1ad083e795d2ca5ee0c,,person independent import reference
MEPS-H254D-DATA,MEPS HC-254D 2024 Hospital Inpatient Stays ASCII data,data/raw/h254ddat.zip,https://meps.ahrq.gov/data_files/pufs/h254d/h254ddat.zip,application/zip,108966,41b91b4dade76288fb725fbb2178402d0df3e528fb414bd4783e36390f58767d,,inpatient event source
MEPS-H254D-DOC,MEPS HC-254D documentation,data/raw/h254ddoc.pdf,https://meps.ahrq.gov/data_stats/download_data/pufs/h254d/h254ddoc.pdf,application/pdf,448871,5e86826b8240598dc75ec90dddc916c8bf860e896cf19f7ccc2b5f86d2916a75,38,inpatient event documentation
MEPS-H254D-CB,MEPS HC-254D codebook,data/raw/h254dcb.pdf,https://meps.ahrq.gov/data_stats/download_data/pufs/h254d/h254dcb.pdf,application/pdf,150704,23a7177bd6600c67f33ee05baafd39e641f9d76e43bf331147f50e666e44bdab,19,inpatient event field definitions
MEPS-H254D-SAS,MEPS HC-254D SAS programming statements,data/raw/h254dsu.txt,https://meps.ahrq.gov/data_stats/download_data/pufs/h254d/h254dsu.txt,text/plain,39845,3af152e6b3b4081dfb836bb9debf6888943ea72c4788467d98960d9d083434d9,,inpatient fixed-width and format reference
MEPS-H254D-R,MEPS HC-254D R programming statements,data/raw/h254dru.txt,https://meps.ahrq.gov/data_stats/download_data/pufs/h254d/h254dru.txt,text/plain,8525,410b877ce5fc6559de91424946cdc53f8e983466c70573f32b39e500f11dbea1,,inpatient independent import reference
MEPS-H254E-DATA,MEPS HC-254E 2024 Emergency Room Visits ASCII data,data/raw/h254edat.zip,https://meps.ahrq.gov/data_files/pufs/h254e/h254edat.zip,application/zip,186596,5a53c61f2386c2439ca766a7b8366b33195f0bb479a0a6c09c0c4374c4c0d3ca,,emergency event source
MEPS-H254E-DOC,MEPS HC-254E documentation,data/raw/h254edoc.pdf,https://meps.ahrq.gov/data_stats/download_data/pufs/h254e/h254edoc.pdf,application/pdf,449315,f45e1b229f34b23b0547b290a31a7cc1cd0ad0e721897be8e2c8952f6212841d,37,emergency event documentation
MEPS-H254E-CB,MEPS HC-254E codebook,data/raw/h254ecb.pdf,https://meps.ahrq.gov/data_stats/download_data/pufs/h254e/h254ecb.pdf,application/pdf,164629,18a3a90d9906563b70f5f131684e4b87245639a3a98736c52bfc022dfe436598,21,emergency event field definitions
MEPS-H254E-SAS,MEPS HC-254E SAS programming statements,data/raw/h254esu.txt,https://meps.ahrq.gov/data_stats/download_data/pufs/h254e/h254esu.txt,text/plain,41197,e2db9d9700e563661fd068e26c74261f5dc3a743f29ef8a79d40d84810ea07b6,,emergency fixed-width and format reference
MEPS-H254E-R,MEPS HC-254E R programming statements,data/raw/h254eru.txt,https://meps.ahrq.gov/data_stats/download_data/pufs/h254e/h254eru.txt,text/plain,8624,db8afc38b5fd54640117b77601515e2c750e6d6e5202297ad6ca5e8e8eb35057,,emergency independent import reference
MEPS-H254F-DATA,MEPS HC-254F 2024 Outpatient Visits ASCII data,data/raw/h254fdat.zip,https://meps.ahrq.gov/data_files/pufs/h254f/h254fdat.zip,application/zip,622628,8cfcf48c954b05ccdcb1b7b9c93bf7d6a356c3e4c2cf94877537c6d909dbd36c,,outpatient event source
MEPS-H254F-DOC,MEPS HC-254F documentation,data/raw/h254fdoc.pdf,https://meps.ahrq.gov/data_stats/download_data/pufs/h254f/h254fdoc.pdf,application/pdf,496837,1590c7a7ca3d304fc43f914b9247b291b7ad45fc8575a250e7f099afc1a5816d,38,outpatient event documentation
MEPS-H254F-CB,MEPS HC-254F codebook,data/raw/h254fcb.pdf,https://meps.ahrq.gov/data_stats/download_data/pufs/h254f/h254fcb.pdf,application/pdf,186959,f50e7148cf35d3c3bd05b6425be28a815a295f619e08dce03064998d5a0ed682,24,outpatient event field definitions
MEPS-H254F-SAS,MEPS HC-254F SAS programming statements,data/raw/h254fsu.txt,https://meps.ahrq.gov/data_stats/download_data/pufs/h254f/h254fsu.txt,text/plain,43929,5264a7fa0e14e7032ad0d886268137d6b372a22559c9096356c9c7165342f973,,outpatient fixed-width and format reference
MEPS-H254F-R,MEPS HC-254F R programming statements,data/raw/h254fru.txt,https://meps.ahrq.gov/data_stats/download_data/pufs/h254f/h254fru.txt,text/plain,8743,233549409f9134935b3e0cc8c2dd871fdd7ce206bf24c643a4d18b5f9986bc3a,,outpatient independent import reference
MEPS-H254G-DATA,MEPS HC-254G 2024 Office-Based Medical Provider Visits ASCII data,data/raw/h254gdat.zip,https://meps.ahrq.gov/data_files/pufs/h254g/h254gdat.zip,application/zip,2228561,0b5c802880e9bb5ebe952017c98c5653ea2c8e4d1fd392b42f3e3312025a0de1,,office-based event source
