synthetic_experience_group,linked_measure,eligible_persons,weighted_denominator,weighted_estimate,survey_se,ci95_low,ci95_high,unit,data_classes,claim_limit
both_discharge_items_yes,usual_source,305,7469448.329513,84.50923314,2.37110902,79.86185946,89.15660682,percent,synthetic response plus public MEPS access and service use,procedural teaching association only; not a real patient-experience result
both_discharge_items_yes,phone_difficult,251,5973033.355313,22.88405514,3.21933623,16.57415613,29.19395415,percent,synthetic response plus public MEPS access and service use,procedural teaching association only; not a real patient-experience result
both_discharge_items_yes,involved_usually_always,252,6062762.380816,73.77611708,3.24999497,67.40612695,80.14610722,percent,synthetic response plus public MEPS access and service use,procedural teaching association only; not a real patient-experience result
both_discharge_items_yes,delayed_for_cost,309,7534121.064267,5.15284197,1.10378883,2.98941587,7.31626807,percent,synthetic response plus public MEPS access and service use,procedural teaching association only; not a real patient-experience result
both_discharge_items_yes,any_emergency_visit,309,7534121.064267,70.53483613,2.99877686,64.65723349,76.41243878,percent,synthetic response plus public MEPS access and service use,procedural teaching association only; not a real patient-experience result
both_discharge_items_yes,mean_office_visits,309,7534121.064267,15.32762989,1.17478479,13.02505170,17.63020809,events_per_person,synthetic response plus public MEPS access and service use,procedural teaching association only; not a real patient-experience result
both_discharge_items_yes,any_telehealth_event,309,7534121.064267,18.28744181,2.55381549,13.28196345,23.29292016,percent,synthetic response plus public MEPS access and service use,procedural teaching association only; not a real patient-experience result
one_or_both_discharge_items_no,usual_source,223,5820243.465084,82.02119000,3.11392430,75.91789837,88.12448163,percent,synthetic response plus public MEPS access and service use,procedural teaching association only; not a real patient-experience result
one_or_both_discharge_items_no,phone_difficult,184,4663509.816193,22.16146721,3.31151604,15.67089576,28.65203866,percent,synthetic response plus public MEPS access and service use,procedural teaching association only; not a real patient-experience result
one_or_both_discharge_items_no,involved_usually_always,180,4473906.329280,77.70441856,3.49361488,70.85693339,84.55190372,percent,synthetic response plus public MEPS access and service use,procedural teaching association only; not a real patient-experience result
one_or_both_discharge_items_no,delayed_for_cost,229,5970038.832616,12.69288290,2.93608426,6.93815775,18.44760804,percent,synthetic response plus public MEPS access and service use,procedural teaching association only; not a real patient-experience result
one_or_both_discharge_items_no,any_emergency_visit,229,5970038.832616,70.32076801,3.20053891,64.04771174,76.59382428,percent,synthetic response plus public MEPS access and service use,procedural teaching association only; not a real patient-experience result
one_or_both_discharge_items_no,mean_office_visits,229,5970038.832616,16.96290478,1.74157753,13.54941283,20.37639674,events_per_person,synthetic response plus public MEPS access and service use,procedural teaching association only; not a real patient-experience result
one_or_both_discharge_items_no,any_telehealth_event,229,5970038.832616,19.79853473,2.96631615,13.98455508,25.61251437,percent,synthetic response plus public MEPS access and service use,procedural teaching association only; not a real patient-experience result
