opportunity_id,link_person_id,data_class,assigned_channel,language_support_offer,accessible_format_offer,synthetic_selection_score,comment_returned,comment_id
OPPORTUNITY-0001,LINK-0001,synthetic_comment_opportunity_linked_to_public_derived_meps,phone,not_applicable,not_offered,0.56231947,yes,COMMENT-0001
OPPORTUNITY-0002,LINK-0002,synthetic_comment_opportunity_linked_to_public_derived_meps,web,not_applicable,not_offered,0.95808451,yes,COMMENT-0002
OPPORTUNITY-0003,LINK-0004,synthetic_comment_opportunity_linked_to_public_derived_meps,web,not_applicable,not_offered,0.57506685,yes,COMMENT-0003
OPPORTUNITY-0004,LINK-0008,synthetic_comment_opportunity_linked_to_public_derived_meps,phone,offered,not_offered,0.32160343,no,
OPPORTUNITY-0005,LINK-0010,synthetic_comment_opportunity_linked_to_public_derived_meps,web,not_applicable,not_offered,0.90068580,yes,COMMENT-0004
OPPORTUNITY-0006,LINK-0011,synthetic_comment_opportunity_linked_to_public_derived_meps,phone,not_applicable,not_offered,0.34398596,no,
OPPORTUNITY-0007,LINK-0014,synthetic_comment_opportunity_linked_to_public_derived_meps,mail,not_applicable,not_offered,0.30488989,no,
OPPORTUNITY-0008,LINK-0015,synthetic_comment_opportunity_linked_to_public_derived_meps,phone,offered,not_offered,0.93558282,yes,COMMENT-0005
OPPORTUNITY-0009,LINK-0016,synthetic_comment_opportunity_linked_to_public_derived_meps,phone,not_applicable,not_offered,0.19885038,no,
OPPORTUNITY-0010,LINK-0017,synthetic_comment_opportunity_linked_to_public_derived_meps,phone,not_applicable,not_offered,0.84637543,yes,COMMENT-0006
OPPORTUNITY-0011,LINK-0020,synthetic_comment_opportunity_linked_to_public_derived_meps,web,offered,not_offered,0.38532004,no,
OPPORTUNITY-0012,LINK-0022,synthetic_comment_opportunity_linked_to_public_derived_meps,phone,not_applicable,not_offered,0.49807898,no,
OPPORTUNITY-0013,LINK-0023,synthetic_comment_opportunity_linked_to_public_derived_meps,web,offered,not_offered,0.97707727,yes,COMMENT-0007
OPPORTUNITY-0014,LINK-0026,synthetic_comment_opportunity_linked_to_public_derived_meps,mail,not_applicable,not_offered,0.62294707,yes,COMMENT-0008
OPPORTUNITY-0015,LINK-0028,synthetic_comment_opportunity_linked_to_public_derived_meps,phone,not_applicable,not_offered,0.73756618,yes,COMMENT-0009
OPPORTUNITY-0016,LINK-0030,synthetic_comment_opportunity_linked_to_public_derived_meps,phone,not_applicable,offered,0.95892621,yes,COMMENT-0010
OPPORTUNITY-0017,LINK-0031,synthetic_comment_opportunity_linked_to_public_derived_meps,mail,not_applicable,not_offered,0.06625773,no,
OPPORTUNITY-0018,LINK-0032,synthetic_comment_opportunity_linked_to_public_derived_meps,mail,not_applicable,not_offered,-0.03457091,no,
OPPORTUNITY-0019,LINK-0034,synthetic_comment_opportunity_linked_to_public_derived_meps,mail,offered,not_offered,0.42845738,no,
OPPORTUNITY-0020,LINK-0036,synthetic_comment_opportunity_linked_to_public_derived_meps,mail,not_offered,not_offered,0.19981755,no,
OPPORTUNITY-0021,LINK-0037,synthetic_comment_opportunity_linked_to_public_derived_meps,web,offered,not_offered,0.31851374,no,
OPPORTUNITY-0022,LINK-0040,synthetic_comment_opportunity_linked_to_public_derived_meps,mail,offered,not_offered,0.53764715,yes,COMMENT-0011
OPPORTUNITY-0023,LINK-0041,synthetic_comment_opportunity_linked_to_public_derived_meps,web,not_applicable,not_offered,0.92183169,yes,COMMENT-0012
OPPORTUNITY-0024,LINK-0042,synthetic_comment_opportunity_linked_to_public_derived_meps,phone,not_applicable,not_offered,0.31838097,no,
OPPORTUNITY-0025,LINK-0047,synthetic_comment_opportunity_linked_to_public_derived_meps,web,not_applicable,not_offered,0.85610773,yes,COMMENT-0013
OPPORTUNITY-0026,LINK-0048,synthetic_comment_opportunity_linked_to_public_derived_meps,mail,not_applicable,not_offered,0.11752233,no,
OPPORTUNITY-0027,LINK-0049,synthetic_comment_opportunity_linked_to_public_derived_meps,web,not_applicable,not_offered,0.61416163,yes,COMMENT-0014
OPPORTUNITY-0028,LINK-0050,synthetic_comment_opportunity_linked_to_public_derived_meps,phone,not_applicable,not_offered,0.08577006,no,
OPPORTUNITY-0029,LINK-0051,synthetic_comment_opportunity_linked_to_public_derived_meps,mail,not_applicable,offered,0.09825519,no,
OPPORTUNITY-0030,LINK-0052,synthetic_comment_opportunity_linked_to_public_derived_meps,phone,offered,not_offered,0.90944911,yes,COMMENT-0015
OPPORTUNITY-0031,LINK-0054,synthetic_comment_opportunity_linked_to_public_derived_meps,web,not_applicable,not_offered,0.53278470,yes,COMMENT-0016
OPPORTUNITY-0032,LINK-0055,synthetic_comment_opportunity_linked_to_public_derived_meps,web,not_applicable,not_offered,0.68739343,yes,COMMENT-0017
OPPORTUNITY-0033,LINK-0056,synthetic_comment_opportunity_linked_to_public_derived_meps,phone,not_applicable,not_offered,0.17008665,no,
OPPORTUNITY-0034,LINK-0063,synthetic_comment_opportunity_linked_to_public_derived_meps,mail,not_offered,not_offered,0.69810642,yes,COMMENT-0018
OPPORTUNITY-0035,LINK-0064,synthetic_comment_opportunity_linked_to_public_derived_meps,phone,not_applicable,not_offered,0.15867841,no,
OPPORTUNITY-0036,LINK-0065,synthetic_comment_opportunity_linked_to_public_derived_meps,web,not_offered,not_offered,0.37542467,no,
OPPORTUNITY-0037,LINK-0066,synthetic_comment_opportunity_linked_to_public_derived_meps,web,not_applicable,not_offered,0.43389002,no,
OPPORTUNITY-0038,LINK-0071,synthetic_comment_opportunity_linked_to_public_derived_meps,mail,not_applicable,offered,0.39262080,no,
OPPORTUNITY-0039,LINK-0072,synthetic_comment_opportunity_linked_to_public_derived_meps,mail,not_applicable,not_offered,0.91806796,yes,COMMENT-0019
OPPORTUNITY-0040,LINK-0073,synthetic_comment_opportunity_linked_to_public_derived_meps,mail,not_applicable,not_offered,0.76973479,yes,COMMENT-0020
OPPORTUNITY-0041,LINK-0074,synthetic_comment_opportunity_linked_to_public_derived_meps,web,not_applicable,not_offered,0.68924962,yes,COMMENT-0021
OPPORTUNITY-0042,LINK-0075,synthetic_comment_opportunity_linked_to_public_derived_meps,mail,not_applicable,not_offered,0.75862954,yes,COMMENT-0022
OPPORTUNITY-0043,LINK-0076,synthetic_comment_opportunity_linked_to_public_derived_meps,web,not_applicable,offered,0.75336180,yes,COMMENT-0023
OPPORTUNITY-0044,LINK-0078,synthetic_comment_opportunity_linked_to_public_derived_meps,mail,not_applicable,not_offered,0.31149357,no,
OPPORTUNITY-0045,LINK-0079,synthetic_comment_opportunity_linked_to_public_derived_meps,mail,not_applicable,not_offered,0.56805081,yes,COMMENT-0024
OPPORTUNITY-0046,LINK-0080,synthetic_comment_opportunity_linked_to_public_derived_meps,phone,not_applicable,offered,0.07995512,no,
OPPORTUNITY-0047,LINK-0081,synthetic_comment_opportunity_linked_to_public_derived_meps,mail,not_applicable,not_offered,0.71694632,yes,COMMENT-0025
OPPORTUNITY-0048,LINK-0083,synthetic_comment_opportunity_linked_to_public_derived_meps,phone,not_applicable,offered,0.40685581,no,
OPPORTUNITY-0049,LINK-0085,synthetic_comment_opportunity_linked_to_public_derived_meps,mail,not_applicable,not_offered,0.03658695,no,
OPPORTUNITY-0050,LINK-0086,synthetic_comment_opportunity_linked_to_public_derived_meps,mail,not_applicable,not_offered,0.65582505,yes,COMMENT-0026
OPPORTUNITY-0051,LINK-0088,synthetic_comment_opportunity_linked_to_public_derived_meps,web,not_applicable,not_offered,0.33557384,no,
OPPORTUNITY-0052,LINK-0091,synthetic_comment_opportunity_linked_to_public_derived_meps,web,not_applicable,offered,0.46326679,no,
OPPORTUNITY-0053,LINK-0092,synthetic_comment_opportunity_linked_to_public_derived_meps,phone,not_applicable,offered,0.73981817,yes,COMMENT-0027
OPPORTUNITY-0054,LINK-0093,synthetic_comment_opportunity_linked_to_public_derived_meps,mail,not_applicable,offered,0.44398525,no,
OPPORTUNITY-0055,LINK-0096,synthetic_comment_opportunity_linked_to_public_derived_meps,mail,not_applicable,not_offered,0.59136153,yes,COMMENT-0028
OPPORTUNITY-0056,LINK-0097,synthetic_comment_opportunity_linked_to_public_derived_meps,phone,not_applicable,offered,0.40684323,no,
OPPORTUNITY-0057,LINK-0100,synthetic_comment_opportunity_linked_to_public_derived_meps,phone,not_applicable,not_offered,0.32528232,no,
OPPORTUNITY-0058,LINK-0101,synthetic_comment_opportunity_linked_to_public_derived_meps,phone,not_applicable,not_offered,0.48270922,no,
OPPORTUNITY-0059,LINK-0102,synthetic_comment_opportunity_linked_to_public_derived_meps,mail,not_applicable,not_offered,0.26718331,no,
OPPORTUNITY-0060,LINK-0103,synthetic_comment_opportunity_linked_to_public_derived_meps,phone,offered,not_offered,0.88047989,yes,COMMENT-0029
OPPORTUNITY-0061,LINK-0104,synthetic_comment_opportunity_linked_to_public_derived_meps,phone,not_applicable,not_offered,0.49216753,no,
OPPORTUNITY-0062,LINK-0105,synthetic_comment_opportunity_linked_to_public_derived_meps,phone,not_applicable,offered,0.09295226,no,
OPPORTUNITY-0063,LINK-0106,synthetic_comment_opportunity_linked_to_public_derived_meps,web,not_applicable,not_offered,0.97031056,yes,COMMENT-0030
OPPORTUNITY-0064,LINK-0108,synthetic_comment_opportunity_linked_to_public_derived_meps,mail,not_applicable,offered,0.32000634,no,
OPPORTUNITY-0065,LINK-0112,synthetic_comment_opportunity_linked_to_public_derived_meps,web,not_applicable,not_offered,0.30484934,no,
OPPORTUNITY-0066,LINK-0115,synthetic_comment_opportunity_linked_to_public_derived_meps,web,not_applicable,offered,1.04678562,yes,COMMENT-0031
OPPORTUNITY-0067,LINK-0116,synthetic_comment_opportunity_linked_to_public_derived_meps,web,not_applicable,not_offered,0.21926467,no,
OPPORTUNITY-0068,LINK-0117,synthetic_comment_opportunity_linked_to_public_derived_meps,mail,not_applicable,not_offered,0.75383295,yes,COMMENT-0032
OPPORTUNITY-0069,LINK-0118,synthetic_comment_opportunity_linked_to_public_derived_meps,mail,not_applicable,not_offered,0.44993401,no,
OPPORTUNITY-0070,LINK-0120,synthetic_comment_opportunity_linked_to_public_derived_meps,mail,not_applicable,not_offered,0.30002201,no,
