measure,estimator,answered_n,estimate_percent,truth_percent,bias_pp,absolute_bias_pp,weight_definition,claim_limit
Q22,full_frame_truth,298,70.78160275,70.78160275,0.00000000,0.00000000,base person weight across all applicable held-out frame records,held-out synthetic known-truth comparison; teaching composite is not an official score
Q22,respondent_base_weighted,174,72.69198626,70.78160275,1.91038351,1.91038351,base person weight among item-answering held-out respondents,held-out synthetic known-truth comparison; teaching composite is not an official score
Q22,transparent_adjusted,174,72.39966789,70.78160275,1.61806514,1.61806514,base person weight times training-only bounded transparent factor,held-out synthetic known-truth comparison; teaching composite is not an official score
Q22,bounded_ml_adjusted,174,72.34975048,70.78160275,1.56814773,1.56814773,base person weight times bounded held-out ML factor,held-out synthetic known-truth comparison; teaching composite is not an official score
Q23,full_frame_truth,298,69.34252718,69.34252718,0.00000000,0.00000000,base person weight across all applicable held-out frame records,held-out synthetic known-truth comparison; teaching composite is not an official score
Q23,respondent_base_weighted,179,72.87765674,69.34252718,3.53512955,3.53512955,base person weight among item-answering held-out respondents,held-out synthetic known-truth comparison; teaching composite is not an official score
Q23,transparent_adjusted,179,72.69026176,69.34252718,3.34773458,3.34773458,base person weight times training-only bounded transparent factor,held-out synthetic known-truth comparison; teaching composite is not an official score
Q23,bounded_ml_adjusted,179,72.57282877,69.34252718,3.23030158,3.23030158,base person weight times bounded held-out ML factor,held-out synthetic known-truth comparison; teaching composite is not an official score
teaching_composite,full_frame_truth,Q22=298;Q23=298,70.06206497,70.06206497,0.00000000,0.00000000,base person weight across all applicable held-out frame records,held-out synthetic known-truth comparison; teaching composite is not an official score
teaching_composite,respondent_base_weighted,Q22=174;Q23=179,72.78482150,70.06206497,2.72275653,2.72275653,base person weight among item-answering held-out respondents,held-out synthetic known-truth comparison; teaching composite is not an official score
teaching_composite,transparent_adjusted,Q22=174;Q23=179,72.54496483,70.06206497,2.48289986,2.48289986,base person weight times training-only bounded transparent factor,held-out synthetic known-truth comparison; teaching composite is not an official score
teaching_composite,bounded_ml_adjusted,Q22=174;Q23=179,72.46128962,70.06206497,2.39922466,2.39922466,base person weight times bounded held-out ML factor,held-out synthetic known-truth comparison; teaching composite is not an official score
