frame_record_id,actual_response,response_cell,transparent_probability,ml_probability,transparent_factor,ml_factor,review_reason,required_review,claim_limit
FRAME-0567,nonrespondent,18-44|yes|lower income,0.32908612,0.43176399,3.00000000,2.31608015,transparent factor cap; factor difference at least 0.50,inspect omitted selection fields calibration residual bias and non-targeting boundary,synthetic failure case without clinical narrative
FRAME-0954,nonrespondent,18-44|yes|lower income,0.32908612,0.43176399,3.00000000,2.31608015,transparent factor cap; factor difference at least 0.50,inspect omitted selection fields calibration residual bias and non-targeting boundary,synthetic failure case without clinical narrative
FRAME-0095,nonrespondent,18-44|yes|lower income,0.32908612,0.43176399,3.00000000,2.31608015,transparent factor cap; factor difference at least 0.50,inspect omitted selection fields calibration residual bias and non-targeting boundary,synthetic failure case without clinical narrative
FRAME-0044,nonrespondent,18-44|yes|lower income,0.32908612,0.43176399,3.00000000,2.31608015,transparent factor cap; factor difference at least 0.50,inspect omitted selection fields calibration residual bias and non-targeting boundary,synthetic failure case without clinical narrative
FRAME-0591,respondent,18-44|yes|lower income,0.32908612,0.43176399,3.00000000,2.31608015,transparent factor cap; factor difference at least 0.50,inspect omitted selection fields calibration residual bias and non-targeting boundary,synthetic failure case without clinical narrative
FRAME-0393,nonrespondent,18-44|yes|middle or high income,0.60575403,0.57531404,1.65083507,1.73818112,threshold disagreement,inspect omitted selection fields calibration residual bias and non-targeting boundary,synthetic failure case without clinical narrative
FRAME-0331,nonrespondent,18-44|yes|lower income,0.32908612,0.43176399,3.00000000,2.31608015,transparent factor cap; factor difference at least 0.50,inspect omitted selection fields calibration residual bias and non-targeting boundary,synthetic failure case without clinical narrative
FRAME-1180,nonrespondent,18-44|yes|lower income,0.32908612,0.43176399,3.00000000,2.31608015,transparent factor cap; factor difference at least 0.50,inspect omitted selection fields calibration residual bias and non-targeting boundary,synthetic failure case without clinical narrative
FRAME-1189,nonrespondent,18-44|yes|middle or high income,0.60575403,0.57531404,1.65083507,1.73818112,threshold disagreement,inspect omitted selection fields calibration residual bias and non-targeting boundary,synthetic failure case without clinical narrative
FRAME-0020,respondent,18-44|yes|middle or high income,0.60575403,0.57531404,1.65083507,1.73818112,threshold disagreement,inspect omitted selection fields calibration residual bias and non-targeting boundary,synthetic failure case without clinical narrative
FRAME-0672,respondent,18-44|yes|middle or high income,0.60575403,0.57531404,1.65083507,1.73818112,threshold disagreement,inspect omitted selection fields calibration residual bias and non-targeting boundary,synthetic failure case without clinical narrative
FRAME-0964,respondent,18-44|yes|lower income,0.32908612,0.43176399,3.00000000,2.31608015,transparent factor cap; factor difference at least 0.50,inspect omitted selection fields calibration residual bias and non-targeting boundary,synthetic failure case without clinical narrative
FRAME-1193,respondent,18-44|yes|middle or high income,0.60575403,0.57531404,1.65083507,1.73818112,threshold disagreement,inspect omitted selection fields calibration residual bias and non-targeting boundary,synthetic failure case without clinical narrative
FRAME-0349,nonrespondent,18-44|yes|lower income,0.32908612,0.43176399,3.00000000,2.31608015,transparent factor cap; factor difference at least 0.50,inspect omitted selection fields calibration residual bias and non-targeting boundary,synthetic failure case without clinical narrative
FRAME-0963,nonrespondent,18-44|yes|lower income,0.32908612,0.43176399,3.00000000,2.31608015,transparent factor cap; factor difference at least 0.50,inspect omitted selection fields calibration residual bias and non-targeting boundary,synthetic failure case without clinical narrative
FRAME-0374,respondent,18-44|yes|lower income,0.32908612,0.43176399,3.00000000,2.31608015,transparent factor cap; factor difference at least 0.50,inspect omitted selection fields calibration residual bias and non-targeting boundary,synthetic failure case without clinical narrative
FRAME-0328,nonrespondent,18-44|yes|middle or high income,0.60575403,0.57531404,1.65083507,1.73818112,threshold disagreement,inspect omitted selection fields calibration residual bias and non-targeting boundary,synthetic failure case without clinical narrative
FRAME-0446,nonrespondent,18-44|yes|lower income,0.32908612,0.43176399,3.00000000,2.31608015,transparent factor cap; factor difference at least 0.50,inspect omitted selection fields calibration residual bias and non-targeting boundary,synthetic failure case without clinical narrative
FRAME-1018,nonrespondent,18-44|yes|lower income,0.32908612,0.43176399,3.00000000,2.31608015,transparent factor cap; factor difference at least 0.50,inspect omitted selection fields calibration residual bias and non-targeting boundary,synthetic failure case without clinical narrative
FRAME-0919,nonrespondent,18-44|yes|lower income,0.32908612,0.43176399,3.00000000,2.31608015,transparent factor cap; factor difference at least 0.50,inspect omitted selection fields calibration residual bias and non-targeting boundary,synthetic failure case without clinical narrative
FRAME-0850,nonrespondent,18-44|yes|lower income,0.32908612,0.43176399,3.00000000,2.31608015,transparent factor cap; factor difference at least 0.50,inspect omitted selection fields calibration residual bias and non-targeting boundary,synthetic failure case without clinical narrative
FRAME-0205,respondent,18-44|yes|middle or high income,0.60575403,0.57531404,1.65083507,1.73818112,threshold disagreement,inspect omitted selection fields calibration residual bias and non-targeting boundary,synthetic failure case without clinical narrative
