frame_record_id,split,response_status,response_cell,base_person_weight,split_rule
FRAME-0001,training,respondent,65+|no|middle or high income,16532.17940100,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0002,evaluation,respondent,65+|no|middle or high income,6895.35205800,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0003,training,nonrespondent,65+|no|middle or high income,10604.87331900,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0004,evaluation,respondent,45-64|no|middle or high income,19142.73573500,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0005,training,nonrespondent,65+|no|lower income,9953.07901000,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0006,training,nonrespondent,65+|no|middle or high income,11307.30487400,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0007,training,nonrespondent,45-64|no|middle or high income,21296.91433500,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0008,training,respondent,65+|yes|lower income,14629.30223800,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0009,training,nonrespondent,18-44|yes|lower income,12202.33663800,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0010,training,respondent,45-64|no|lower income,7016.81172400,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0011,training,respondent,65+|no|middle or high income,11801.28184900,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0012,training,nonrespondent,45-64|yes|middle or high income,20484.29526500,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0013,training,nonrespondent,45-64|no|middle or high income,16205.11219400,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0014,training,respondent,18-44|no|middle or high income,8293.54538600,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0015,training,respondent,18-44|yes|middle or high income,14168.18089400,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0016,evaluation,respondent,45-64|no|middle or high income,13835.31011100,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0017,training,respondent,65+|no|lower income,14651.75211500,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0018,evaluation,nonrespondent,65+|no|middle or high income,13271.02387000,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0019,evaluation,nonrespondent,65+|no|lower income,6499.04241300,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0020,evaluation,respondent,18-44|yes|middle or high income,29557.58027200,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0021,training,nonrespondent,65+|yes|lower income,6083.90013000,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0022,training,respondent,65+|no|lower income,2607.20642500,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0023,evaluation,respondent,45-64|yes|lower income,4412.66112700,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0024,training,nonrespondent,65+|no|lower income,11971.63001100,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0025,training,nonrespondent,65+|yes|lower income,6671.41031000,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0026,training,respondent,65+|no|middle or high income,11199.31931500,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0027,training,nonrespondent,45-64|no|lower income,9067.45989700,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0028,training,respondent,65+|no|lower income,5888.24272500,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0029,training,nonrespondent,18-44|no|middle or high income,17987.79306000,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0030,training,respondent,18-44|no|lower income,13484.43611700,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0031,training,respondent,45-64|no|middle or high income,12088.40784000,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0032,evaluation,respondent,65+|no|lower income,3258.88165300,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0033,evaluation,nonrespondent,45-64|yes|lower income,8662.74429300,stratified train_test_split test_size 0.30 random_state 20260830
