equity_dimension,dimension_label,group_id,group_label,group_order,missing_group,primary_reference,age_band_id,age_band,band_order,population_count,synthetic_event_count,rate_multiplier,age_specific_rate_per_100k,rate_low_95,rate_high_95,availability_state,claim_limit
disability_status,Disability status,reported_disability,Reported disability,1,0,0,A01,18-34,1,286379,7189,100000,2510.3097643333,2453.6481213795,2568.2454339607,available,"synthetic marginal rate; not an observed group rate, biological comparison, eligibility result, or allocation signal"
disability_status,Disability status,reported_disability,Reported disability,1,0,0,A02,35-49,2,228365,10878,100000,4763.4269699823,4676.8288825963,4851.5469325187,available,"synthetic marginal rate; not an observed group rate, biological comparison, eligibility result, or allocation signal"
disability_status,Disability status,reported_disability,Reported disability,1,0,0,A03,50-64,3,240214,21088,100000,8778.8388686754,8666.3312255625,8892.6648934046,available,"synthetic marginal rate; not an observed group rate, biological comparison, eligibility result, or allocation signal"
disability_status,Disability status,reported_disability,Reported disability,1,0,0,A04,65-74,4,126385,14563,100000,11522.7281718558,11347.8635391128,11699.9317587906,available,"synthetic marginal rate; not an observed group rate, biological comparison, eligibility result, or allocation signal"
disability_status,Disability status,reported_disability,Reported disability,1,0,0,A05,75+,5,88743,12062,100000,13592.0579651353,13368.1571956377,13819.1106126665,available,"synthetic marginal rate; not an observed group rate, biological comparison, eligibility result, or allocation signal"
disability_status,Disability status,no_reported_disability,No reported disability,2,0,1,A01,18-34,1,1344856,22317,100000,1659.4341699037,1637.981644262,1681.162855614,available,"synthetic marginal rate; not an observed group rate, biological comparison, eligibility result, or allocation signal"
disability_status,Disability status,no_reported_disability,No reported disability,2,0,1,A02,35-49,2,1061822,34149,100000,3216.0757641111,3182.6873545196,3249.8026821687,available,"synthetic marginal rate; not an observed group rate, biological comparison, eligibility result, or allocation signal"
disability_status,Disability status,no_reported_disability,No reported disability,2,0,1,A03,50-64,3,1126607,67665,100000,6006.0873046235,5962.3630985908,6050.111526949,available,"synthetic marginal rate; not an observed group rate, biological comparison, eligibility result, or allocation signal"
disability_status,Disability status,no_reported_disability,No reported disability,2,0,1,A04,65-74,4,590598,46539,100000,7879.9792752431,7811.539479868,7948.9669941557,available,"synthetic marginal rate; not an observed group rate, biological comparison, eligibility result, or allocation signal"
disability_status,Disability status,no_reported_disability,No reported disability,2,0,1,A05,75+,5,414555,38363,100000,9254.019370168,9166.1828638821,9342.6110117497,available,"synthetic marginal rate; not an observed group rate, biological comparison, eligibility result, or allocation signal"
