equity_dimension,dimension_label,group_id,group_label,missing_group,population_count,synthetic_event_count,population_share,event_share,support_state,representation_state,interpretation_limit
disability_status,Disability status,reported_disability,Reported disability,0,970086,65780,0.1707967649,0.2319349538,supported_for_synthetic_comparison,reported_group_retained_without_merging,separate synthetic margins cannot support intersectional or person-level representation claims
disability_status,Disability status,no_reported_disability,No reported disability,0,4538438,209033,0.799053412,0.7370334328,supported_for_synthetic_comparison,reported_group_retained_without_merging,separate synthetic margins cannot support intersectional or person-level representation claims
disability_status,Disability status,missing,Missing,1,171244,8801,0.030149823,0.0310316134,missingness_audit_only,missing_group_retained_for_audit,separate synthetic margins cannot support intersectional or person-level representation claims
primary_language,Primary language,english,English,0,4195048,201458,0.7385949567,0.7103245961,supported_for_synthetic_comparison,reported_group_retained_without_merging,separate synthetic margins cannot support intersectional or person-level representation claims
primary_language,Primary language,spanish,Spanish,0,570945,33113,0.1005225918,0.1167537569,supported_for_synthetic_comparison,reported_group_retained_without_merging,separate synthetic margins cannot support intersectional or person-level representation claims
primary_language,Primary language,portuguese,Portuguese,0,285195,15930,0.0502124383,0.0561678902,supported_for_synthetic_comparison,reported_group_retained_without_merging,separate synthetic margins cannot support intersectional or person-level representation claims
primary_language,Primary language,haitian_creole,Haitian Creole,0,142751,8479,0.0251332449,0.0298962675,supported_for_synthetic_comparison,reported_group_retained_without_merging,separate synthetic margins cannot support intersectional or person-level representation claims
primary_language,Primary language,chinese,Chinese,0,142616,6436,0.0251094763,0.0226928149,supported_for_synthetic_comparison,reported_group_retained_without_merging,separate synthetic margins cannot support intersectional or person-level representation claims
primary_language,Primary language,other_language,Another language,0,228907,12485,0.0403021743,0.0440210991,supported_for_synthetic_comparison,reported_group_retained_without_merging,separate synthetic margins cannot support intersectional or person-level representation claims
primary_language,Primary language,missing,Missing,1,114306,5713,0.0201251178,0.0201435754,missingness_audit_only,missing_group_retained_for_audit,separate synthetic margins cannot support intersectional or person-level representation claims
race_ethnicity,Combined race and ethnicity,american_indian_alaska_native,American Indian or Alaska Native,0,68426,4207,0.0120473231,0.0148335414,supported_for_synthetic_comparison,reported_group_retained_without_merging,separate synthetic margins cannot support intersectional or person-level representation claims
race_ethnicity,Combined race and ethnicity,asian,Asian,0,427401,18563,0.0752497285,0.065451635,supported_for_synthetic_comparison,reported_group_retained_without_merging,separate synthetic margins cannot support intersectional or person-level representation claims
race_ethnicity,Combined race and ethnicity,black_african_american,Black or African American,0,512988,32426,0.0903184778,0.1143314505,supported_for_synthetic_comparison,reported_group_retained_without_merging,separate synthetic margins cannot support intersectional or person-level representation claims
race_ethnicity,Combined race and ethnicity,hispanic_latino,Hispanic or Latino,0,738456,44236,0.1300151696,0.1559725542,supported_for_synthetic_comparison,reported_group_retained_without_merging,separate synthetic margins cannot support intersectional or person-level representation claims
race_ethnicity,Combined race and ethnicity,middle_eastern_north_african,Middle Eastern or North African,0,114050,5393,0.0200800455,0.0190152813,supported_for_synthetic_comparison,reported_group_retained_without_merging,separate synthetic margins cannot support intersectional or person-level representation claims
race_ethnicity,Combined race and ethnicity,native_hawaiian_pacific_islander,Native Hawaiian or Pacific Islander,0,22813,1249,0.0040165373,0.0044038729,supported_for_synthetic_comparison,reported_group_retained_without_merging,separate synthetic margins cannot support intersectional or person-level representation claims
race_ethnicity,Combined race and ethnicity,white,White,0,3344980,153391,0.5889289844,0.5408442461,supported_for_synthetic_comparison,reported_group_retained_without_merging,separate synthetic margins cannot support intersectional or person-level representation claims
race_ethnicity,Combined race and ethnicity,multiple_identities,Multiple identities,0,256971,14009,0.0452432212,0.0493945997,supported_for_synthetic_comparison,reported_group_retained_without_merging,separate synthetic margins cannot support intersectional or person-level representation claims
race_ethnicity,Combined race and ethnicity,missing,Missing,1,193683,10140,0.0341005126,0.035752819,missingness_audit_only,missing_group_retained_for_audit,separate synthetic margins cannot support intersectional or person-level representation claims
