tract_fips,acs_present,places_present,svi_present,three_source_intersection,measure_eligible,unmatched_state
25001010100,1,1,1,1,1,complete three-source intersection
25001010206,1,1,1,1,1,complete three-source intersection
25001010208,1,1,1,1,1,complete three-source intersection
25001010304,1,1,1,1,1,complete three-source intersection
25001010306,1,1,1,1,1,complete three-source intersection
25001010400,1,1,1,1,1,complete three-source intersection
25001010500,1,1,1,1,1,complete three-source intersection
25001010600,1,1,1,1,1,complete three-source intersection
25001010700,1,1,1,1,1,complete three-source intersection
25001010800,1,1,1,1,1,complete three-source intersection
25001010900,1,1,1,1,1,complete three-source intersection
25001011002,1,1,1,1,1,complete three-source intersection
25001011100,1,1,1,1,1,complete three-source intersection
25001011200,1,1,1,1,1,complete three-source intersection
25001011300,1,1,1,1,1,complete three-source intersection
25001011400,1,1,1,1,1,complete three-source intersection
25001011500,1,1,1,1,1,complete three-source intersection
25001011600,1,1,1,1,1,complete three-source intersection
25001011700,1,1,1,1,1,complete three-source intersection
25001011801,1,1,1,1,1,complete three-source intersection
25001011802,1,1,1,1,1,complete three-source intersection
25001012001,1,1,1,1,1,complete three-source intersection
25001012002,1,1,1,1,1,complete three-source intersection
25001012101,1,1,1,1,1,complete three-source intersection
25001012102,1,1,1,1,1,complete three-source intersection
25001012200,1,1,1,1,1,complete three-source intersection
25001012502,1,1,1,1,1,complete three-source intersection
25001012601,1,1,1,1,1,complete three-source intersection
25001012602,1,1,1,1,1,complete three-source intersection
25001012700,1,1,1,1,1,complete three-source intersection
25001012800,1,1,1,1,1,complete three-source intersection
25001012900,1,1,1,1,1,complete three-source intersection
25001013002,1,1,1,1,1,complete three-source intersection
25001013100,1,1,1,1,1,complete three-source intersection
25001013200,1,1,1,1,1,complete three-source intersection
25001013300,1,1,1,1,1,complete three-source intersection
25001013400,1,1,1,1,1,complete three-source intersection
25001013500,1,1,1,1,1,complete three-source intersection
25001013600,1,1,1,1,1,complete three-source intersection
25001013700,1,1,1,1,1,complete three-source intersection
25001013800,1,1,1,1,1,complete three-source intersection
25001013900,1,1,1,1,1,complete three-source intersection
25001014002,1,1,1,1,1,complete three-source intersection
25001014100,1,1,1,1,1,complete three-source intersection
25001014300,1,1,1,1,1,complete three-source intersection
25001014402,1,1,1,1,1,complete three-source intersection
25001014500,1,1,1,1,1,complete three-source intersection
25001014600,1,1,1,1,1,complete three-source intersection
25001014700,1,1,1,1,1,complete three-source intersection
25001014800,1,1,1,1,1,complete three-source intersection
25001014900,1,1,1,1,1,complete three-source intersection
25001015001,1,1,1,1,1,complete three-source intersection
25001015002,1,1,1,1,1,complete three-source intersection
25001015100,1,1,1,1,1,complete three-source intersection
25001015200,1,1,1,1,1,complete three-source intersection
25001015300,1,1,1,1,1,complete three-source intersection
25001990000,1,0,0,0,0,ACS only; no PLACES or SVI row
25003900100,1,1,1,1,1,complete three-source intersection
25003900200,1,1,1,1,1,complete three-source intersection
25003900300,1,1,1,1,1,complete three-source intersection
25003900400,1,1,1,1,1,complete three-source intersection
25003900500,1,1,1,1,1,complete three-source intersection
25003900600,1,1,1,1,1,complete three-source intersection
25003900700,1,1,1,1,1,complete three-source intersection
25003900800,1,1,1,1,1,complete three-source intersection
25003900900,1,1,1,1,1,complete three-source intersection
25003901100,1,1,1,1,1,complete three-source intersection
25003911100,1,1,1,1,1,complete three-source intersection
25003912100,1,1,1,1,1,complete three-source intersection
25003913100,1,1,1,1,1,complete three-source intersection
25003914100,1,1,1,1,1,complete three-source intersection
25003920101,1,1,1,1,1,complete three-source intersection
25003920102,1,1,1,1,1,complete three-source intersection
25003921300,1,1,1,1,1,complete three-source intersection
25003921400,1,1,1,1,1,complete three-source intersection
25003921500,1,1,1,1,1,complete three-source intersection
25003922100,1,1,1,1,1,complete three-source intersection
25003922200,1,1,1,1,1,complete three-source intersection
25003922300,1,1,1,1,1,complete three-source intersection
25003923100,1,1,1,1,1,complete three-source intersection
25003924100,1,1,1,1,1,complete three-source intersection
25003925101,1,1,1,1,1,complete three-source intersection
25003925102,1,1,1,1,1,complete three-source intersection
25003926100,1,1,1,1,1,complete three-source intersection
25003931100,1,1,1,1,1,complete three-source intersection
25003931300,1,1,1,1,1,complete three-source intersection
25003931400,1,1,1,1,1,complete three-source intersection
25003932200,1,1,1,1,1,complete three-source intersection
25003932300,1,1,1,1,1,complete three-source intersection
25003933200,1,1,1,1,1,complete three-source intersection
25003933300,1,1,1,1,1,complete three-source intersection
25003933400,1,1,1,1,1,complete three-source intersection
25003934200,1,1,1,1,1,complete three-source intersection
25003934300,1,1,1,1,1,complete three-source intersection
25003935100,1,1,1,1,1,complete three-source intersection
25003935200,1,1,1,1,1,complete three-source intersection
25003935300,1,1,1,1,1,complete three-source intersection
25005600100,1,1,1,1,1,complete three-source intersection
25005600202,1,1,1,1,1,complete three-source intersection
