tract_fips,county_fips,county_name,tract_modeled_prevalence_percent,tract_map_class,county_weighted_tract_summary_percent,county_summary_class,absolute_difference_percentage_points,class_changes_after_aggregation,interpretation_limit
25001010100,25001,Barnstable,12.1,10.0% to less than 15.0%,10.5608592651,10.0% to less than 15.0%,1.5391407349,0,tract and county summaries answer different area-level questions; neither supports individual inference
25001010206,25001,Barnstable,10.8,10.0% to less than 15.0%,10.5608592651,10.0% to less than 15.0%,0.2391407349,0,tract and county summaries answer different area-level questions; neither supports individual inference
25001010208,25001,Barnstable,11.3,10.0% to less than 15.0%,10.5608592651,10.0% to less than 15.0%,0.7391407349,0,tract and county summaries answer different area-level questions; neither supports individual inference
25001010304,25001,Barnstable,11.2,10.0% to less than 15.0%,10.5608592651,10.0% to less than 15.0%,0.6391407349,0,tract and county summaries answer different area-level questions; neither supports individual inference
25001010306,25001,Barnstable,12.1,10.0% to less than 15.0%,10.5608592651,10.0% to less than 15.0%,1.5391407349,0,tract and county summaries answer different area-level questions; neither supports individual inference
25001010400,25001,Barnstable,12,10.0% to less than 15.0%,10.5608592651,10.0% to less than 15.0%,1.4391407349,0,tract and county summaries answer different area-level questions; neither supports individual inference
25001010500,25001,Barnstable,10.8,10.0% to less than 15.0%,10.5608592651,10.0% to less than 15.0%,0.2391407349,0,tract and county summaries answer different area-level questions; neither supports individual inference
25001010600,25001,Barnstable,11.8,10.0% to less than 15.0%,10.5608592651,10.0% to less than 15.0%,1.2391407349,0,tract and county summaries answer different area-level questions; neither supports individual inference
25001010700,25001,Barnstable,11.1,10.0% to less than 15.0%,10.5608592651,10.0% to less than 15.0%,0.5391407349,0,tract and county summaries answer different area-level questions; neither supports individual inference
25001010800,25001,Barnstable,10.7,10.0% to less than 15.0%,10.5608592651,10.0% to less than 15.0%,0.1391407349,0,tract and county summaries answer different area-level questions; neither supports individual inference
25001010900,25001,Barnstable,11,10.0% to less than 15.0%,10.5608592651,10.0% to less than 15.0%,0.4391407349,0,tract and county summaries answer different area-level questions; neither supports individual inference
25001011002,25001,Barnstable,10.3,10.0% to less than 15.0%,10.5608592651,10.0% to less than 15.0%,0.2608592651,0,tract and county summaries answer different area-level questions; neither supports individual inference
25001011100,25001,Barnstable,10.3,10.0% to less than 15.0%,10.5608592651,10.0% to less than 15.0%,0.2608592651,0,tract and county summaries answer different area-level questions; neither supports individual inference
25001011200,25001,Barnstable,10.6,10.0% to less than 15.0%,10.5608592651,10.0% to less than 15.0%,0.0391407349,0,tract and county summaries answer different area-level questions; neither supports individual inference
25001011300,25001,Barnstable,11.1,10.0% to less than 15.0%,10.5608592651,10.0% to less than 15.0%,0.5391407349,0,tract and county summaries answer different area-level questions; neither supports individual inference
25001011400,25001,Barnstable,11.8,10.0% to less than 15.0%,10.5608592651,10.0% to less than 15.0%,1.2391407349,0,tract and county summaries answer different area-level questions; neither supports individual inference
25001011500,25001,Barnstable,11.3,10.0% to less than 15.0%,10.5608592651,10.0% to less than 15.0%,0.7391407349,0,tract and county summaries answer different area-level questions; neither supports individual inference
25001011600,25001,Barnstable,10.8,10.0% to less than 15.0%,10.5608592651,10.0% to less than 15.0%,0.2391407349,0,tract and county summaries answer different area-level questions; neither supports individual inference
25001011700,25001,Barnstable,11.4,10.0% to less than 15.0%,10.5608592651,10.0% to less than 15.0%,0.8391407349,0,tract and county summaries answer different area-level questions; neither supports individual inference
25001011801,25001,Barnstable,11.2,10.0% to less than 15.0%,10.5608592651,10.0% to less than 15.0%,0.6391407349,0,tract and county summaries answer different area-level questions; neither supports individual inference
25001011802,25001,Barnstable,10.1,10.0% to less than 15.0%,10.5608592651,10.0% to less than 15.0%,0.4608592651,0,tract and county summaries answer different area-level questions; neither supports individual inference
25001012001,25001,Barnstable,11.1,10.0% to less than 15.0%,10.5608592651,10.0% to less than 15.0%,0.5391407349,0,tract and county summaries answer different area-level questions; neither supports individual inference
25001012002,25001,Barnstable,11.9,10.0% to less than 15.0%,10.5608592651,10.0% to less than 15.0%,1.3391407349,0,tract and county summaries answer different area-level questions; neither supports individual inference
25001012101,25001,Barnstable,10.1,10.0% to less than 15.0%,10.5608592651,10.0% to less than 15.0%,0.4608592651,0,tract and county summaries answer different area-level questions; neither supports individual inference
25001012102,25001,Barnstable,11.4,10.0% to less than 15.0%,10.5608592651,10.0% to less than 15.0%,0.8391407349,0,tract and county summaries answer different area-level questions; neither supports individual inference
25001012200,25001,Barnstable,9.2,5.0% to less than 10.0%,10.5608592651,10.0% to less than 15.0%,1.3608592651,1,tract and county summaries answer different area-level questions; neither supports individual inference
25001012502,25001,Barnstable,11.4,10.0% to less than 15.0%,10.5608592651,10.0% to less than 15.0%,0.8391407349,0,tract and county summaries answer different area-level questions; neither supports individual inference
25001012601,25001,Barnstable,11.6,10.0% to less than 15.0%,10.5608592651,10.0% to less than 15.0%,1.0391407349,0,tract and county summaries answer different area-level questions; neither supports individual inference
25001012602,25001,Barnstable,11.1,10.0% to less than 15.0%,10.5608592651,10.0% to less than 15.0%,0.5391407349,0,tract and county summaries answer different area-level questions; neither supports individual inference
25001012700,25001,Barnstable,9.8,5.0% to less than 10.0%,10.5608592651,10.0% to less than 15.0%,0.7608592651,1,tract and county summaries answer different area-level questions; neither supports individual inference
25001012800,25001,Barnstable,10.2,10.0% to less than 15.0%,10.5608592651,10.0% to less than 15.0%,0.3608592651,0,tract and county summaries answer different area-level questions; neither supports individual inference
25001012900,25001,Barnstable,9.8,5.0% to less than 10.0%,10.5608592651,10.0% to less than 15.0%,0.7608592651,1,tract and county summaries answer different area-level questions; neither supports individual inference
25001013002,25001,Barnstable,10,10.0% to less than 15.0%,10.5608592651,10.0% to less than 15.0%,0.5608592651,0,tract and county summaries answer different area-level questions; neither supports individual inference
25001013100,25001,Barnstable,9.7,5.0% to less than 10.0%,10.5608592651,10.0% to less than 15.0%,0.8608592651,1,tract and county summaries answer different area-level questions; neither supports individual inference
25001013200,25001,Barnstable,10.6,10.0% to less than 15.0%,10.5608592651,10.0% to less than 15.0%,0.0391407349,0,tract and county summaries answer different area-level questions; neither supports individual inference
25001013300,25001,Barnstable,10.3,10.0% to less than 15.0%,10.5608592651,10.0% to less than 15.0%,0.2608592651,0,tract and county summaries answer different area-level questions; neither supports individual inference
25001013400,25001,Barnstable,10.3,10.0% to less than 15.0%,10.5608592651,10.0% to less than 15.0%,0.2608592651,0,tract and county summaries answer different area-level questions; neither supports individual inference
25001013500,25001,Barnstable,8.5,5.0% to less than 10.0%,10.5608592651,10.0% to less than 15.0%,2.0608592651,1,tract and county summaries answer different area-level questions; neither supports individual inference
25001013600,25001,Barnstable,9,5.0% to less than 10.0%,10.5608592651,10.0% to less than 15.0%,1.5608592651,1,tract and county summaries answer different area-level questions; neither supports individual inference
25001013700,25001,Barnstable,7.9,5.0% to less than 10.0%,10.5608592651,10.0% to less than 15.0%,2.6608592651,1,tract and county summaries answer different area-level questions; neither supports individual inference
25001013800,25001,Barnstable,8.9,5.0% to less than 10.0%,10.5608592651,10.0% to less than 15.0%,1.6608592651,1,tract and county summaries answer different area-level questions; neither supports individual inference
25001013900,25001,Barnstable,11.3,10.0% to less than 15.0%,10.5608592651,10.0% to less than 15.0%,0.7391407349,0,tract and county summaries answer different area-level questions; neither supports individual inference
25001014002,25001,Barnstable,10.6,10.0% to less than 15.0%,10.5608592651,10.0% to less than 15.0%,0.0391407349,0,tract and county summaries answer different area-level questions; neither supports individual inference
25001014100,25001,Barnstable,4.4,less than 5.0%,10.5608592651,10.0% to less than 15.0%,6.1608592651,1,tract and county summaries answer different area-level questions; neither supports individual inference
25001014300,25001,Barnstable,9.5,5.0% to less than 10.0%,10.5608592651,10.0% to less than 15.0%,1.0608592651,1,tract and county summaries answer different area-level questions; neither supports individual inference
25001014402,25001,Barnstable,9.7,5.0% to less than 10.0%,10.5608592651,10.0% to less than 15.0%,0.8608592651,1,tract and county summaries answer different area-level questions; neither supports individual inference
25001014500,25001,Barnstable,10,10.0% to less than 15.0%,10.5608592651,10.0% to less than 15.0%,0.5608592651,0,tract and county summaries answer different area-level questions; neither supports individual inference
25001014600,25001,Barnstable,10.4,10.0% to less than 15.0%,10.5608592651,10.0% to less than 15.0%,0.1608592651,0,tract and county summaries answer different area-level questions; neither supports individual inference
25001014700,25001,Barnstable,12.1,10.0% to less than 15.0%,10.5608592651,10.0% to less than 15.0%,1.5391407349,0,tract and county summaries answer different area-level questions; neither supports individual inference
25001014800,25001,Barnstable,14.8,10.0% to less than 15.0%,10.5608592651,10.0% to less than 15.0%,4.2391407349,0,tract and county summaries answer different area-level questions; neither supports individual inference
25001014900,25001,Barnstable,9.9,5.0% to less than 10.0%,10.5608592651,10.0% to less than 15.0%,0.6608592651,1,tract and county summaries answer different area-level questions; neither supports individual inference
25001015001,25001,Barnstable,9.6,5.0% to less than 10.0%,10.5608592651,10.0% to less than 15.0%,0.9608592651,1,tract and county summaries answer different area-level questions; neither supports individual inference
25001015002,25001,Barnstable,11.6,10.0% to less than 15.0%,10.5608592651,10.0% to less than 15.0%,1.0391407349,0,tract and county summaries answer different area-level questions; neither supports individual inference
25001015100,25001,Barnstable,10.9,10.0% to less than 15.0%,10.5608592651,10.0% to less than 15.0%,0.3391407349,0,tract and county summaries answer different area-level questions; neither supports individual inference
25001015200,25001,Barnstable,10.2,10.0% to less than 15.0%,10.5608592651,10.0% to less than 15.0%,0.3608592651,0,tract and county summaries answer different area-level questions; neither supports individual inference
25001015300,25001,Barnstable,12.6,10.0% to less than 15.0%,10.5608592651,10.0% to less than 15.0%,2.0391407349,0,tract and county summaries answer different area-level questions; neither supports individual inference
25003900100,25003,Berkshire,14.3,10.0% to less than 15.0%,10.8139601753,10.0% to less than 15.0%,3.4860398247,0,tract and county summaries answer different area-level questions; neither supports individual inference
25003900200,25003,Berkshire,11.6,10.0% to less than 15.0%,10.8139601753,10.0% to less than 15.0%,0.7860398247,0,tract and county summaries answer different area-level questions; neither supports individual inference
25003900300,25003,Berkshire,9.1,5.0% to less than 10.0%,10.8139601753,10.0% to less than 15.0%,1.7139601753,1,tract and county summaries answer different area-level questions; neither supports individual inference
25003900400,25003,Berkshire,10.5,10.0% to less than 15.0%,10.8139601753,10.0% to less than 15.0%,0.3139601753,0,tract and county summaries answer different area-level questions; neither supports individual inference
25003900500,25003,Berkshire,11.5,10.0% to less than 15.0%,10.8139601753,10.0% to less than 15.0%,0.6860398247,0,tract and county summaries answer different area-level questions; neither supports individual inference
25003900600,25003,Berkshire,13.4,10.0% to less than 15.0%,10.8139601753,10.0% to less than 15.0%,2.5860398247,0,tract and county summaries answer different area-level questions; neither supports individual inference
25003900700,25003,Berkshire,9.9,5.0% to less than 10.0%,10.8139601753,10.0% to less than 15.0%,0.9139601753,1,tract and county summaries answer different area-level questions; neither supports individual inference
25003900800,25003,Berkshire,9.4,5.0% to less than 10.0%,10.8139601753,10.0% to less than 15.0%,1.4139601753,1,tract and county summaries answer different area-level questions; neither supports individual inference
25003900900,25003,Berkshire,10.7,10.0% to less than 15.0%,10.8139601753,10.0% to less than 15.0%,0.1139601753,0,tract and county summaries answer different area-level questions; neither supports individual inference
25003901100,25003,Berkshire,11.8,10.0% to less than 15.0%,10.8139601753,10.0% to less than 15.0%,0.9860398247,0,tract and county summaries answer different area-level questions; neither supports individual inference
25003911100,25003,Berkshire,10.2,10.0% to less than 15.0%,10.8139601753,10.0% to less than 15.0%,0.6139601753,0,tract and county summaries answer different area-level questions; neither supports individual inference
25003912100,25003,Berkshire,10.2,10.0% to less than 15.0%,10.8139601753,10.0% to less than 15.0%,0.6139601753,0,tract and county summaries answer different area-level questions; neither supports individual inference
25003913100,25003,Berkshire,11.3,10.0% to less than 15.0%,10.8139601753,10.0% to less than 15.0%,0.4860398247,0,tract and county summaries answer different area-level questions; neither supports individual inference
25003914100,25003,Berkshire,10.4,10.0% to less than 15.0%,10.8139601753,10.0% to less than 15.0%,0.4139601753,0,tract and county summaries answer different area-level questions; neither supports individual inference
25003920101,25003,Berkshire,7.4,5.0% to less than 10.0%,10.8139601753,10.0% to less than 15.0%,3.4139601753,1,tract and county summaries answer different area-level questions; neither supports individual inference
25003920102,25003,Berkshire,8.8,5.0% to less than 10.0%,10.8139601753,10.0% to less than 15.0%,2.0139601753,1,tract and county summaries answer different area-level questions; neither supports individual inference
25003921300,25003,Berkshire,10.8,10.0% to less than 15.0%,10.8139601753,10.0% to less than 15.0%,0.0139601753,0,tract and county summaries answer different area-level questions; neither supports individual inference
25003921400,25003,Berkshire,11.9,10.0% to less than 15.0%,10.8139601753,10.0% to less than 15.0%,1.0860398247,0,tract and county summaries answer different area-level questions; neither supports individual inference
25003921500,25003,Berkshire,12,10.0% to less than 15.0%,10.8139601753,10.0% to less than 15.0%,1.1860398247,0,tract and county summaries answer different area-level questions; neither supports individual inference
25003922100,25003,Berkshire,11.7,10.0% to less than 15.0%,10.8139601753,10.0% to less than 15.0%,0.8860398247,0,tract and county summaries answer different area-level questions; neither supports individual inference
25003922200,25003,Berkshire,10.8,10.0% to less than 15.0%,10.8139601753,10.0% to less than 15.0%,0.0139601753,0,tract and county summaries answer different area-level questions; neither supports individual inference
25003922300,25003,Berkshire,11.7,10.0% to less than 15.0%,10.8139601753,10.0% to less than 15.0%,0.8860398247,0,tract and county summaries answer different area-level questions; neither supports individual inference
25003923100,25003,Berkshire,10.9,10.0% to less than 15.0%,10.8139601753,10.0% to less than 15.0%,0.0860398247,0,tract and county summaries answer different area-level questions; neither supports individual inference
25003924100,25003,Berkshire,12.1,10.0% to less than 15.0%,10.8139601753,10.0% to less than 15.0%,1.2860398247,0,tract and county summaries answer different area-level questions; neither supports individual inference
25003925101,25003,Berkshire,9.4,5.0% to less than 10.0%,10.8139601753,10.0% to less than 15.0%,1.4139601753,1,tract and county summaries answer different area-level questions; neither supports individual inference
25003925102,25003,Berkshire,10.5,10.0% to less than 15.0%,10.8139601753,10.0% to less than 15.0%,0.3139601753,0,tract and county summaries answer different area-level questions; neither supports individual inference
25003926100,25003,Berkshire,10.4,10.0% to less than 15.0%,10.8139601753,10.0% to less than 15.0%,0.4139601753,0,tract and county summaries answer different area-level questions; neither supports individual inference
25003931100,25003,Berkshire,10.4,10.0% to less than 15.0%,10.8139601753,10.0% to less than 15.0%,0.4139601753,0,tract and county summaries answer different area-level questions; neither supports individual inference
25003931300,25003,Berkshire,11.7,10.0% to less than 15.0%,10.8139601753,10.0% to less than 15.0%,0.8860398247,0,tract and county summaries answer different area-level questions; neither supports individual inference
25003931400,25003,Berkshire,9.9,5.0% to less than 10.0%,10.8139601753,10.0% to less than 15.0%,0.9139601753,1,tract and county summaries answer different area-level questions; neither supports individual inference
25003932200,25003,Berkshire,11.1,10.0% to less than 15.0%,10.8139601753,10.0% to less than 15.0%,0.2860398247,0,tract and county summaries answer different area-level questions; neither supports individual inference
