claim_id,proposed_statement,classification,decision,reason,required_rewrite
EC01,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
EC02,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
EC03,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
EC04,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
EC05,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
EC06,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
EC07,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
EC08,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
EC09,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
EC10,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
