year,stateabbr,statedesc,countyname,countyfips,locationname,datasource,category,measure,data_value_unit,data_value_type,data_value,data_value_footnote_symbol,data_value_footnote,low_confidence_limit,high_confidence_limit,totalpopulation,totalpop18plus,geolocation,locationid,categoryid,measureid,datavaluetypeid,short_question_text
2023,MA,Massachusetts,Barnstable,25001,25001010100,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,12.1,,,10.2,14.3,3664,3489,POINT (-70.2004073 42.0598291),25001010100,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Barnstable,25001,25001010206,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,10.8,,,9.2,12.7,3566,3172,POINT (-70.0153685 41.9226356),25001010206,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Barnstable,25001,25001010208,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,11.3,,,9.6,13.1,2454,2206,POINT (-70.0641514 42.0135566),25001010208,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Barnstable,25001,25001010304,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,11.2,,,9.6,13.1,2672,2399,POINT (-69.9762027 41.825108),25001010304,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Barnstable,25001,25001010306,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,12.1,,,10.2,13.9,3080,2701,POINT (-69.9826347 41.8593758),25001010306,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Barnstable,25001,25001010400,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,12.0,,,10.2,13.9,3345,2975,POINT (-69.9861243 41.7541457),25001010400,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Barnstable,25001,25001010500,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,10.8,,,9.0,12.8,2962,2691,POINT (-69.941451 41.7662035),25001010500,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Barnstable,25001,25001010600,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,11.8,,,10.2,13.7,3134,2870,POINT (-69.9561701 41.6995108),25001010600,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Barnstable,25001,25001010700,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,11.1,,,9.5,12.8,3460,3114,POINT (-69.9812765 41.6185172),25001010700,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Barnstable,25001,25001010800,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,10.7,,,9.2,12.6,4919,4260,POINT (-70.1009106 41.7434889),25001010800,HLTHOUT,DIABETES,CrdPrv,Diabetes
