relative_path,bytes,sha256,role
.gitattributes,107,db2b48943c72f7b44d8e135dca50e1c3fbacc6e9a6f34c7a2f2dc7e04eb682d3,immutable module control
VERSION,6,e9dd8507f4bf0c6f42458e41aea833ad0bd3f6127272335eee9bf4d58541ed67,immutable module control
assessment.md,2986,064d25a6e0aa3def4ccdd7dc84b7125d17fa79a273e5e07e84c0ae79191e6638,immutable module control
data-spec.md,4883,5029c8e325f59ab0c3b6f620f22ccecf7f16c7c9415ec40477e1e6f2fd1e6c46,immutable module control
data/acs-b01001-ma-tract-2024.csv,576420,bca33aebaa0a9e418d6a5343818aebc1e8b1dc2d355156419e5693d1907fa419,immutable public release
data/field-inventory.csv,39768,d65fb0bbde925e17e2b94ee362e43c1320d4f10467241f77cd260f50329854f7,immutable source profile
data/join-feasibility.csv,524,2fc7811fc1f6350fb65581a5d946d073039b05a72006a9dd30ad829005cde1e6,immutable source profile
data/places-diabetes-ma-tract-2025.csv,356204,3d55a099be438999fd52b1e34f13589dcf3e260162c56967fa01fb0a80135846,immutable public release
data/reading-inventory.csv,2394,081f5d85da1657d838e51df31cb746d32f4ac6f716a3e24e4c28e33235148292,immutable source profile
data/source-inventory.csv,3288,1392a8a84047cf9725daf4053dbc0ac6efdbbe1b93eb6e9ed1e0c8074b6e89dd,immutable source profile
data/svi2022-ma-tract.csv,1188187,fac1aabd51880624ce728f4a63f01ba6b50959c203c6975400c02daf21329de0,immutable public release
decision-contract.json,2995,00acd89120cfaad492e45d31cadfd18e3b058084cf1e4d814ba00e942f50260a,immutable module control
profile_sources.py,22724,c9d7bb1f010da25ec2cd1930fcb83e277d1df96595e372a2f6120fb0b31c0084,immutable module control
requirements.txt,38,337f4c3188782bfc377c38fe22d2d2dd2b5e214c168abab01261bb01a644fb9d,immutable module control
source-record.yml,4623,abe66237bbe3a3fffe5522d2d8e6f6f54ff660f1aba9d91690636a578aae5b5f,immutable module control
validate_workspace.py,17602,2f132229a0f24265e815c8e5526937129cdee57843ce1cb8b77bae2086da686e,immutable module control
