equity_dimension,dimension_label,group_id,group_label,group_order,missing_group,primary_reference,population_count,synthetic_event_count,age_bands,positive_age_bands,direct_standardized_rate_per_100k,direct_rate_low_95,direct_rate_high_95,support_state,claim_limit
disability_status,Disability status,reported_disability,Reported disability,1,0,0,970086,65780,5,5,6778.9048360554,6729.4651218761,6828.3445502346,supported_for_synthetic_comparison,direct standardization uses the accepted five-band Module 02 teaching population; synthetic comparison only
disability_status,Disability status,no_reported_disability,No reported disability,2,0,1,4538438,209033,5,5,4606.0540350892,4586.9201389158,4625.1879312626,supported_for_synthetic_comparison,direct standardization uses the accepted five-band Module 02 teaching population; synthetic comparison only
disability_status,Disability status,missing,Missing,3,1,0,171244,8801,5,5,5140.9577730571,5037.222315491,5244.6932306233,missingness_audit_only,direct standardization uses the accepted five-band Module 02 teaching population; synthetic comparison only
disability_status,Disability status,overall_reported,Overall reported population,999,0,0,5508524,274813,5,5,4988.8110490183,4970.784668729,5006.8374293076,overall_reported_reference,direct standardization uses the accepted five-band Module 02 teaching population; synthetic comparison only
primary_language,Primary language,english,English,1,0,1,4195048,201458,5,5,4800.3064723813,4780.0206714147,4820.5922733479,supported_for_synthetic_comparison,direct standardization uses the accepted five-band Module 02 teaching population; synthetic comparison only
primary_language,Primary language,spanish,Spanish,2,0,0,570945,33113,5,5,5806.2479240899,5746.1531372711,5866.3427109087,supported_for_synthetic_comparison,direct standardization uses the accepted five-band Module 02 teaching population; synthetic comparison only
primary_language,Primary language,portuguese,Portuguese,3,0,0,285195,15930,5,5,5590.9620656068,5507.4248996895,5674.4992315241,supported_for_synthetic_comparison,direct standardization uses the accepted five-band Module 02 teaching population; synthetic comparison only
primary_language,Primary language,haitian_creole,Haitian Creole,4,0,0,142751,8479,5,5,5945.7585651911,5824.2703130353,6067.246817347,supported_for_synthetic_comparison,direct standardization uses the accepted five-band Module 02 teaching population; synthetic comparison only
primary_language,Primary language,chinese,Chinese,5,0,0,142616,6436,5,5,4513.9768386473,4407.0321810744,4620.9214962202,supported_for_synthetic_comparison,direct standardization uses the accepted five-band Module 02 teaching population; synthetic comparison only
primary_language,Primary language,other_language,Another language,6,0,0,228907,12485,5,5,5463.5703448528,5371.2652909481,5555.8753987575,supported_for_synthetic_comparison,direct standardization uses the accepted five-band Module 02 teaching population; synthetic comparison only
primary_language,Primary language,missing,Missing,7,1,0,114306,5713,5,5,5009.2116154355,4883.695472167,5134.727758704,missingness_audit_only,direct standardization uses the accepted five-band Module 02 teaching population; synthetic comparison only
primary_language,Primary language,overall_reported,Overall reported population,999,0,0,5565462,277901,5,5,4993.0857133025,4975.1446969531,5011.0267296519,overall_reported_reference,direct standardization uses the accepted five-band Module 02 teaching population; synthetic comparison only
race_ethnicity,Combined race and ethnicity,american_indian_alaska_native,American Indian or Alaska Native,1,0,0,68426,4207,5,5,6148.9689164129,5970.9014196983,6327.0364131275,supported_for_synthetic_comparison,direct standardization uses the accepted five-band Module 02 teaching population; synthetic comparison only
race_ethnicity,Combined race and ethnicity,asian,Asian,2,0,0,427401,18563,5,5,4340.814992226,4280.1925688564,4401.4374155956,supported_for_synthetic_comparison,direct standardization uses the accepted five-band Module 02 teaching population; synthetic comparison only
race_ethnicity,Combined race and ethnicity,black_african_american,Black or African American,3,0,0,512988,32426,5,5,6317.3146661608,6251.4919398823,6383.1373924394,supported_for_synthetic_comparison,direct standardization uses the accepted five-band Module 02 teaching population; synthetic comparison only
race_ethnicity,Combined race and ethnicity,hispanic_latino,Hispanic or Latino,4,0,0,738456,44236,5,5,5982.0629208864,5928.5600708885,6035.5657708842,supported_for_synthetic_comparison,direct standardization uses the accepted five-band Module 02 teaching population; synthetic comparison only
race_ethnicity,Combined race and ethnicity,middle_eastern_north_african,Middle Eastern or North African,5,0,0,114050,5393,5,5,4726.6019084074,4604.4013295209,4848.8024872938,supported_for_synthetic_comparison,direct standardization uses the accepted five-band Module 02 teaching population; synthetic comparison only
race_ethnicity,Combined race and ethnicity,native_hawaiian_pacific_islander,Native Hawaiian or Pacific Islander,6,0,0,22813,1249,5,5,5473.6791597224,5181.3973087631,5765.9610106817,supported_for_synthetic_comparison,direct standardization uses the accepted five-band Module 02 teaching population; synthetic comparison only
race_ethnicity,Combined race and ethnicity,white,White,7,0,1,3344980,153391,5,5,4587.6661795148,4565.415612749,4609.9167462806,supported_for_synthetic_comparison,direct standardization uses the accepted five-band Module 02 teaching population; synthetic comparison only
race_ethnicity,Combined race and ethnicity,multiple_identities,Multiple identities,8,0,0,256971,14009,5,5,5454.2449625995,5367.2499056327,5541.2400195663,supported_for_synthetic_comparison,direct standardization uses the accepted five-band Module 02 teaching population; synthetic comparison only
race_ethnicity,Combined race and ethnicity,missing,Missing,9,1,0,193683,10140,5,5,5236.5762366676,5138.1930256285,5334.9594477067,missingness_audit_only,direct standardization uses the accepted five-band Module 02 teaching population; synthetic comparison only
race_ethnicity,Combined race and ethnicity,overall_reported,Overall reported population,999,0,0,5486085,273474,5,5,4984.8278895631,4966.7714423267,5002.8843367995,overall_reported_reference,direct standardization uses the accepted five-band Module 02 teaching population; synthetic comparison only
