rule_id,equity_dimension,dimension_label,group_id,group_label,selected_publishable_population,unselected_publishable_population,selected_publishable_rows,selected_suppressed_rows,unselected_publishable_rows,unselected_suppressed_rows,interpretation_limit
capacity_aware,disability_status,Disability status,missing,Missing,0,1069,0,28,6,1563,published synthetic marginal coverage only; suppressed values stay unavailable and dimensions cannot be combined into people
capacity_aware,disability_status,Disability status,no_reported_disability,No reported disability,82726,4449247,28,0,1559,10,published synthetic marginal coverage only; suppressed values stay unavailable and dimensions cannot be combined into people
capacity_aware,disability_status,Disability status,reported_disability,Reported disability,0,6167,0,28,6,1563,published synthetic marginal coverage only; suppressed values stay unavailable and dimensions cannot be combined into people
capacity_aware,primary_language,Primary language,chinese,Chinese,0,129,0,28,1,1568,published synthetic marginal coverage only; suppressed values stay unavailable and dimensions cannot be combined into people
capacity_aware,primary_language,Primary language,english,English,76626,4111253,28,0,1559,10,published synthetic marginal coverage only; suppressed values stay unavailable and dimensions cannot be combined into people
capacity_aware,primary_language,Primary language,haitian_creole,Haitian Creole,0,1691,0,28,10,1559,published synthetic marginal coverage only; suppressed values stay unavailable and dimensions cannot be combined into people
capacity_aware,primary_language,Primary language,missing,Missing,0,0,0,28,0,1569,published synthetic marginal coverage only; suppressed values stay unavailable and dimensions cannot be combined into people
capacity_aware,primary_language,Primary language,other_language,Another language,222,20231,1,27,92,1477,published synthetic marginal coverage only; suppressed values stay unavailable and dimensions cannot be combined into people
capacity_aware,primary_language,Primary language,portuguese,Portuguese,888,57760,4,24,226,1343,published synthetic marginal coverage only; suppressed values stay unavailable and dimensions cannot be combined into people
capacity_aware,primary_language,Primary language,spanish,Spanish,7632,435403,18,10,1061,508,published synthetic marginal coverage only; suppressed values stay unavailable and dimensions cannot be combined into people
capacity_aware,race_ethnicity,Combined race and ethnicity,american_indian_alaska_native,American Indian or Alaska Native,0,0,0,28,0,1569,published synthetic marginal coverage only; suppressed values stay unavailable and dimensions cannot be combined into people
capacity_aware,race_ethnicity,Combined race and ethnicity,asian,Asian,2405,136996,7,21,378,1191,published synthetic marginal coverage only; suppressed values stay unavailable and dimensions cannot be combined into people
capacity_aware,race_ethnicity,Combined race and ethnicity,black_african_american,Black or African American,6755,382094,17,11,1033,536,published synthetic marginal coverage only; suppressed values stay unavailable and dimensions cannot be combined into people
capacity_aware,race_ethnicity,Combined race and ethnicity,hispanic_latino,Hispanic or Latino,11735,645640,22,6,1284,285,published synthetic marginal coverage only; suppressed values stay unavailable and dimensions cannot be combined into people
capacity_aware,race_ethnicity,Combined race and ethnicity,middle_eastern_north_african,Middle Eastern or North African,0,0,0,28,0,1569,published synthetic marginal coverage only; suppressed values stay unavailable and dimensions cannot be combined into people
capacity_aware,race_ethnicity,Combined race and ethnicity,missing,Missing,198,5042,1,27,27,1542,published synthetic marginal coverage only; suppressed values stay unavailable and dimensions cannot be combined into people
capacity_aware,race_ethnicity,Combined race and ethnicity,multiple_identities,Multiple identities,1368,36586,6,22,155,1414,published synthetic marginal coverage only; suppressed values stay unavailable and dimensions cannot be combined into people
capacity_aware,race_ethnicity,Combined race and ethnicity,native_hawaiian_pacific_islander,Native Hawaiian or Pacific Islander,0,0,0,28,0,1569,published synthetic marginal coverage only; suppressed values stay unavailable and dimensions cannot be combined into people
capacity_aware,race_ethnicity,Combined race and ethnicity,white,White,60731,3275809,28,0,1556,13,published synthetic marginal coverage only; suppressed values stay unavailable and dimensions cannot be combined into people
community_review,disability_status,Disability status,missing,Missing,0,1069,0,28,6,1563,published synthetic marginal coverage only; suppressed values stay unavailable and dimensions cannot be combined into people
community_review,disability_status,Disability status,no_reported_disability,No reported disability,81438,4450535,28,0,1559,10,published synthetic marginal coverage only; suppressed values stay unavailable and dimensions cannot be combined into people
community_review,disability_status,Disability status,reported_disability,Reported disability,0,6167,0,28,6,1563,published synthetic marginal coverage only; suppressed values stay unavailable and dimensions cannot be combined into people
community_review,primary_language,Primary language,chinese,Chinese,0,129,0,28,1,1568,published synthetic marginal coverage only; suppressed values stay unavailable and dimensions cannot be combined into people
community_review,primary_language,Primary language,english,English,76166,4111713,28,0,1559,10,published synthetic marginal coverage only; suppressed values stay unavailable and dimensions cannot be combined into people
community_review,primary_language,Primary language,haitian_creole,Haitian Creole,0,1691,0,28,10,1559,published synthetic marginal coverage only; suppressed values stay unavailable and dimensions cannot be combined into people
community_review,primary_language,Primary language,missing,Missing,0,0,0,28,0,1569,published synthetic marginal coverage only; suppressed values stay unavailable and dimensions cannot be combined into people
community_review,primary_language,Primary language,other_language,Another language,634,19819,3,25,90,1479,published synthetic marginal coverage only; suppressed values stay unavailable and dimensions cannot be combined into people
community_review,primary_language,Primary language,portuguese,Portuguese,1231,57417,5,23,225,1344,published synthetic marginal coverage only; suppressed values stay unavailable and dimensions cannot be combined into people
community_review,primary_language,Primary language,spanish,Spanish,7678,435357,18,10,1061,508,published synthetic marginal coverage only; suppressed values stay unavailable and dimensions cannot be combined into people
community_review,race_ethnicity,Combined race and ethnicity,american_indian_alaska_native,American Indian or Alaska Native,0,0,0,28,0,1569,published synthetic marginal coverage only; suppressed values stay unavailable and dimensions cannot be combined into people
community_review,race_ethnicity,Combined race and ethnicity,asian,Asian,3673,135728,9,19,376,1193,published synthetic marginal coverage only; suppressed values stay unavailable and dimensions cannot be combined into people
community_review,race_ethnicity,Combined race and ethnicity,black_african_american,Black or African American,6557,382292,16,12,1034,535,published synthetic marginal coverage only; suppressed values stay unavailable and dimensions cannot be combined into people
community_review,race_ethnicity,Combined race and ethnicity,hispanic_latino,Hispanic or Latino,12045,645330,23,5,1283,286,published synthetic marginal coverage only; suppressed values stay unavailable and dimensions cannot be combined into people
community_review,race_ethnicity,Combined race and ethnicity,middle_eastern_north_african,Middle Eastern or North African,0,0,0,28,0,1569,published synthetic marginal coverage only; suppressed values stay unavailable and dimensions cannot be combined into people
community_review,race_ethnicity,Combined race and ethnicity,missing,Missing,0,5240,0,28,28,1541,published synthetic marginal coverage only; suppressed values stay unavailable and dimensions cannot be combined into people
community_review,race_ethnicity,Combined race and ethnicity,multiple_identities,Multiple identities,1210,36744,5,23,156,1413,published synthetic marginal coverage only; suppressed values stay unavailable and dimensions cannot be combined into people
community_review,race_ethnicity,Combined race and ethnicity,native_hawaiian_pacific_islander,Native Hawaiian or Pacific Islander,0,0,0,28,0,1569,published synthetic marginal coverage only; suppressed values stay unavailable and dimensions cannot be combined into people
community_review,race_ethnicity,Combined race and ethnicity,white,White,60418,3276122,28,0,1556,13,published synthetic marginal coverage only; suppressed values stay unavailable and dimensions cannot be combined into people
