gate_id,gate,status,evidence,blocking_if_failed
G01,REPLACE,REPLACE,REPLACE,yes
G02,REPLACE,REPLACE,REPLACE,yes
G03,REPLACE,REPLACE,REPLACE,yes
G04,REPLACE,REPLACE,REPLACE,yes
G05,REPLACE,REPLACE,REPLACE,yes
G06,REPLACE,REPLACE,REPLACE,yes
G07,REPLACE,REPLACE,REPLACE,yes
G08,REPLACE,REPLACE,REPLACE,yes
G09,REPLACE,REPLACE,REPLACE,yes
G10,REPLACE,REPLACE,REPLACE,yes
G11,REPLACE,REPLACE,REPLACE,yes
G12,REPLACE,REPLACE,REPLACE,yes
G13,REPLACE,REPLACE,REPLACE,yes
G14,REPLACE,REPLACE,REPLACE,yes
G15,REPLACE,REPLACE,REPLACE,yes
G16,REPLACE,REPLACE,REPLACE,yes
G17,REPLACE,REPLACE,REPLACE,yes
G18,REPLACE,REPLACE,REPLACE,yes
G19,REPLACE,REPLACE,REPLACE,yes
G20,REPLACE,REPLACE,REPLACE,yes
G21,REPLACE,REPLACE,REPLACE,yes
G22,REPLACE,REPLACE,REPLACE,yes
G23,REPLACE,REPLACE,REPLACE,yes
G24,REPLACE,REPLACE,REPLACE,yes
G25,REPLACE,REPLACE,REPLACE,yes
G26,REPLACE,REPLACE,REPLACE,yes
