tract_fips,state_fips,county_fips,tract_code,tract_name,geometry_type,is_valid,is_empty,is_null,aland_sq_m,awater_sq_m,projected_area_sq_m,area_relative_difference
25001010100,25,25001,010100,101,Polygon,1,0,0,25046216,12765872,37809654.59735246,0.0000643552
25001010206,25,25001,010206,102.06,Polygon,1,0,0,51240907,18828934,70066510.9753016233,0.0000475244
25001010208,25,25001,010208,102.08,Polygon,1,0,0,54268861,11461462,65726403.4119125009,0.0000596314
25001010304,25,25001,010304,103.04,Polygon,1,0,0,18347803,7830614,26177686.8692041598,0.0000278906
25001010306,25,25001,010306,103.06,Polygon,1,0,0,17828291,1730719,19558306.1530982591,0.0000359858
25001010400,25,25001,010400,104,Polygon,1,0,0,15587094,8476393,24063215.1943258792,0.0000112954
25001010500,25,25001,010500,105,Polygon,1,0,0,21096183,13691016,34786654.5117078647,0.000015652
25001010600,25,25001,010600,106,Polygon,1,0,0,14694953,14524028,29219154.4895484895,0.0000059376
25001010700,25,25001,010700,107,Polygon,1,0,0,27186449,29106036,56294071.8539160192,0.0000281894
25001010800,25,25001,010800,108,Polygon,1,0,0,28389012,2733769,31122552.0546286106,0.0000073562
25001010900,25,25001,010900,109,Polygon,1,0,0,31026909,3912692,34939288.4262680039,0.0000089461
25001011002,25,25001,011002,110.02,Polygon,1,0,0,21448124,2202286,23650600.8888070695,0.0000080713
25001011100,25,25001,011100,111,Polygon,1,0,0,19218085,2840489,22058600.548613593,0.0000012036
25001011200,25,25001,011200,112,Polygon,1,0,0,13422829,681464,14104443.5074623786,0.000010671
25001011300,25,25001,011300,113,Polygon,1,0,0,13113157,556274,13669370.63888162,0.0000044158
25001011400,25,25001,011400,114,Polygon,1,0,0,15367066,449479,15816463.9921610244,0.0000051217
25001011500,25,25001,011500,115,Polygon,1,0,0,11167901,731897,11899866.7681433409,0.0000057789
25001011600,25,25001,011600,116,Polygon,1,0,0,6359506,457312,6816922.9207269317,0.0000153915
25001011700,25,25001,011700,117,Polygon,1,0,0,7335262,2368588,9704009.6097125765,0.0000164481
25001011801,25,25001,011801,118.01,Polygon,1,0,0,9154103,609692,9763796.7803690694,0.0000001823
25001011802,25,25001,011802,118.02,Polygon,1,0,0,13808259,1487789,15296129.074673159,0.0000053004
25001012001,25,25001,012001,120.01,Polygon,1,0,0,10330552,795784,11126453.032165641,0.0000105185
25001012002,25,25001,012002,120.02,Polygon,1,0,0,5771689,1014630,6786445.6989929089,0.0000186698
25001012101,25,25001,012101,121.01,Polygon,1,0,0,13695216,700866,14396282.1457222234,0.0000139028
25001012102,25,25001,012102,121.02,Polygon,1,0,0,9803599,5932744,15736730.0264949296,0.0000245944
25001012200,25,25001,012200,122,Polygon,1,0,0,47737965,10437215,58175274.4600262418,0.0000016237
25001012502,25,25001,012502,125.02,Polygon,1,0,0,5963437,2240399,8204034.3483455107,0.0000241775
25001012601,25,25001,012601,126.01,Polygon,1,0,0,3467385,9794,3477241.0356943491,0.0000178408
25001012602,25,25001,012602,126.02,Polygon,1,0,0,3331531,61281,3392874.6371380449,0.0000184617
25001012700,25,25001,012700,127,Polygon,1,0,0,9606912,902420,10509565.2391786445,0.0000221935
25001012800,25,25001,012800,128,Polygon,1,0,0,7807705,2887415,10695263.3424131032,0.0000134026
25001012900,25,25001,012900,129,Polygon,1,0,0,6094063,56486,6150654.9398650629,0.0000172245
25001013002,25,25001,013002,130.02,Polygon,1,0,0,15527709,4557283,20085563.0565747172,0.000028432
25001013100,25,25001,013100,131,Polygon,1,0,0,22908182,2064243,24972716.6313927434,0.0000116781
25001013200,25,25001,013200,132,Polygon,1,0,0,19557999,3410844,22969474.894025363,0.0000275109
25001013300,25,25001,013300,133,Polygon,1,0,0,12779497,1564201,14343515.7632034346,0.000012705
25001013400,25,25001,013400,134,Polygon,1,0,0,21892831,518183,22410865.3295696117,0.0000066338
25001013500,25,25001,013500,135,Polygon,1,0,0,23627497,1422547,25050187.0523190536,0.0000057107
25001013600,25,25001,013600,136,Polygon,1,0,0,18725866,944532,19670489.445286192,0.0000046489
25001013700,25,25001,013700,137,Polygon,1,0,0,13702860,3233247,16935890.1784521677,0.0000128023
