tract_fips,county_fips,county_name,modeled_crude_prevalence_percent,modeled_low_confidence_limit,modeled_high_confidence_limit,interval_width_percentage_points,places_adult_population_field,support_state,review_reason,interpretation_limit
25001010100,25001,Barnstable,12.1,10.2,14.3,4.1,3489,limited_support_review,interval width triggers review,"classroom review flag only; not a CDC quality designation, suppression rule, or exclusion rule"
25001010206,25001,Barnstable,10.8,9.2,12.7,3.5,3172,supported_for_teaching_display,no classroom review trigger,"classroom review flag only; not a CDC quality designation, suppression rule, or exclusion rule"
25001010208,25001,Barnstable,11.3,9.6,13.1,3.5,2206,supported_for_teaching_display,no classroom review trigger,"classroom review flag only; not a CDC quality designation, suppression rule, or exclusion rule"
25001010304,25001,Barnstable,11.2,9.6,13.1,3.5,2399,supported_for_teaching_display,no classroom review trigger,"classroom review flag only; not a CDC quality designation, suppression rule, or exclusion rule"
25001010306,25001,Barnstable,12.1,10.2,13.9,3.7,2701,supported_for_teaching_display,no classroom review trigger,"classroom review flag only; not a CDC quality designation, suppression rule, or exclusion rule"
25001010400,25001,Barnstable,12,10.2,13.9,3.7,2975,supported_for_teaching_display,no classroom review trigger,"classroom review flag only; not a CDC quality designation, suppression rule, or exclusion rule"
25001010500,25001,Barnstable,10.8,9,12.8,3.8,2691,supported_for_teaching_display,no classroom review trigger,"classroom review flag only; not a CDC quality designation, suppression rule, or exclusion rule"
25001010600,25001,Barnstable,11.8,10.2,13.7,3.5,2870,supported_for_teaching_display,no classroom review trigger,"classroom review flag only; not a CDC quality designation, suppression rule, or exclusion rule"
25001010700,25001,Barnstable,11.1,9.5,12.8,3.3,3114,supported_for_teaching_display,no classroom review trigger,"classroom review flag only; not a CDC quality designation, suppression rule, or exclusion rule"
25001010800,25001,Barnstable,10.7,9.2,12.6,3.4,4260,supported_for_teaching_display,no classroom review trigger,"classroom review flag only; not a CDC quality designation, suppression rule, or exclusion rule"
25001010900,25001,Barnstable,11,9.3,13,3.7,4626,supported_for_teaching_display,no classroom review trigger,"classroom review flag only; not a CDC quality designation, suppression rule, or exclusion rule"
25001011002,25001,Barnstable,10.3,8.9,12,3.1,3924,supported_for_teaching_display,no classroom review trigger,"classroom review flag only; not a CDC quality designation, suppression rule, or exclusion rule"
25001011100,25001,Barnstable,10.3,8.7,12,3.3,4326,supported_for_teaching_display,no classroom review trigger,"classroom review flag only; not a CDC quality designation, suppression rule, or exclusion rule"
25001011200,25001,Barnstable,10.6,9.1,12.2,3.1,3334,supported_for_teaching_display,no classroom review trigger,"classroom review flag only; not a CDC quality designation, suppression rule, or exclusion rule"
25001011300,25001,Barnstable,11.1,9.4,13.2,3.8,2336,supported_for_teaching_display,no classroom review trigger,"classroom review flag only; not a CDC quality designation, suppression rule, or exclusion rule"
25001011400,25001,Barnstable,11.8,10,13.6,3.6,2772,supported_for_teaching_display,no classroom review trigger,"classroom review flag only; not a CDC quality designation, suppression rule, or exclusion rule"
25001011500,25001,Barnstable,11.3,9.6,13,3.4,3545,supported_for_teaching_display,no classroom review trigger,"classroom review flag only; not a CDC quality designation, suppression rule, or exclusion rule"
25001011600,25001,Barnstable,10.8,9.2,12.6,3.4,2626,supported_for_teaching_display,no classroom review trigger,"classroom review flag only; not a CDC quality designation, suppression rule, or exclusion rule"
25001011700,25001,Barnstable,11.4,9.7,13.3,3.6,1775,supported_for_teaching_display,no classroom review trigger,"classroom review flag only; not a CDC quality designation, suppression rule, or exclusion rule"
25001011801,25001,Barnstable,11.2,9.3,13.5,4.2,2284,limited_support_review,interval width triggers review,"classroom review flag only; not a CDC quality designation, suppression rule, or exclusion rule"
25001011802,25001,Barnstable,10.1,8.6,11.7,3.1,3770,supported_for_teaching_display,no classroom review trigger,"classroom review flag only; not a CDC quality designation, suppression rule, or exclusion rule"
25001012001,25001,Barnstable,11.1,9.4,13.1,3.7,5202,supported_for_teaching_display,no classroom review trigger,"classroom review flag only; not a CDC quality designation, suppression rule, or exclusion rule"
25001012002,25001,Barnstable,11.9,10.1,13.8,3.7,2755,supported_for_teaching_display,no classroom review trigger,"classroom review flag only; not a CDC quality designation, suppression rule, or exclusion rule"
25001012101,25001,Barnstable,10.1,8.7,11.7,3,4566,supported_for_teaching_display,no classroom review trigger,"classroom review flag only; not a CDC quality designation, suppression rule, or exclusion rule"
