relative_path,bytes,sha256,role
.gitattributes,119,df2dd98d1c8604702f558f2ccfd90acf14653ef715e94fac33cb5e26d9bc249f,immutable module control
VERSION,6,e9dd8507f4bf0c6f42458e41aea833ad0bd3f6127272335eee9bf4d58541ed67,immutable module control
assessment.md,1584,f39fc8f38edb2f8791b82c3956c0a48e4c3205c647bc657ea7d8fa983618973b,immutable module control
build_measures.py,19157,cbabfab6b0b144284cc0ac090dae7660b4b3d390dff007297f663525a9e10a27,immutable module control
build_workspace.py,6555,0a4d1bde6828db545f4a69640eb3db23183feb901846c3e33336dff07b8824d6,immutable module control
data-spec.md,4226,1361696dd62a0c78357c76bf41a3252a99effbcafd7fef701622085686812c84,immutable module control
data/age-band-crosswalk.csv,2456,16cf59b15747375088bdd7f77e380a0b17b5d6f8f4dbb5ee1fe3e2d234646e20,immutable source evidence
data/data-dictionary.csv,5053,66a42e357d190f85e69b3774d7b50cecb6131573398ea6615bed15f33cd93e59,immutable source evidence
data/raw/synthetic-events.csv.gz,113029,56f04f4e660e40292351cc0ed630b8cbb2f2c0d9cf9c39fbc8420b2113d813cb,immutable source evidence
data/synthetic-source-manifest.csv,778,9915aeb15f62d88a52cfa6304d211a4fd092d33c11e73cd5d63a14d64946823d,immutable source evidence
freeze_upstream.py,7896,f193aa736091a0084b3666d3f075e34e3ba947d91e5af3dfac6a33fff824c8e8,immutable module control
generate_synthetic_events.py,18766,e0cf3b7dfb6c25b6340112edd822c1edff2a3a90dd9208508e375e4b822d2680,immutable module control
measure-contract.json,1911,fcb1a909223529ceddca08004c6309ede31fe996039a63ed6ee15e85eb96436d,immutable module control
outputs/age-band-denominators.csv.gz,91462,6e0c632132b65e9322f098ccba3c2ce70ca8151f4ee8f536862f635ac23eef1f,reference output
outputs/age-specific-rates.csv.gz,295795,54523baa1c7ba1a73a8dc5136172f6c8f7b363fd1d91f65bbebd85e1feb70791,reference output
outputs/build-report.json,5977,48bf77e983c5959791e00f9f6e4621212b8c48a005c4221c822f77659e0a2cf9,reference output
outputs/indirect-standardization.csv,463281,61d66043d24047d50cc8daad4820ed709666a612c4fdc5d7f888ebe93773b5f8,reference output
outputs/public-modeled-prevalence.csv,334805,5aa7d1068579d303cb8af542ddfd32dae2c9b63521803861141bf86743fccb06,reference output
outputs/query-checks.csv,1325,b93f8a834a6040ecc298f61f3e42f5f882bff0614ce25c3edb70a8a63d71a999,reference output
outputs/source-reconciliation.csv,818,32691af25e93ea8a73eb8ea5d4e688963e5c96adf859cd54e6f11e3767c8f94a,reference output
outputs/standard-population.csv,1272,0aaafd3a8f09967d689aec90761fb1939302913a6c207b9f29226d7073b31b4e,reference output
outputs/synthetic-event-linkage.csv.gz,160236,f507b3f78bf53e856880cbc205e0773b223f7f76a903762696c6d346fb72fdc5,reference output
outputs/tract-linkage-audit.csv,92437,680dadba21764a1a1d3c668f8ffb0243d15dc8f8526e9bc174a50340091dac3a,reference output
outputs/tract-rate-summary.csv,373742,1d557e5de780aa5bb4d5f7928086f012ddfa9a652dcd386e6b42702475b25d47,reference output
release.json,2007,416081e4f8ed5ed5f4b1f6098183efe4ab1f14e4bda93de148a20b74829825a6,immutable module control
requirements.txt,38,337f4c3188782bfc377c38fe22d2d2dd2b5e214c168abab01261bb01a644fb9d,immutable module control
source-record.yml,4047,bdb5df473c839561b1a8d1248674b2ea84190b7ed072e06ca5bbcc259f995ac5,immutable module control
upstream/module01-handoff-manifest.csv,4262,beda2254d019c0969c952773b31fb23db30e2be99798aa8af66d5cb1fbd87a2e,immutable source evidence
upstream/module01-reference/.gitattributes,107,db2b48943c72f7b44d8e135dca50e1c3fbacc6e9a6f34c7a2f2dc7e04eb682d3,immutable source evidence
upstream/module01-reference/VERSION,6,e9dd8507f4bf0c6f42458e41aea833ad0bd3f6127272335eee9bf4d58541ed67,immutable source evidence
upstream/module01-reference/ai-use.md,1067,cad8b3f3d0e792b66d4e6f6c4458c8f6cc69e4efff944c4fa41dabd62574009c,immutable source evidence
upstream/module01-reference/assessment.md,2986,064d25a6e0aa3def4ccdd7dc84b7125d17fa79a273e5e07e84c0ae79191e6638,immutable source evidence
upstream/module01-reference/claim-boundary.csv,2908,f8b83391c1551bbb767cfee23401fe7a56917133d997321236a669a26ce15579,immutable source evidence
upstream/module01-reference/community-accountability-map.csv,2955,7ce7223bbf3ba76ac5ebcf8adb0810ac855871f90b27f4a2bed9cee8e87daa46,immutable source evidence
upstream/module01-reference/data-spec.md,4883,5029c8e325f59ab0c3b6f620f22ccecf7f16c7c9415ec40477e1e6f2fd1e6c46,immutable source evidence
upstream/module01-reference/data/acs-b01001-ma-tract-2024.csv,576420,bca33aebaa0a9e418d6a5343818aebc1e8b1dc2d355156419e5693d1907fa419,immutable source evidence
upstream/module01-reference/data/field-inventory.csv,39768,d65fb0bbde925e17e2b94ee362e43c1320d4f10467241f77cd260f50329854f7,immutable source evidence
upstream/module01-reference/data/join-feasibility.csv,524,2fc7811fc1f6350fb65581a5d946d073039b05a72006a9dd30ad829005cde1e6,immutable source evidence
upstream/module01-reference/data/places-diabetes-ma-tract-2025.csv,356204,3d55a099be438999fd52b1e34f13589dcf3e260162c56967fa01fb0a80135846,immutable source evidence
upstream/module01-reference/data/reading-inventory.csv,2394,081f5d85da1657d838e51df31cb746d32f4ac6f716a3e24e4c28e33235148292,immutable source evidence
upstream/module01-reference/data/source-inventory.csv,3288,1392a8a84047cf9725daf4053dbc0ac6efdbbe1b93eb6e9ed1e0c8074b6e89dd,immutable source evidence
upstream/module01-reference/data/svi2022-ma-tract.csv,1188187,fac1aabd51880624ce728f4a63f01ba6b50959c203c6975400c02daf21329de0,immutable source evidence
upstream/module01-reference/decision-contract.json,2995,00acd89120cfaad492e45d31cadfd18e3b058084cf1e4d814ba00e942f50260a,immutable source evidence
upstream/module01-reference/equity-language-contract.csv,2787,4efc3232190817e21a5386c3321147efe5c8060b01d5d1e1b0240dd9ee2dbc84,immutable source evidence
upstream/module01-reference/geography-time-contract.csv,1855,84d2322d68d023ffa2519c029821042cf6ac05144a5d6adbd821028a1206af02,immutable source evidence
upstream/module01-reference/population-decision-charter.md,3369,a8335e39dfec0f669e95cd85ba9d13e984c137f7fed74b9f46b84ab5154a11d1,immutable source evidence
upstream/module01-reference/population-denominator-contract.csv,3850,54878599766cf224162cd5d59e7dabdd4df00b0ec635690fcebb1729503b682c,immutable source evidence
upstream/module01-reference/profile_sources.py,22724,c9d7bb1f010da25ec2cd1930fcb83e277d1df96595e372a2f6120fb0b31c0084,immutable source evidence
upstream/module01-reference/progression-decision.md,1426,7356747c293848bc60cae730eff735b031d7a025e8a13f417eb9df43f3e055b5,immutable source evidence
upstream/module01-reference/public-data-role-map.csv,2709,c9f3bb1b053d29632413d620b83dfd7dbf686cea85a116dd78d36068c4a248b7,immutable source evidence
upstream/module01-reference/release-manifest.csv,1907,65ea81f391ed426f63e84593588d57542e827f89f2493aa0b3a2f8b1d9a2b0e9,immutable source evidence
upstream/module01-reference/requirements.txt,38,337f4c3188782bfc377c38fe22d2d2dd2b5e214c168abab01261bb01a644fb9d,immutable source evidence
upstream/module01-reference/source-feasibility-interpretation.md,2293,c8670175224cf590473e3be12c60db2d7dcf0139d11553a6b73c5212a9233dd2,immutable source evidence
upstream/module01-reference/source-record.yml,4623,abe66237bbe3a3fffe5522d2d8e6f6f54ff660f1aba9d91690636a578aae5b5f,immutable source evidence
upstream/module01-reference/validate_workspace.py,17602,2f132229a0f24265e815c8e5526937129cdee57843ce1cb8b77bae2086da686e,immutable source evidence
upstream/module01-release.json,1474,ed34f8c89e8c100738ceb1402d83473b4913fef4d133e0e3ef2f9c39bef8f079,immutable source evidence
validate_workspace.py,15861,4aa146962579d160625538c6ecd2e0a49ca3d8b756e4473d31b8ca0511e6ffda,immutable module control
