source_module,criterion_id,criterion,points_available,points_awarded,evidence
oclc-app5-02,R01,"Population, age-band, numerator, denominator, and linkage logic",4,4,"accepted Module 02 R01"
oclc-app5-02,R02,Crude and age-specific rates,4,4,"accepted Module 02 R02"
oclc-app5-02,R03,Direct and indirect standardization,4,4,"accepted Module 02 R03"
oclc-app5-02,R04,"Uncertainty, support, and evidence separation",4,4,"accepted Module 02 R04"
oclc-app5-02,R05,"Reproducibility, interpretation, and handoff",4,4,"accepted Module 02 R05"
oclc-app5-02,SUBTOTAL,Module 02 subtotal,20,20,"five accepted criteria counted once"
oclc-app5-03,R01,"Group rates, support intervals, and standardization",4,4,"accepted Module 03 R01"
oclc-app5-03,R02,"Absolute, relative, summary, and reference-sensitivity measures",4,4,"accepted Module 03 R02"
oclc-app5-03,R03,"Missingness, representation, selection, linkage, and measurement bias",4,4,"accepted Module 03 R03"
oclc-app5-03,R04,Primary and complementary suppression with non-reconstruction,4,4,"accepted Module 03 R04"
oclc-app5-03,R05,"Responsible claim, reproducibility, AI record, and progression",4,4,"accepted Module 03 R05"
oclc-app5-03,SUBTOTAL,Module 03 subtotal,20,20,"five accepted criteria counted once"
checkpoint,TOTAL,Week 3 checkpoint total,40,40,"Module 01 zero points plus Module 02 20 plus Module 03 20"
