field,type,role,missing_rule,interpretation_limit
scenario_id,string,fictional monitoring dry-run field,no blank values,synthetic test only
synthetic_source_id,string,fictional monitoring dry-run field,no blank values,synthetic test only
seed,string,fictional monitoring dry-run field,no blank values,synthetic test only
fictional_test_id,string,fictional monitoring dry-run field,no blank values,synthetic test only
tract_fips,string,fictional monitoring dry-run field,no blank values,synthetic test only
county_fips,string,fictional monitoring dry-run field,no blank values,synthetic test only
county_name,string,fictional monitoring dry-run field,no blank values,synthetic test only
award_position,string,fictional monitoring dry-run field,no blank values,synthetic test only
fictional_place_position,string,fictional monitoring dry-run field,no blank values,synthetic test only
planned_week,string,fictional monitoring dry-run field,no blank values,synthetic test only
staff_readiness,string,fictional monitoring dry-run field,no blank values,synthetic test only
travel_minutes,string,fictional monitoring dry-run field,no blank values,synthetic test only
travel_concern,string,fictional monitoring dry-run field,no blank values,synthetic test only
offer_test_state,string,fictional monitoring dry-run field,no blank values,synthetic test only
response_test_state,string,fictional monitoring dry-run field,no blank values,synthetic test only
language_access_need_test,string,fictional monitoring dry-run field,no blank values,synthetic test only
language_access_test_state,string,fictional monitoring dry-run field,no blank values,synthetic test only
disability_access_need_test,string,fictional monitoring dry-run field,no blank values,synthetic test only
disability_access_test_state,string,fictional monitoring dry-run field,no blank values,synthetic test only
modality_test,string,fictional monitoring dry-run field,no blank values,synthetic test only
scheduling_test_state,string,fictional monitoring dry-run field,no blank values,synthetic test only
attendance_test_state,string,fictional monitoring dry-run field,no blank values,synthetic test only
completion_test_state,string,fictional monitoring dry-run field,no blank values,synthetic test only
fidelity_test_state,string,fictional monitoring dry-run field,no blank values,synthetic test only
burden_test_score,string,fictional monitoring dry-run field,no blank values,synthetic test only
feedback_test_state,string,fictional monitoring dry-run field,no blank values,synthetic test only
objection_test_state,string,fictional monitoring dry-run field,no blank values,synthetic test only
incident_test_state,string,fictional monitoring dry-run field,no blank values,synthetic test only
escalation_test_route,string,fictional monitoring dry-run field,no blank values,synthetic test only
pause_test_triggered,string,fictional monitoring dry-run field,no blank values,synthetic test only
outcome_available,string,fictional monitoring dry-run field,no blank values,synthetic test only
public_prevalence_used_to_generate,string,fictional monitoring dry-run field,no blank values,synthetic test only
synthetic_flag,string,fictional monitoring dry-run field,no blank values,synthetic test only
test_role,string,fictional monitoring dry-run field,no blank values,synthetic test only
interpretation_limit,string,fictional monitoring dry-run field,no blank values,synthetic test only
